npu_id,request_id,io_start_time_ms,io_ready_time_ms,io_duration_ms,compute_budget_ms,deadline_missed,lateness_ms,compute_start_time_ms,compute_end_time_ms
0,0,0.0,4.732637133789062,4.732637133789062,5.044309980560046,False,0.0,4.732637133789062,9.776947114349108
1,1,0.0,5.07312666015625,5.07312666015625,5.044309980560046,True,0.028816679596204153,5.07312666015625,10.117436640716296
2,2,0.0,5.043753491210937,5.043753491210937,5.044309980560046,False,0.0,5.043753491210937,10.088063471770983
3,3,0.0,4.665598461914063,4.665598461914063,5.044309980560046,False,0.0,4.665598461914063,9.70990844247411
4,4,0.0,4.997595654296875,4.997595654296875,5.044309980560046,False,0.0,4.997595654296875,10.04190563485692
5,5,0.0,4.841737475585937,4.841737475585937,5.044309980560046,False,0.0,4.841737475585937,9.886047456145983
6,6,0.0,4.8627183105468745,4.8627183105468745,5.044309980560046,False,0.0,4.8627183105468745,9.90702829110692
7,7,0.0,4.875306811523437,4.875306811523437,5.044309980560046,False,0.0,4.875306811523437,9.919616792083483
8,8,0.0,4.858622143554688,4.858622143554688,5.044309980560046,False,0.0,4.858622143554688,9.902932124114734
9,9,0.0,4.858522143554687,4.858522143554687,5.044309980560046,False,0.0,4.858522143554687,9.902832124114733
10,10,0.0,4.875906811523437,4.875906811523437,5.044309980560046,False,0.0,4.875906811523437,9.920216792083483
11,11,0.0,4.862818310546875,4.862818310546875,5.044309980560046,False,0.0,4.862818310546875,9.907128291106922
12,12,0.0,4.884299145507812,4.884299145507812,5.044309980560046,False,0.0,4.884299145507812,9.928609126067858
13,13,0.0,4.8544259765625,4.8544259765625,5.044309980560046,False,0.0,4.8544259765625,9.898735957122547
14,14,0.0,5.060538159179687,5.060538159179687,5.044309980560046,True,0.016228178619641653,5.060538159179687,10.104848139739733
15,15,0.0,4.732197900390625,4.732197900390625,5.044309980560046,False,0.0,4.732197900390625,9.776507880950671
16,16,0.0,4.75341796875,4.75341796875,5.044309980560046,False,0.0,4.75341796875,9.797727949310046
17,17,0.0,5.081518994140625,5.081518994140625,5.044309980560046,True,0.03720901358057915,5.081518994140625,10.12582897470067
18,18,0.0,5.014380322265625,5.014380322265625,5.044309980560046,False,0.0,5.014380322265625,10.05869030282567
19,19,0.0,5.0563419921875,5.0563419921875,5.044309980560046,True,0.012032011627454153,5.0563419921875,10.100651972747546
20,20,0.0,4.866914477539062,4.866914477539062,5.044309980560046,False,0.0,4.866914477539062,9.911224458099108
21,21,0.0,4.964026318359375,4.964026318359375,5.044309980560046,False,0.0,4.964026318359375,10.00833629891942
22,22,0.0,4.640721459960938,4.640721459960938,5.044309980560046,False,0.0,4.640721459960938,9.685031440520984
23,23,0.0,5.068930493164062,5.068930493164062,5.044309980560046,True,0.024620512604016653,5.068930493164062,10.113240473724108
24,24,0.0,4.825052807617188,4.825052807617188,5.044309980560046,False,0.0,4.825052807617188,9.869362788177234
25,25,0.0,4.707760131835937,4.707760131835937,5.044309980560046,False,0.0,4.707760131835937,9.752070112395984
26,26,0.0,4.766806469726562,4.766806469726562,5.044309980560046,False,0.0,4.766806469726562,9.811116450286608
27,27,0.0,4.778894970703125,4.778894970703125,5.044309980560046,False,0.0,4.778894970703125,9.823204951263172
28,28,0.0,4.7452256347656245,4.7452256347656245,5.044309980560046,False,0.0,4.7452256347656245,9.78953561532567
29,29,0.0,5.064734326171875,5.064734326171875,5.044309980560046,True,0.020424345611829153,5.064734326171875,10.10904430673192
30,30,0.0,5.077322827148437,5.077322827148437,5.044309980560046,True,0.03301284658839165,5.077322827148437,10.121632807708483
31,31,0.0,4.880102978515625,4.880102978515625,5.044309980560046,False,0.0,4.880102978515625,9.92441295907567
