order,npu,U_percent,mean_demand_GiB_s,mean_supply_GiB_s,received_GiB,window_ms
random,0,95.5026280913365,3.7685569426716823,2.575439453125,5.15087890625,2000.0
random,1,83.43530417061704,9.433737311515374,5.019287109375,10.03857421875,2000.0
random,2,93.62173913528581,5.630995805828805,3.853759765625,7.70751953125,2000.0
random,3,88.8931194666566,5.787771456158165,3.1488037109375,6.297607421875,2000.0
random,4,97.70933372264979,3.831826801934541,3.2427978515625,6.485595703125,2000.0
random,5,97.90734745234934,3.469472401358826,3.035917762060427,6.071835524120854,2000.0
random,6,92.61978741697244,4.62816581265035,2.537841796875,5.07568359375,2000.0
random,7,87.17483660986937,6.452403114233918,3.1300048828125,6.260009765625,2000.0
random,8,86.77602133999814,7.146051005339413,3.7785644531249942,7.5571289062499885,2000.0
random,9,92.07899539002285,5.881797488213429,3.8349609375,7.669921875,2000.0
random,10,78.19038025014984,11.622766428219236,5.6114501953125,11.222900390625,2000.0
random,11,86.21787123378681,8.317809185625011,4.646281853459845,9.29256370691969,2000.0
random,12,97.56184058803858,3.89982195552455,3.2615966796875,6.523193359375,2000.0
random,13,89.5804739920228,5.949234837189041,3.1488037109375,6.297607421875,2000.0
random,14,96.32062877451777,4.172462021081619,3.2427978515625,6.485595703125,2000.0
random,15,80.35735334331946,9.305149187388684,4.02764892578125,8.0552978515625,2000.0
random,16,85.88844668116246,8.47007055201203,4.579864501953125,9.15972900390625,2000.0
random,17,82.93747493874014,8.038036049525036,3.41668701171875,6.8333740234375,2000.0
random,18,89.30503690184027,6.947032614576551,4.136552468083869,8.273104936167737,2000.0
random,19,99.79743189792688,1.996467102642981,1.9832763671875,3.966552734375,2000.0
random,20,92.6910918257979,4.581725148907297,2.709381103515625,5.41876220703125,2000.0
random,21,88.48912804849593,7.528900922751779,4.4459228515625,8.891845703125,2000.0
random,22,91.19990071931775,5.504983049444029,3.1864013671875,6.372802734375,2000.0
random,23,90.63612811918169,4.90100489154911,2.500244140625,5.00048828125,2000.0
random,24,93.69821462312635,4.80511615265394,3.2052001953125,6.410400390625,2000.0
random,25,93.58707341008072,6.103091646030936,4.5023193359375,9.004638671875,2000.0
random,26,89.51947896972166,6.17927097467442,3.4735150368407006,6.947030073681401,2000.0
random,27,91.38001976654583,4.982951805239174,2.7763519287109375,5.552703857421875,2000.0
random,28,93.37659155044524,5.659125993706236,3.9583282470703125,7.916656494140625,2000.0
random,29,91.04016901988109,6.185539516775816,3.7679901123046875,7.535980224609375,2000.0
random,30,95.16815863158202,3.1420057195607245,1.9080810546875,3.816162109375,2000.0
random,31,89.03216316531183,5.471623504811379,2.500244140625,5.00048828125,2000.0
ordered,0,71.00894540379132,9.977169552955147,2.21826171875,4.4365234375,2000.0
ordered,1,71.00894540379132,9.764953569352034,2.3040313720703125,4.608062744140625,2000.0
ordered,2,71.00894540379132,10.159068967472102,2.21826171875,4.4365234375,2000.0
ordered,3,71.00894540379132,9.855903276610512,2.3040313720703125,4.608062744140625,2000.0
ordered,4,71.00894540379132,10.401601520161373,2.21826171875,4.4365234375,2000.0
ordered,5,71.00894540379132,10.068119260213624,2.21826171875,4.4365234375,2000.0
ordered,6,71.00894540379132,10.18938553655826,2.21826171875,4.4365234375,2000.0
ordered,7,71.00894540379132,9.613370723921237,2.3040313720703125,4.608062744140625,2000.0
ordered,8,71.00894540379132,9.795270138438193,2.3040313720703125,4.608062744140625,2000.0
ordered,9,71.00894540379132,10.007486122041305,2.21826171875,4.4365234375,2000.0
ordered,10,71.00894540379132,9.704320431179715,2.3040313720703125,4.608062744140625,2000.0
ordered,11,71.00894540379132,10.310651812902897,2.21826171875,4.4365234375,2000.0
ordered,12,71.00894540379132,9.825586707524351,2.3040313720703125,4.608062744140625,2000.0
ordered,13,71.00894540379132,9.674003862093558,2.3040313720703125,4.608062744140625,2000.0
ordered,14,71.00894540379132,10.250018674730578,2.21826171875,4.4365234375,2000.0
ordered,15,71.00894540379132,10.128752398385943,2.21826171875,4.4365234375,2000.0
ordered,16,71.00894540379132,10.037802691127466,2.21826171875,4.4365234375,2000.0
ordered,17,71.00894540379132,9.583054154835079,2.3040313720703125,4.608062744140625,2000.0
ordered,18,71.00894540379132,10.280335243816737,2.21826171875,4.4365234375,2000.0
ordered,19,71.00894540379132,9.886219845696669,2.3040313720703125,4.608062744140625,2000.0
ordered,20,71.00894540379132,9.643687293007396,2.3040313720703125,4.608062744140625,2000.0
ordered,21,71.00894540379132,9.91653641478283,2.269585808504678,4.539171617009356,2000.0
ordered,22,71.00894540379132,9.946852983868988,2.2338134848962796,4.467626969792559,2000.0
ordered,23,71.00894540379132,10.219702105644421,2.21826171875,4.4365234375,2000.0
ordered,24,71.00894540379132,10.371284951075214,2.21826171875,4.4365234375,2000.0
ordered,25,71.00894540379132,9.492104447576603,2.3040313720703125,4.608062744140625,2000.0
ordered,26,71.00894540379132,10.098435829299785,2.21826171875,4.4365234375,2000.0
ordered,27,71.00894540379132,10.397908825280203,2.21826171875,4.4365234375,2000.0
ordered,28,71.00894540379132,9.52242101666276,2.3040313720703125,4.608062744140625,2000.0
ordered,29,71.00894540379132,9.55273758574892,2.3040313720703125,4.608062744140625,2000.0
ordered,30,71.00894540379132,10.340968381989054,2.21826171875,4.4365234375,2000.0
ordered,31,71.00894540379132,9.734637000265876,2.3040313720703125,4.608062744140625,2000.0
