num_ssu,boundary,relative_time_s,npu_id,request_id,controller_request_id,latest_strictly_prior_decision_request_id,latest_strictly_prior_decision_prefetch_only,latest_decision_request_matches_boundary_active,selection_classification,controller_prefetch_only,slack_request_matches_controller_request,slack_eligible_admitted_nonprefetch,prefetch_requests_excluded_from_slack,selected_by_latest_strictly_prior_decision,compute_inventory_q_ms,deadline_slack_alpha1p5_ms_diagnostic_only,deadline_slack_alpha2_ms_diagnostic_only,slack_after_remaining_compute_alpha1p5_ms_diagnostic_only,slack_after_remaining_compute_alpha2_ms_diagnostic_only,deadline_or_slack_used_by_controller
3,0,0.0,0,864,864,864,False,True,selected,False,True,True,True,True,72.98047936928585,224.34333330175684,538.9854240298578,151.362853932471,466.00494466057194,False
3,0,0.0,1,417,417,417,False,True,selected,False,True,True,True,True,1151.9189933702455,1746.4241808843294,2404.663605667327,594.5051875140839,1252.7446122970814,False
3,0,0.0,2,770,770,770,False,True,rejected,False,True,True,True,False,13.71268603196009,-324.65096146960764,-308.9793202902247,-338.3636475015677,-322.69200632218474,False
3,0,0.0,3,547,547,547,False,True,selected,False,True,True,True,True,1627.9841356201953,2406.4700973757476,3408.306488526637,778.4859617555524,1780.322352906442,False
3,0,0.0,4,516,516,516,False,True,rejected,False,True,True,True,False,8.50690924533517,-813.4603688303514,-796.446550339681,-821.9672780756865,-804.9534595850162,False
3,0,0.0,5,453,453,453,False,True,selected,False,True,True,True,True,15.827200041014168,4.417137521469314,32.63182747341206,-11.410062519544853,16.804627432397893,False
3,0,0.0,6,550,550,550,False,True,selected,False,True,True,True,True,135.967080955643,735.4341332254817,1823.170780870626,599.4670522698386,1687.203699914983,False
3,0,0.0,7,583,583,583,False,True,selected,False,True,True,True,True,246.83978429362406,429.66123805465804,1087.9006628376555,182.82145376103398,841.0608785440315,False
3,0,0.0,8,584,584,584,False,True,selected,False,True,True,True,True,814.9373451720912,1146.269122615525,1647.7690273368119,331.3317774434338,832.8316821647206,False
3,0,0.0,9,521,521,521,False,True,selected,False,True,True,True,True,1485.7291352684401,2164.1629548827223,3294.8492611182537,678.4338196142821,1809.1201258498136,False
3,0,0.0,10,426,426,394,False,False,unknown_or_stale_decision,False,True,False,True,,244.96473832108794,,,,,False
3,0,0.0,11,555,555,555,False,True,selected,False,True,True,True,True,1849.79215653987,2917.381640898102,4048.0679471336334,1067.589484358232,2198.2757905937633,False
3,0,0.0,12,524,524,524,False,True,rejected,False,True,True,True,False,10.74709795925732,-512.926067064181,-498.5966031185046,-523.6731650234383,-509.3437010777619,False
3,0,0.0,13,461,461,461,False,True,selected,False,True,True,True,True,388.05076299688295,639.8458384689034,1383.984440087736,251.79507547202041,995.933677090853,False
3,0,0.0,14,782,782,782,False,True,selected,False,True,True,True,True,435.27439621142247,591.8642395490672,843.1955919892132,156.5898433376447,407.92119577779073,False
3,0,0.0,15,943,943,943,False,True,selected,False,True,True,True,True,47.02078769510374,7.966820575148972,102.00839596535644,-39.05396711995477,54.9876082702527,False
3,0,0.0,16,528,528,528,False,True,rejected,False,True,True,True,False,12.987286791065095,-220.02820233560016,-207.04091554453507,-233.01548912666524,-220.02820233560016,False
3,0,0.0,17,497,497,497,False,True,selected,False,True,True,True,True,207.80026720412957,268.63489438400165,684.2354287922608,60.834627179872086,476.4351615881312,False
3,0,0.0,18,658,658,658,False,True,selected,False,True,True,True,True,136.8351112723933,465.3609165219318,1295.3992570304276,328.5258052495385,1158.5641457580343,False
3,0,0.0,19,563,563,563,False,True,selected,False,True,True,True,True,500.9181955754447,946.0198058120527,1947.8561969629422,445.101610236608,1446.9380013874975,False
3,0,0.0,20,500,532,500,False,False,unknown_or_stale_decision,True,False,False,True,,23.842115998848385,,,,,False
3,0,0.0,21,501,501,501,False,True,rejected,False,True,True,True,False,9.79477573711435,-666.263932821246,-650.5922916418631,-676.0587085583604,-660.3870673789775,False
3,0,0.0,22,566,566,566,False,True,selected,False,True,True,True,True,1071.9732150501782,1651.9665293356638,2739.703176980808,579.9933142854857,1667.72996193063,False
3,0,0.0,23,599,599,567,False,False,unknown_or_stale_decision,False,True,False,True,,16.801415441023515,,,,,False
3,0,0.0,24,696,696,696,False,True,selected,False,True,True,True,True,314.16419055018247,320.50176939121343,571.8331218313594,6.337578841030961,257.668931281177,False
3,0,0.0,25,633,633,633,False,True,selected,False,True,True,True,True,1023.1905772258949,1647.0198149658077,2391.1584165846402,623.8292377399127,1367.9678393587453,False
3,0,0.0,26,922,922,922,False,True,selected,False,True,True,True,True,1762.9352043199988,2522.4384340610613,3653.124740296593,759.5032297410626,1890.189535976594,False
3,0,0.0,27,315,315,315,False,True,selected,False,True,True,True,True,60.034869822300784,106.48919824640979,221.44201922340977,46.454328424109,161.407149401109,False
3,0,0.0,28,732,732,732,False,True,selected,False,True,True,True,True,1426.1706437504463,2228.4438669616775,3144.381241392388,802.2732232112312,1718.2105976419416,False
3,0,0.0,29,477,477,477,False,True,rejected,False,True,True,True,False,18.355995781100148,-602.9008187306367,-584.5448229495366,-621.2568145117368,-602.9008187306367,False
3,0,0.0,30,606,606,606,False,True,rejected,False,True,True,True,False,3.246821697766274,-718.4303194334415,-705.4430326423764,-721.6771411312077,-708.6898543401426,False
3,0,0.0,31,735,735,735,False,True,selected,False,True,True,True,True,1499.666703932991,2359.770662933137,3490.4569691686684,860.103959000146,1990.7902652356775,False
3,1,0.5,0,896,896,896,False,True,rejected,False,True,True,True,False,14.773629765229664,-346.3101335162769,-326.61196049597066,-361.08376328150655,-341.3855902612003,False
3,1,0.5,1,417,417,417,False,True,selected,False,True,True,True,True,758.3392902756004,1246.4241808843294,1904.663605667327,488.084890608729,1146.3243153917265,False
3,1,0.5,2,802,802,802,False,True,selected,False,True,True,True,True,240.08727445731603,442.1915298310382,670.9342657980844,202.1042553737222,430.8469913407684,False
3,1,0.5,3,547,547,547,False,True,selected,False,True,True,True,True,1223.5119223714785,1906.4700973757476,2908.306488526637,682.9581750042692,1684.7945661551587,False
3,1,0.5,4,548,548,548,False,True,selected,False,True,True,True,True,687.2553630164629,1102.8657982617742,1589.3066250457898,415.61043524531135,902.051262029327,False
3,1,0.5,5,581,581,581,False,True,selected,False,True,True,True,True,205.8775840471228,303.2242348159739,533.0807742241765,97.34665076885108,327.20319017705367,False
3,1,0.5,6,582,582,582,False,True,selected,False,True,True,True,True,157.2936038588757,213.27173800784504,378.70376683229165,55.97813414896933,221.41016297341594,False
