num_ssu,case,boundary,relative_time_s,ssu_id,timeline_schema,service_absolute_tolerance_gb,block_tolerance,scientific_ssd_service_source,ssd_outstanding_source,fragmented_service_is_diagnostic_only_not_scientific_output,maximum_abs_npu_queue_identity_residual_npu_id,stable_service_minus_busy_counter_gb,stable_service_minus_busy_counter_decimal_bytes,stable_service_minus_busy_counter_gb_scientific_gate_applicable,stable_service_minus_busy_counter_gb_within_declared_tolerance,fragmented_service_minus_stable_gb,fragmented_service_minus_stable_decimal_bytes,fragmented_service_minus_stable_gb_scientific_gate_applicable,fragmented_service_minus_stable_gb_within_declared_tolerance,physical_queue_minus_scheduler_gb,physical_queue_minus_scheduler_decimal_bytes,physical_queue_minus_scheduler_gb_scientific_gate_applicable,physical_queue_minus_scheduler_gb_within_declared_tolerance,enqueue_minus_service_minus_physical_queue_gb,enqueue_minus_service_minus_physical_queue_decimal_bytes,enqueue_minus_service_minus_physical_queue_gb_scientific_gate_applicable,enqueue_minus_service_minus_physical_queue_gb_within_declared_tolerance,counter_queue_minus_physical_queue_gb,counter_queue_minus_physical_queue_decimal_bytes,counter_queue_minus_physical_queue_gb_scientific_gate_applicable,counter_queue_minus_physical_queue_gb_within_declared_tolerance,fragmented_counter_queue_minus_physical_queue_gb,fragmented_counter_queue_minus_physical_queue_decimal_bytes,fragmented_counter_queue_minus_physical_queue_gb_scientific_gate_applicable,fragmented_counter_queue_minus_physical_queue_gb_within_declared_tolerance,maximum_abs_npu_queue_identity_residual_gb,maximum_abs_npu_queue_identity_residual_decimal_bytes,maximum_abs_npu_queue_identity_residual_gb_scientific_gate_applicable,maximum_abs_npu_queue_identity_residual_gb_within_declared_tolerance,physical_queue_block_minus_scheduler_blocks,physical_queue_block_minus_scheduler_blocks_within_declared_tolerance,counter_queue_block_minus_physical_blocks,counter_queue_block_minus_physical_blocks_within_declared_tolerance
3,adaptive_t0_i100ms,3,1.5,1,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,4,0.0,0.0,True,True,2.546585164964199e-10,0.2546585164964199,False,,-1.1102230246251565e-15,-1.1102230246251565e-06,True,True,4.085620730620576e-14,4.085620730620576e-05,True,True,0.0,0.0,True,True,-2.546585164964199e-10,-0.2546585164964199,False,,6.938893903907228e-17,6.938893903907228e-08,True,True,0,True,0,True
3,adaptive_t0_i100ms,3,1.5,2,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,21,0.0,0.0,True,True,1.3278622645884752e-10,0.13278622645884752,False,,-1.0824674490095276e-15,-1.0824674490095276e-06,True,True,3.1835645231126364e-14,3.1835645231126364e-05,True,True,-1.3877787807814457e-16,-1.3877787807814457e-07,True,True,2.6702182132076757e-10,0.26702182132076757,False,,1.3877787807814457e-16,1.3877787807814457e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,4,2.0,0,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,6,0.0,0.0,True,True,-5.218225851422176e-11,-0.05218225851422176,False,,-1.0547118733938987e-15,-1.0547118733938987e-06,True,True,4.0918657351340926e-14,4.0918657351340926e-05,True,True,-1.7139067942650854e-15,-1.7139067942650854e-06,True,True,3.4411946209234046e-10,0.34411946209234046,False,,1.7069679003611782e-15,1.7069679003611782e-06,True,True,0,True,0,True
3,adaptive_t0_i100ms,4,2.0,1,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,6,0.0,0.0,True,True,3.2798652682686225e-10,0.32798652682686225,False,,-9.992007221626409e-16,-9.992007221626409e-07,True,True,4.085620730620576e-14,4.085620730620576e-05,True,True,-1.7763568394002505e-15,-1.7763568394002505e-06,True,True,-2.6849100720482966e-10,-0.26849100720482966,False,,1.7069679003611782e-15,1.7069679003611782e-06,True,True,0,True,0,True
3,adaptive_t0_i100ms,4,2.0,2,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,17,1.1368683772161603e-13,0.00011368683772161603,True,True,1.9542767404345796e-10,0.19542767404345796,False,,-1.1379786002407855e-15,-1.1379786002407855e-06,True,True,-3.6387559632089506e-14,-3.6387559632089506e-05,True,True,-8.604228440844963e-16,-8.604228440844963e-07,True,True,1.992069009748576e-10,0.1992069009748576,False,,8.534839501805891e-16,8.534839501805891e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,5,2.5,0,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,5,0.0,0.0,True,True,1.3983481039758772e-11,0.013983481039758772,False,,-1.1102230246251565e-15,-1.1102230246251565e-06,True,True,-4.551914400963142e-15,-4.551914400963142e-06,True,True,-9.992007221626409e-16,-9.992007221626409e-07,True,True,2.9525437650335107e-10,0.29525437650335107,False,,9.922618282587337e-16,9.922618282587337e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,5,2.5,1,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,5,0.0,0.0,True,True,4.37012204201892e-10,0.437012204201892,False,,-1.1102230246251565e-15,-1.1102230246251565e-06,True,True,4.085620730620576e-14,4.085620730620576e-05,True,True,-1.7763568394002505e-15,-1.7763568394002505e-06,True,True,-4.370086514882132e-10,-0.4370086514882132,False,,1.7069679003611782e-15,1.7069679003611782e-06,True,True,0,True,0,True
3,adaptive_t0_i100ms,5,2.5,2,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,24,0.0,0.0,True,True,2.927436071331613e-10,0.2927436071331613,False,,-1.1657341758564144e-15,-1.1657341758564144e-06,True,True,5.4567461660326444e-14,5.4567461660326444e-05,True,True,1.27675647831893e-15,1.27675647831893e-06,True,True,1.0308326414687485e-10,0.10308326414687485,False,,1.2793585635328952e-15,1.2793585635328952e-06,True,True,0,True,0,True
3,adaptive_t0_i100ms,6,3.0,0,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,4,0.0,0.0,True,True,7.401013135677204e-11,0.07401013135677204,False,,-1.124100812432971e-15,-1.124100812432971e-06,True,True,-4.5449755070592346e-15,-4.544975507059235e-06,True,True,-9.922618282587337e-16,-9.922618282587337e-07,True,True,2.7593827917060665e-10,0.27593827917060665,False,,9.922618282587337e-16,9.922618282587337e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,6,3.0,1,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,16,0.0,0.0,True,True,5.23755261383485e-10,0.523755261383485,False,,-1.1102230246251565e-15,-1.1102230246251565e-06,True,True,4.085620730620576e-14,4.085620730620576e-05,True,True,-1.7763568394002505e-15,-1.7763568394002505e-06,True,True,-4.4432724166654225e-10,-0.44432724166654225,False,,1.7061005386231898e-15,1.7061005386231898e-06,True,True,0,True,0,True
