num_ssu,case,boundary,relative_time_s,ssu_id,read_only_left_boundary_snapshot,estimated_next_arbitration_rate_is_not_historical_service,path_state_present,path_is_active_command,active_command_npu_id,active_command_request_id,active_command_layer,active_command_path_id,active_command_remaining_gb,active_command_start_time_ms,active_command_age_ms,active_command_physical_service_gbps,aggregate_ssd_outstanding_gb,pressure_reports_cumulative,pressure_cache_hits_cumulative,pressure_cache_time_ms,pressure_cache_age_ms,pressure_ttl_ms,path_id,group_id,cir_gbps,path_weight,virtual_finish,estimated_next_arbitration_rate_gbps,pending_blocks,pending_gb,active_remaining_gb,head_wait_age_ms,head_npu_id,head_request_id,head_layer
5,adaptive_t0_i100ms,0,0.0,0,True,True,False,False,,,,,,,,,0.0,0,0,,,0.0,,,,,,,,,,,,,
5,adaptive_t0_i100ms,1,0.5,0,True,True,True,False,13,589,12,177,3.08599323034289e-06,10363.425814962597,0.004119017161428928,40.0,0.06932376470416785,0,0,,,0.0,80,2,3.0311194195404054,1.0,0.004265985253927225,11.432629229866027,37,0.006210327148437507,0.0,3.93354206292679,2,834,15
5,adaptive_t0_i100ms,1,0.5,0,True,True,True,False,13,589,12,177,3.08599323034289e-06,10363.425814962597,0.004119017161428928,40.0,0.06932376470416785,0,0,,,0.0,82,2,1.639051705673218,1.0,0.004277575184656775,10.04056151599884,83,0.01393127441406252,0.0,4.167601684061083,18,690,8
5,adaptive_t0_i100ms,1,0.5,0,True,True,True,True,13,589,12,177,3.08599323034289e-06,10363.425814962597,0.004119017161428928,40.0,0.06932376470416785,0,0,,,0.0,177,5,1.723789633483887,1.0,0.004277922462369967,18.52680925413513,293,0.049179077148437535,3.08599323034289e-06,0.6050045914525981,13,589,12
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,16,0,0.9852517563735605,1.0,0.45081094484686823,1.0361384613303182,18,0.0030212402343750278,0.0,20.055055852382793,0,1088,3
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,17,0,0.27966314060003644,1.0,0.4507701745687313,0.33054984555679406,91,0.01527404785156252,0.0,31.640122569051528,8,616,10
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,18,0,2.2429556028092126,1.0,0.4509216114793471,2.29384230776597,28,0.004699707031250035,0.0,12.22279291306404,16,752,11
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,19,0,0.30272199435669744,1.0,0.4506718041176351,0.35360869931345507,335,0.05622863769531252,0.0,5.737201837619068,24,760,5
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,48,1,4.692946657273952,1.0,0.4508941509847343,4.760795597216295,288,0.04833984375000002,0.0,1.591506315902734,1,577,6
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,49,1,0.26965152438495743,1.0,0.4507589087706492,0.3375004643273009,219,0.036758422851562514,0.0,30.9475175023872,9,521,12
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,50,1,0.5483477106125643,1.0,0.4508404108533204,0.6161966505549078,96,0.016113281250000007,0.0,11.020746647984197,17,1233,6
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,80,2,0.4916755886399259,1.0,0.4508604520638964,0.5595245285822694,13,0.002182006835937507,0.0,14.035683049425643,2,898,14
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,81,2,0.5623632271497788,1.0,0.4508396317194214,0.6302121670921224,22,0.0036926269531250173,0.0,19.608298430755895,10,682,12
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,82,2,8.959633654230617,1.0,0.45091401912980367,9.02748259417296,40,0.006713867187500028,0.0,0.3614386702665797,18,754,2
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,112,3,0.27728317130151287,1.0,0.4507900371495,0.34513211124385634,325,0.05455017089843753,0.0,0.37820617104443954,3,739,2
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,113,3,0.5550348778151565,1.0,0.45084201309143357,0.6228838177575,13,0.002182006835937507,0.0,25.961823843346792,11,651,8
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,114,3,2.323979373392339,1.0,0.45089731986262777,2.3918283133346825,39,0.006546020507812528,0.0,13.861175042135073,19,691,10
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,False,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,144,4,0.3133899020085566,1.0,0.45084162855091625,0.3812388419509001,98,0.016448974609375014,0.0,11.522499424610942,4,548,14
5,adaptive_t0_i100ms,2,1.0,0,True,True,True,True,12,780,4,145,0.00011970440275035798,10863.428730422835,0.0012035569234285504,40.0,0.5300116721761878,0,0,,,0.0,145,4,9.650131612437743,1.0,0.45070634764831674,9.717980552380087,12,0.002014160156250014,0.00011970440275035798,0.0056781907223921735,12,780,4
