num_ssu,evaluation,relative_time_s,selection_mode,attempt_index,npu_id,stage,accepted,rejection_reason,target_sum_gbps,npu_capacity_gbps,target_gbps_by_ssu,admission_remaining_before_gbps_by_ssu,admission_remaining_after_gbps_by_ssu,violating_ssu_ids,target_ssu0_gbps,admission_remaining_before_ssu0_gbps,admission_remaining_after_ssu0_gbps,target_ssu1_gbps,admission_remaining_before_ssu1_gbps,admission_remaining_after_ssu1_gbps,target_ssu2_gbps,admission_remaining_before_ssu2_gbps,admission_remaining_after_ssu2_gbps
3,131,0.03384420208521078,greedy_overload,0,6,pinned,True,,0.9654508306523437,50.0,"[0.30427107295825195,0.35113138588220216,0.31004837181188966]","[38.0,38.0,38.0]","[37.69572892704175,37.648868614117795,37.68995162818811]",,0.30427107295825195,38.0,37.69572892704175,0.35113138588220216,38.0,37.648868614117795,0.31004837181188966,38.0,37.68995162818811
3,131,0.03384420208521078,greedy_overload,1,18,pinned,True,,0.9421628036132814,50.0,"[0.3036792608074952,0.31125021190795904,0.32723333089782725]","[37.69572892704175,37.648868614117795,37.68995162818811]","[37.39204966623426,37.337618402209834,37.362718297290286]",,0.3036792608074952,37.69572892704175,37.39204966623426,0.31125021190795904,37.648868614117795,37.337618402209834,0.32723333089782725,37.68995162818811,37.362718297290286
3,131,0.03384420208521078,greedy_overload,2,19,pinned,True,,0.9590201139492189,50.0,"[0.2962089741485596,0.3589355804388428,0.3038755593618165]","[37.39204966623426,37.337618402209834,37.362718297290286]","[37.095840692085694,36.97868282177099,37.05884273792847]",,0.2962089741485596,37.39204966623426,37.095840692085694,0.3589355804388428,37.337618402209834,36.97868282177099,0.3038755593618165,37.362718297290286,37.05884273792847
3,131,0.03384420208521078,greedy_overload,3,7,pinned,True,,0.9165073182890623,50.0,"[0.2811046751696777,0.3224747971757812,0.31292784594360346]","[37.095840692085694,36.97868282177099,37.05884273792847]","[36.814736016916015,36.65620802459521,36.74591489198487]",,0.2811046751696777,37.095840692085694,36.814736016916015,0.3224747971757812,36.97868282177099,36.65620802459521,0.31292784594360346,37.05884273792847,36.74591489198487
3,131,0.03384420208521078,greedy_overload,4,13,pinned,True,,0.9308161792617187,50.0,"[0.2927567015419922,0.3284129664733886,0.30964651124633785]","[36.814736016916015,36.65620802459521,36.74591489198487]","[36.521979315374026,36.32779505812182,36.43626838073853]",,0.2927567015419922,36.814736016916015,36.521979315374026,0.3284129664733886,36.65620802459521,36.32779505812182,0.30964651124633785,36.74591489198487,36.43626838073853
3,131,0.03384420208521078,greedy_overload,5,22,pinned,True,,0.9654508306523437,50.0,"[0.3068387613376465,0.3389348660800781,0.3196772032346191]","[36.521979315374026,36.32779505812182,36.43626838073853]","[36.21514055403638,35.98886019204174,36.11659117750391]",,0.3068387613376465,36.521979315374026,36.21514055403638,0.3389348660800781,36.32779505812182,35.98886019204174,0.3196772032346191,36.43626838073853,36.11659117750391
3,131,0.03384420208521078,greedy_overload,6,9,pinned,True,,0.9683001765937502,50.0,"[0.2933307295166016,0.33038303219238285,0.34458641488476566]","[36.21514055403638,35.98886019204174,36.11659117750391]","[35.92180982451978,35.65847715984936,35.77200476261915]",,0.2933307295166016,36.21514055403638,35.92180982451978,0.33038303219238285,35.98886019204174,35.65847715984936,0.34458641488476566,36.11659117750391,35.77200476261915
3,131,0.03384420208521078,greedy_overload,7,31,pinned,True,,0.9683001765937501,50.0,"[0.3167971878779297,0.31617964950000005,0.33532333921582036]","[35.92180982451978,35.65847715984936,35.77200476261915]","[35.605012636641845,35.34229751034936,35.43668142340333]",,0.3167971878779297,35.92180982451978,35.605012636641845,0.31617964950000005,35.65847715984936,35.34229751034936,0.33532333921582036,35.77200476261915,35.43668142340333
3,131,0.03384420208521078,greedy_overload,8,17,pinned,True,,1.9085709938496098,50.0,"[0.5863479549766847,0.7005934017916262,0.6216296370812989]","[35.605012636641845,35.34229751034936,35.43668142340333]","[35.01866468166516,34.64170410855773,34.81505178632203]",,0.5863479549766847,35.605012636641845,35.01866468166516,0.7005934017916262,35.34229751034936,34.64170410855773,0.6216296370812989,35.43668142340333,34.81505178632203
3,131,0.03384420208521078,greedy_overload,9,26,pinned,True,,0.96830017659375,50.0,"[0.31926734138964846,0.3353233392158203,0.31370949598828124]","[35.01866468166516,34.64170410855773,34.81505178632203]","[34.69939734027551,34.306380769341914,34.501342290333746]",,0.31926734138964846,35.01866468166516,34.69939734027551,0.3353233392158203,34.64170410855773,34.306380769341914,0.31370949598828124,34.81505178632203,34.501342290333746
