num_ssu,case,case_label,compute_npu_s,io_barrier_npu_s,other_npu_s,compute_fraction,io_barrier_fraction,other_fraction,idle_fraction,io_barrier_share_of_idle,delta_vs_baseline_compute_npu_s,delta_vs_baseline_io_barrier_npu_s,delta_vs_baseline_other_npu_s,delta_partition_closure_npu_s,includes_carry_in,full_window_idle_root_cause_evidence
3,baseline,Baseline,1191.7200963913667,856.2799036086332,0.0,0.581894578316097,0.4181054216839029,0.0,0.4181054216839029,1.0,0.0,0.0,0.0,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,1194.3711205376217,853.6288794623783,0.0,0.5831890237000106,0.4168109762999894,0.0,0.4168109762999894,1.0,2.6510241462548727,-2.6510241462548727,0.0,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",1206.8004946672172,841.1995053327828,2.1827872842550278e-14,0.5892580540367272,0.41074194596327285,1.0658141036401503e-17,0.41074194596327285,1.0,15.08039827585034,-15.080398275850458,2.1827872842550278e-14,-9.458744898438453e-14,True,True
4,baseline,Baseline,1566.1585708187995,481.84142918120034,7.275957614183426e-15,0.7647258646576169,0.23527413534238298,3.552713678800501e-18,0.23527413534238298,1.0,0.0,0.0,0.0,0.0,True,True
4,layer_once_ttl_5ms,Layer once: TTL 5 ms,1563.246954824824,484.7530451751759,1.0913936421275138e-13,0.7633041771605585,0.23669582283944135,5.329070518200751e-17,0.2366958228394414,0.9999999999999998,-2.9116159939756616,2.9116159939755453,1.0186340659856796e-13,-1.4551915228366852e-14,True,True
4,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",1557.926254173841,490.0737458261591,0.0,0.7607061787958208,0.23929382120417925,0.0,0.23929382120417925,1.0,-8.232316644958454,8.232316644958745,-7.275957614183426e-15,2.837623469531536e-13,True,True
5,baseline,Baseline,1841.6151949922819,206.38480500771777,7.275957614183426e-14,0.8992261694298251,0.1007738305701747,3.552713678800501e-17,0.10077383057017474,0.9999999999999996,0.0,0.0,0.0,0.0,True,True
5,layer_once_ttl_5ms,Layer once: TTL 5 ms,1826.8509015111106,221.14909848888948,2.9103830456733704e-14,0.892017041753472,0.10798295824652807,1.4210854715202004e-17,0.10798295824652808,0.9999999999999999,-14.764293481171364,14.764293481171713,-4.3655745685100556e-14,3.055902197957039e-13,True,True
5,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",1835.2497711545857,212.75022884541426,4.3655745685100556e-14,0.896118052321575,0.10388194767842493,2.1316282072803006e-17,0.10388194767842494,0.9999999999999999,-6.365423837696202,6.365423837696493,-2.9103830456733704e-14,2.619344741106033e-13,True,True
