num_ssu,case,boundary,relative_time_s,ssu_id,read_only_left_boundary_snapshot,estimated_next_arbitration_rate_is_not_historical_service,path_state_present,path_is_active_command,active_command_npu_id,active_command_request_id,active_command_layer,active_command_path_id,active_command_remaining_gb,active_command_start_time_ms,active_command_age_ms,active_command_physical_service_gbps,aggregate_ssd_outstanding_gb,pressure_reports_cumulative,pressure_cache_hits_cumulative,pressure_cache_time_ms,pressure_cache_age_ms,pressure_ttl_ms,path_id,group_id,cir_gbps,path_weight,virtual_finish,estimated_next_arbitration_rate_gbps,pending_blocks,pending_gb,active_remaining_gb,head_wait_age_ms,head_npu_id,head_request_id,head_layer
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,0,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.00016784667968750022,0.0,0.28735271555706277,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,1,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.00016784667968750022,0.0,0.284552715576865,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,2,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.00016784667968750022,0.0,0.28175271559666726,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,3,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.0001678466796875,0.0,0.2789527156164695,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,4,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.0001678466796875,0.0,0.27615271563627175,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,5,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.0001678466796875,0.0,0.273352715656074,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,6,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.0001678466796875001,0.0,0.27135271567021846,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,7,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.00016784667968750022,0.0,0.2693527156843629,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,8,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.0001678466796875001,0.0,0.26755271569709294,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,9,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.00016784667968750022,0.0,0.26655271570416517,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,10,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.00016784667968750022,0.0,0.2929527155174583,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,11,0,0.20833333333333334,1.0,0.000692838829485438,0.3010955459770115,1,0.00016784667968750022,0.0,0.2901527155372605,18,626,10
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,15,0,0.1875,1.0,0.0007321900012446386,0.2802622126436781,1,0.00016784667968750434,0.0,1.0020574602021952,17,689,15
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,16,0,0.08333333333333333,1.0,0.0009878103015492263,0.1760955459770115,3,0.0005035400390625091,0.0,1.4706550092887483,5,389,5
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,17,0,0.08333333333333333,1.0,0.0009878103015492263,0.1760955459770115,3,0.0005035400390625087,0.0,1.4690550093000638,5,389,5
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,18,0,0.08333333333333333,1.0,0.0009878103015492263,0.1760955459770115,3,0.0005035400390625076,0.0,1.4674550093113794,5,389,5
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,19,0,0.08333333333333333,1.0,0.0009878103015492263,0.1760955459770115,3,0.000503540039062508,0.0,1.4654550093255239,5,389,5
4,layer_once_ttl_5ms,0,0.0,3,True,True,True,False,18,626,10,96,0.00010945255511614959,9632.366145613241,0.00145985311428376,40.0,0.11894490177386614,1658,7712,9631.335515410947,1.032090055408844,5.0,20,0,0.08333333333333333,1.0,0.0009878103015492263,0.1760955459770115,3,0.0005035400390625091,0.0,1.4634550093396683,5,389,5
