num_ssu,case,npu_id,sequence,request_id,layer,io_start_relative_to_admission_ms,io_ready_relative_to_admission_ms,compute_start_relative_to_admission_ms,compute_end_relative_to_admission_ms,io_barrier_wait_ms,work_gb_ssu0,work_gb_ssu1,work_gb_ssu2,work_gb_ssu3,work_gb_ssu4
5,adaptive_t0_i100ms,8,19,616,0,-62.68748809016142,-52.27385568829595,0.0,82.27992809787429,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,1,0.0,7.281262095808415,82.27992809787429,164.55985619574858,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,2,82.27992809787429,88.28644817978784,164.55985619574858,246.83978429362287,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,3,164.55985619574858,167.46926243963935,246.83978429362287,329.11971239149716,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,4,246.83978429362287,249.74437108561506,329.11971239149716,411.39964048937145,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,5,329.11971239149716,335.9638697949322,411.39964048937145,493.67956858724574,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,6,411.39964048937145,429.6223170605572,493.67956858724574,575.95949668512,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,7,493.67956858724574,587.349940046397,587.349940046397,669.6298681442713,11.390443361276994,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,8,587.349940046397,666.1434657421978,669.6298681442713,751.9097962421456,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,9,669.6298681442713,700.1617915478619,751.9097962421456,834.1897243400199,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,10,751.9097962421456,807.3067195263775,834.1897243400199,916.4696524378942,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,11,834.1897243400199,883.8741786328228,916.4696524378942,998.7495805357685,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,12,916.4696524378942,935.3989131298931,998.7495805357685,1081.0295086336428,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,13,998.7495805357685,1001.65426732776,1081.0295086336428,1163.309436731517,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,14,1081.0295086336428,1096.2110008592135,1163.309436731517,1245.5893648293913,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,19,616,15,1163.309436731517,1201.740404545737,1245.5893648293913,1327.8692929272656,0.0,0.0322265625,0.0293731689453125,0.0255126953125,0.0276947021484375,0.03021240234375
5,adaptive_t0_i100ms,8,20,648,0,-82.27992809787429,-5.136609328794293,0.0,1.9589551474236941,0.0,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,1,0.0,11.933397995424457,11.933397995424457,13.892353142848151,9.974442848000763,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,2,11.933397995424457,24.056124435854144,24.056124435854144,26.01507958327784,10.163771293005993,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,3,24.056124435854144,36.073946701479144,36.073946701479144,38.03290184890284,10.058867118201306,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,4,36.073946701479144,47.14763139386196,47.14763139386196,49.10658654128565,9.114729544959118,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,5,47.14763139386196,58.37657426495571,58.37657426495571,60.3355294123794,9.269987723670056,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,6,58.37657426495571,69.04742692608852,69.04742692608852,71.00638207351221,8.711897513709118,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,7,69.04742692608852,80.27217363019008,80.27217363019008,82.23112877761378,9.265791556677868,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,8,80.27217363019008,91.29970048565883,91.29970048565883,93.25865563308253,9.068571708045056,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,9,91.29970048565883,98.7311122288229,98.7311122288229,100.69006737624659,5.472456595740368,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,10,98.7311122288229,105.75129960675258,105.75129960675258,107.71025475417628,5.061232230505993,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,11,105.75129960675258,112.68336747784633,112.68336747784633,114.64232262527003,4.973112723670056,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,12,112.68336747784633,119.51892350811977,119.51892350811977,121.47787865554346,4.876600882849743,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,13,119.51892350811977,126.5894648899557,126.5894648899557,128.5484200373794,5.111586234412243,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,14,126.5894648899557,133.59706376690883,133.59706376690883,135.55601891433253,5.048643729529431,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,20,648,15,133.59706376690883,140.71795915265102,140.71795915265102,142.6769143000747,5.161940238318493,0.045654296875,0.0357513427734375,0.0335693359375,0.0354156494140625,0.04288482666015625
5,adaptive_t0_i100ms,8,21,680,0,-1.9589551474236941,7.398497245154431,7.398497245154431,9.86076887269337,7.398497245154431,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,1,7.398497245154431,16.688810965857556,16.688810965857556,19.151082593396495,6.828042093164186,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,2,16.688810965857556,26.121794364295056,26.121794364295056,28.584065991833995,6.970711770898561,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,3,26.121794364295056,35.52540459378724,35.52540459378724,37.98767622132618,6.941338601953248,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,4,35.52540459378724,44.64367546781068,44.64367546781068,47.10594709534962,6.655999246484498,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,5,44.64367546781068,53.32554497464662,53.32554497464662,55.78781660218556,6.219597879296998,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,6,53.32554497464662,61.31085076077943,61.31085076077943,63.77312238831837,5.523034158593873,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,7,61.31085076077943,69.3423143838263,69.3423143838263,71.80458601136525,5.569191995507936,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,8,69.3423143838263,77.7388445351935,77.7388445351935,80.20111616273243,5.934258523828248,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,9,77.7388445351935,85.4220262978888,85.4220262978888,87.88429792542775,5.220910135156373,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,10,85.4220262978888,93.06324639066224,93.06324639066224,95.52551801820118,5.178948465234498,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,11,93.06324639066224,100.68768181546693,100.68768181546693,103.14995344300587,5.162163797265748,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
5,adaptive_t0_i100ms,8,21,680,12,100.68768181546693,108.1484667275763,108.1484667275763,110.61073835511525,4.998513284570436,0.0631103515625,0.0485076904296875,0.0469970703125,0.05010223388671875,0.04901123046875
