num_ssu,case,case_label,npu_id,compute_ms,io_barrier_ms,other_ms,measurement_ms,compute_fraction,io_barrier_fraction,other_fraction,idle_fraction,delta_vs_baseline_compute_ms,delta_vs_baseline_io_barrier_ms,delta_vs_baseline_other_ms,includes_carry_in,full_window_idle_root_cause_evidence
3,baseline,Baseline,0,38542.97823722431,25457.021762775687,0.0,64000.0,0.6022340349566299,0.3977659650433701,0.0,0.3977659650433701,0.0,0.0,0.0,True,True
3,baseline,Baseline,1,34662.97672603509,29337.023273964915,0.0,64000.0,0.5416090113442983,0.45839098865570177,0.0,0.45839098865570177,0.0,0.0,0.0,True,True
3,baseline,Baseline,2,33701.115246664966,30298.884753335034,0.0,64000.0,0.5265799257291401,0.4734200742708599,0.0,0.4734200742708599,0.0,0.0,0.0,True,True
3,baseline,Baseline,3,36486.06723459253,27513.932765407477,0.0,64000.0,0.5700948005405082,0.42990519945949185,0.0,0.42990519945949185,0.0,0.0,0.0,True,True
3,baseline,Baseline,4,38194.518759137616,25805.481240862384,0.0,64000.0,0.5967893556115252,0.40321064438847476,0.0,0.40321064438847476,0.0,0.0,0.0,True,True
3,baseline,Baseline,5,40573.47337536526,23426.52662463474,0.0,64000.0,0.6339605214900822,0.3660394785099178,0.0,0.3660394785099178,0.0,0.0,0.0,True,True
3,baseline,Baseline,6,35620.254517496534,28379.74548250347,0.0,64000.0,0.5565664768358833,0.4434335231641167,0.0,0.4434335231641167,0.0,0.0,0.0,True,True
3,baseline,Baseline,7,36201.606806720345,27798.393193279655,0.0,64000.0,0.5656501063550053,0.4343498936449946,0.0,0.4343498936449946,0.0,0.0,0.0,True,True
3,baseline,Baseline,8,36090.94455373307,27909.05544626693,0.0,64000.0,0.5639210086520792,0.43607899134792083,0.0,0.43607899134792083,0.0,0.0,0.0,True,True
3,baseline,Baseline,9,36755.383746076535,27244.61625392347,0.0,64000.0,0.5743028710324458,0.4256971289675542,0.0,0.4256971289675542,0.0,0.0,0.0,True,True
3,baseline,Baseline,10,34590.75354348158,29409.246456518424,0.0,64000.0,0.5404805241168997,0.4595194758831004,0.0,0.4595194758831004,0.0,0.0,0.0,True,True
3,baseline,Baseline,11,34048.40617652348,29951.59382347652,0.0,64000.0,0.5320063465081794,0.46799365349182065,0.0,0.46799365349182065,0.0,0.0,0.0,True,True
3,baseline,Baseline,12,34048.939014387644,29951.06098561236,0.0,64000.0,0.5320146720998069,0.4679853279001931,0.0,0.4679853279001931,0.0,0.0,0.0,True,True
