num_ssu,case,npu_id,sequence,request_id,layer,io_start_relative_to_admission_ms,io_ready_relative_to_admission_ms,compute_start_relative_to_admission_ms,compute_end_relative_to_admission_ms,io_barrier_wait_ms,work_gb_ssu0,work_gb_ssu1,work_gb_ssu2
3,baseline,24,22,728,0,-31.416419055018196,1.2822642969549634,1.2822642969549634,69.33845044978807,1.2822642969549634,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,1,1.2822642969549634,36.34543568367371,69.33845044978807,137.39463660262118,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,2,69.33845044978807,105.81088215584168,137.39463660262118,205.45082275545428,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,3,137.39463660262118,167.272140090412,205.45082275545428,273.5070089082874,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,4,205.45082275545428,237.13412434334168,273.5070089082874,341.5631950611205,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,5,273.5070089082874,309.7781673120917,341.5631950611205,409.6193812139536,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,6,341.5631950611205,374.5879665064276,409.6193812139536,477.6755673667867,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,7,409.6193812139536,444.3240657495917,477.6755673667867,545.7317535196198,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,8,477.6755673667867,506.70218617195496,545.7317535196198,613.7879396724529,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,9,545.7317535196198,580.9260860132636,613.7879396724529,681.844125825286,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,10,613.7879396724529,644.4644466089667,681.844125825286,749.9003119781191,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,11,681.844125825286,715.0167003321112,749.9003119781191,817.9564981309522,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,12,749.9003119781191,780.1600948023261,817.9564981309522,886.0126842837853,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,13,817.9564981309522,851.3270869898261,886.0126842837853,954.0688704366185,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,14,886.0126842837853,926.6440883325995,954.0688704366185,1022.1250565894516,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,22,728,15,954.0688704366185,988.1473079370917,1022.1250565894516,1090.1812427422847,0.0,0.083587646484375,0.0881195068359375,0.0834197998046875
3,baseline,24,23,760,0,-68.0561861528331,-29.792723867692985,0.0,141.33578827944075,0.0,0.0830841064453125,0.09466552734375,0.0854339599609375
3,baseline,24,23,760,1,0.0,36.271729257307015,141.33578827944075,282.6715765588815,0.0,0.0830841064453125,0.09466552734375,0.0854339599609375
3,baseline,24,23,760,2,141.33578827944075,174.8207710053539,282.6715765588815,424.00736483832225,0.0,0.0830841064453125,0.09466552734375,0.0854339599609375
3,baseline,24,23,760,3,282.6715765588815,319.48362806101795,424.00736483832225,565.343153117763,0.0,0.0830841064453125,0.09466552734375,0.0854339599609375
