num_ssu,npu_id,sequence,profile_id,profile_name,category,ideal_ttft_ms,baseline_request_id,baseline_admission_relative_s,baseline_completion_relative_s,baseline_ttft_ms,baseline_io_barrier_ms,baseline_slo_alpha1p5,baseline_slo_alpha2,baseline_barrier_delta_vs_baseline_ms,layer_once_ttl_5ms_request_id,layer_once_ttl_5ms_admission_relative_s,layer_once_ttl_5ms_completion_relative_s,layer_once_ttl_5ms_ttft_ms,layer_once_ttl_5ms_io_barrier_ms,layer_once_ttl_5ms_slo_alpha1p5,layer_once_ttl_5ms_slo_alpha2,layer_once_ttl_5ms_barrier_delta_vs_baseline_ms,adaptive_t0_i100ms_request_id,adaptive_t0_i100ms_admission_relative_s,adaptive_t0_i100ms_completion_relative_s,adaptive_t0_i100ms_ttft_ms,adaptive_t0_i100ms_io_barrier_ms,adaptive_t0_i100ms_slo_alpha1p5,adaptive_t0_i100ms_slo_alpha2,adaptive_t0_i100ms_barrier_delta_vs_baseline_ms
3,0,28,"192,64","seq_len_k=192,nql=64",LS,39.396346040612436,896,5.706293464953839,6.241641965281428,535.3485003275891,495.9521542869952,False,False,0.0,896,2.059668477709225,2.2029062485967934,143.23777088756833,103.8414248469453,False,False,-392.1107294400499,896,0.09459534742280448,0.617103692853374,522.5083454305695,483.1119993899465,False,False,-12.840154897048706
3,0,29,"176,2048","seq_len_k=176,nql=2048",LL,1002.9998094425738,928,6.241641965281428,7.276640524519784,1034.9985592383564,31.998749795802723,True,True,0.0,928,2.2029062485967934,3.736811143841218,1533.9048952444246,530.9050858018418,False,True,498.90633600603906,928,0.617103692853374,2.2321220764302545,1615.0183835768803,612.0185741342975,False,True,580.0198243384948
3,0,30,"96,512","seq_len_k=96,nql=512",LL,145.13346879256792,960,7.276640524519784,7.814893678153619,538.2531536338356,393.11968484129466,False,False,0.0,960,3.736811143841218,4.987178567374811,1250.367423533593,1105.233954741023,False,False,712.1142698997282,960,2.2321220764302545,2.4842045878544723,252.08251142421796,106.9490426316479,False,True,-286.17064220964676
3,0,31,"200,512","seq_len_k=200,nql=512",LL,284.7199227381171,992,7.814893678153619,8.424907580670725,610.0139025171047,325.29397977901317,False,False,0.0,992,4.987178567374811,6.137841311749826,1150.6627443750149,865.9428216368942,False,False,540.648841857881,992,2.4842045878544723,2.960253761062495,476.0491732080227,191.32925046990204,False,True,-133.96472930911114
3,0,32,"64,2048","seq_len_k=64,nql=2048",SL,401.70428667481804,1024,8.424907580670725,9.056243685325947,631.3361046552236,229.63181798042933,False,True,0.0,1024,6.137841311749826,6.539545598424638,401.70428667481247,0.0,True,True,-229.63181798042933,1024,2.960253761062495,3.5866153097484803,626.3615486859853,224.65726201116922,False,True,-4.974555969260109
3,0,33,"96,4096","seq_len_k=96,nql=4096",LL,1144.680340645995,1056,9.056243685325947,10.214447421384861,1158.203736058913,13.523395412903483,True,True,0.0,1056,6.539545598424638,8.54452024198284,2004.974643558202,860.2943029121925,False,True,846.770907499289,1056,3.5866153097484803,5.197426344033824,1610.8110342853433,466.1306936393339,True,True,452.60729822643043
3,0,34,"112,1024","seq_len_k=112,nql=1024",LL,330.8640576488932,1088,10.214447421384861,10.766802209219835,552.3547878349746,221.4907301861058,False,True,0.0,1088,8.54452024198284,9.887115662894152,1342.5954209113115,1011.7313632624428,False,False,790.240633076337,1088,5.197426344033824,5.7642240045408055,566.7976605069816,235.93360285811286,False,True,14.44287267200707
3,0,35,"200,512","seq_len_k=200,nql=512",LL,284.7199227381171,1120,10.766802209219835,11.358842364606272,592.0401553864358,307.32023264834424,False,False,0.0,1120,9.887115662894152,11.102043238934884,1214.9275760407327,930.2076533026411,False,False,622.8874206542969,1120,5.7642240045408055,6.325101325759761,560.8773212189553,276.1573984808638,False,True,-31.16283416748047
3,0,36,"32,4096","seq_len_k=32,nql=4096",SL,457.4854719340925,1152,11.358842364606272,11.87119336542272,512.3510008164485,54.86552888236838,True,True,0.0,1152,11.102043238934884,11.559528710868964,457.4854719340801,0.0,True,True,-54.86552888236838,1152,6.325101325759761,6.898038683692908,572.9373579331477,115.4518859990676,True,True,60.58635711669922
3,0,37,"160,4096","seq_len_k=160,nql=4096",LL,1831.8747488614208,1184,11.87119336542272,13.704891188731128,1833.6978233084083,1.823074446991086,True,True,0.0,1184,11.559528710868964,13.757605009073451,2198.076298204487,366.2015493430699,True,True,364.37847489607884,1184,6.898038683692908,9.64748858112782,2749.4498974349117,917.5751485734945,False,True,915.7520741265034
3,0,38,"192,4096","seq_len_k=192,nql=4096",LL,2175.473295290288,1216,13.704891188731128,15.880364484021442,2175.473295290314,0.0,True,True,0.0,1216,13.757605009073451,16.068505454877425,2310.9004458039744,135.4271505136603,True,True,135.4271505136603,1216,9.64748858112782,12.59170733873738,2944.2187576095603,768.7454623192461,True,True,768.7454623192461
3,0,39,"80,256","seq_len_k=80,nql=256",SS,64.17192994809237,1248,15.880364484021442,16.418354089788345,537.9896057668993,473.8176758188092,False,False,0.0,1248,16.068505454877425,16.13469786611078,66.1924112333545,2.0204812852643954,True,True,-471.7971945335448,1248,12.59170733873738,12.685196127418882,93.48878868150132,29.31685873341121,True,True,-444.500817085398
3,0,40,"200,2048","seq_len_k=200,nql=2048",LL,1131.8486054585294,1280,16.418354089788345,17.583711976785736,1165.3578869973971,33.5092815388889,True,True,0.0,1280,16.13469786611078,17.768061396472433,1633.3635303616538,501.5149249031456,True,True,468.0056433642567,1280,12.685196127418882,14.226058266745216,1540.8621393263347,409.0135338678265,True,True,375.5042523289376
3,0,41,"112,256","seq_len_k=112,nql=256",LS,85.64676761444342,1312,17.583711976785736,18.07126143743058,487.5494606448374,401.90269303036985,False,False,0.0,1312,17.768061396472433,17.907931931510166,139.87053503773132,54.22376742326378,False,True,-347.67892560710607,1312,14.226058266745216,14.38462008425301,158.56181750779433,72.9150498933268,False,True,-328.98764313704305
3,0,42,"64,4096","seq_len_k=64,nql=4096",SL,801.0827193710202,1344,18.07126143743058,18.899968910217286,828.7074727867112,27.62475341569734,True,True,0.0,1344,17.907931931510166,18.70901465088118,801.0827193710138,0.0,True,True,-27.62475341569734,1344,14.38462008425301,15.476763153076174,1092.143068823163,291.06034945214924,True,True,263.4355960364519
3,0,43,"80,1024","seq_len_k=80,nql=1024",SL,244.96473832108794,1376,18.899968910217286,19.500555511039195,600.5866008219054,355.6218625008223,False,False,0.0,1376,18.70901465088118,18.953979389202264,244.96473832108313,0.0,True,True,-355.6218625008223,1376,15.476763153076174,15.87845750045196,401.6943473757856,156.72960905470245,False,True,-198.89225344611987
3,0,44,"48,4096","seq_len_k=48,nql=4096",SL,629.2841814562018,1408,19.500555511039195,20.152179054111272,651.6235430720808,22.339361615882808,True,True,0.0,1408,18.953979389202264,19.583263570658463,629.284181456198,0.0,True,True,-22.339361615882808,1408,15.87845750045196,16.633676348704547,755.2188482525853,125.93466679638732,True,True,103.59530518050451
3,0,45,"144,128","seq_len_k=144,nql=128",LS,56.4293799038855,1440,20.152179054111272,20.702658121389586,550.4790672783092,494.04968737442323,False,False,0.0,1440,19.583263570658463,19.651288959512144,68.02538885368267,11.59600894979667,True,True,-482.45367842462656,1440,16.633676348704547,16.734684752220804,101.00840351626175,44.57902361237575,False,True,-449.4706637620475
3,0,46,"160,512","seq_len_k=160,nql=512",LL,231.03280454429512,1472,20.702658121389586,21.363575985270916,660.9178638813355,429.8850593370189,False,False,0.0,1472,19.651288959512144,20.962751819926677,1311.4628604145364,1080.4300558702198,False,False,650.5449965332009,1472,16.734684752220804,17.153487976819918,418.80322459910894,187.77042005479234,False,True,-242.11463928222656
3,0,47,"48,256","seq_len_k=48,nql=256",SS,42.69709302504841,1504,21.363575985270916,21.914502604619322,550.9266193484036,508.2295263233791,False,False,0.0,1504,20.962751819926677,21.005448912951703,42.697093025024515,0.0,True,True,-508.2295263233791,1504,17.153487976819918,17.249537505714216,96.04952889430206,53.35243586927754,False,False,-454.87709045410156
3,0,48,"144,4096","seq_len_k=144,nql=4096",LL,1660.0766810169919,1536,21.914502604619322,23.60668435318646,1692.1817485671381,32.10506755019378,True,True,0.0,1536,21.005448912951703,22.73420498417974,1728.7560712280356,68.67939021103302,True,True,36.57432266083924,1536,17.249537505714216,19.591429355879242,2341.891850165026,681.8151691480234,True,True,649.7101015978296
3,0,49,"64,64","seq_len_k=64,nql=64",SS,17.921509803758415,1568,23.60668435318646,24.023126783866232,416.4424306797737,398.52092087603523,False,False,0.0,1568,22.73420498417974,22.761165081085572,26.96009690583378,9.038587102095335,False,True,-389.4823337739399,1568,19.591429355879242,19.924772211999706,333.34285612046006,315.4213463167216,False,False,-83.09957455931362
3,0,50,"96,64","seq_len_k=96,nql=64",LS,23.2902189487311,1600,24.023126783866232,24.42409976410088,400.9729802346483,377.6827612859124,False,False,0.0,1600,22.761165081085572,22.853823432719146,92.65835163357406,69.3681326848382,False,False,-308.3146286010742,1600,19.924772211999706,20.154044333164528,229.27212116482406,205.9819022160882,False,False,-171.70085906982422
