num_ssu,case,npu_id,sequence,request_id,layer,io_start_relative_to_admission_ms,io_ready_relative_to_admission_ms,compute_start_relative_to_admission_ms,compute_end_relative_to_admission_ms,io_barrier_wait_ms,work_gb_ssu0,work_gb_ssu1,work_gb_ssu2
3,adaptive_t0_i100ms,8,19,616,0,-62.68748809016142,26.762203682299514,26.762203682299514,109.0421317801738,26.762203682299514,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,1,26.762203682299514,143.10093354069795,143.10093354069795,225.38086163857224,34.05880176052415,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,2,143.10093354069795,275.2424282916745,275.2424282916745,357.5223563895488,49.86156665310227,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,3,275.2424282916745,382.9999966510495,382.9999966510495,465.2799247489238,25.47764026150071,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,4,382.9999966510495,493.8879055865964,493.8879055865964,576.1678336844707,28.607980837672585,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,5,493.8879055865964,622.6640744098386,622.6640744098386,704.9440025077129,46.4962407253679,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,6,622.6640744098386,701.7744107135495,704.9440025077129,787.2239306055872,0.0,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,7,704.9440025077129,777.1060986407956,787.2239306055872,869.5038587034614,0.0,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,8,787.2239306055872,871.759037483569,871.759037483569,954.0389655814433,2.255178780107599,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,9,871.759037483569,973.7993283160886,973.7993283160886,1056.0792564139629,19.76036273464524,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,10,973.7993283160886,1063.261608589526,1063.261608589526,1145.5415366874004,7.18235217556321,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,11,1063.261608589526,1173.7215084918698,1173.7215084918698,1256.0014365897441,28.17997180446946,0.0475006103515625,0.051361083984375,0.0461578369140625
3,adaptive_t0_i100ms,8,19,616,12,1173.7215084918698,1264.6566433795651,1264.6566433795651,1346.9365714774394,8.655206789821023,0.0475006103515625,0.051361083984375,0.0461578369140625
