num_ssu,policy,matched_request_count,mean_barrier_delta_vs_baseline_ms,median_barrier_delta_vs_baseline_ms,p99_barrier_delta_vs_baseline_ms,total_barrier_delta_vs_baseline_s,barrier_improved_request_count,barrier_regressed_request_count,barrier_unchanged_request_count,baseline_matched_slo_alpha1p5,policy_matched_slo_alpha1p5,fail_to_pass_alpha1p5,pass_to_fail_alpha1p5,baseline_matched_slo_alpha2,policy_matched_slo_alpha2,fail_to_pass_alpha2,pass_to_fail_alpha2
3,layer_once_ttl_5ms,2669,4.954969356723948,-253.1363903435158,1255.5754569031385,13.224813213096219,1612,1034,23,0.34095166729112025,0.5384038965904834,891,364,0.3994005245410266,0.6624203821656051,1019,317
3,adaptive_t0_i100ms,2669,-3.2523039493452477,-107.67784118652344,1248.971096396823,-8.680399240802465,1551,1118,0,0.34095166729112025,0.30947920569501686,267,351,0.3994005245410266,0.7242412888722368,868,1
4,layer_once_ttl_5ms,3664,0.3551716347359974,-46.49684463382073,764.9797545807975,1.3013488696726945,2149,1358,157,0.46779475982532753,0.6312772925764192,1110,511,0.5275655021834061,0.7530021834061136,1234,408
4,adaptive_t0_i100ms,3664,2.405567910948054,-3.6481979067830252,487.1586576647671,8.814000825713668,1866,1789,9,0.46779475982532753,0.5070960698689956,445,301,0.5275655021834061,0.7849344978165939,951,8
5,layer_once_ttl_5ms,4395,3.35907759920073,-0.04375753364729462,451.3315429920468,14.763146048487208,2201,1640,554,0.630716723549488,0.7435722411831627,876,380,0.697155858930603,0.8502844141069397,877,204
5,adaptive_t0_i100ms,4395,1.3829220360816572,0.00041961669921875,216.45471786618378,6.077942348578883,1904,2200,291,0.630716723549488,0.6935153583617747,507,231,0.697155858930603,0.8482366325369738,725,61
