num_ssu,case,npu_id,sequence,request_id,layer,io_start_relative_to_admission_ms,io_ready_relative_to_admission_ms,compute_start_relative_to_admission_ms,compute_end_relative_to_admission_ms,io_barrier_wait_ms,work_gb_ssu0,work_gb_ssu1,work_gb_ssu2,work_gb_ssu3
4,adaptive_t0_i100ms,16,18,592,0,-68.0561861528331,-65.49924270111478,0.0,2.1846589028464223,0.0,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,1,0.0,2.253142085952277,2.253142085952277,4.437800988798699,0.06848318310585455,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,2,2.253142085952277,4.716292110366339,4.716292110366339,6.900951013212762,0.2784911215676402,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,3,4.716292110366339,7.376661983413214,7.376661983413214,9.561320886259637,0.4757109702004527,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,4,7.376661983413214,9.873381343764777,9.873381343764777,12.058040246611199,0.3120604575051402,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,5,9.873381343764777,12.65544005958509,12.65544005958509,14.840098962431512,0.5973998129738902,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,6,12.65544005958509,15.739622798842902,15.739622798842902,17.924281701689324,0.8995238364113902,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,7,15.739622798842902,18.94969054786634,18.94969054786634,21.13434945071276,1.0254088461770152,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,8,18.94969054786634,22.361174312514777,22.361174312514777,24.5458332153612,1.2268248618020152,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,9,22.361174312514777,25.369826045913214,25.369826045913214,27.554484948759637,0.8239928305520152,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,10,25.369826045913214,28.39945861427259,28.39945861427259,30.58411751711901,0.8449736655129527,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
4,adaptive_t0_i100ms,16,18,592,11,28.39945861427259,31.227675167006964,31.227675167006964,33.41233406985339,0.6435576498879527,0.028869628906250003,0.028198242187500003,0.027526855468750003,0.022659301757812503
