num_ssu,case,npu_id,sequence,request_id,layer,io_start_relative_to_admission_ms,io_ready_relative_to_admission_ms,compute_start_relative_to_admission_ms,compute_end_relative_to_admission_ms,io_barrier_wait_ms,work_gb_ssu0,work_gb_ssu1,work_gb_ssu2,work_gb_ssu3,work_gb_ssu4
5,baseline,0,34,1088,0,-71.54252129037559,-65.56024417772642,0.0,20.679003603056117,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,1,0.0,11.718465233894676,20.679003603056117,41.358007206112234,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,2,20.679003603056117,36.983586693855614,41.358007206112234,62.03701080916835,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,3,41.358007206112234,56.45170345410952,62.03701080916835,82.71601441222447,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,4,62.03701080916835,75.3676242548936,82.71601441222447,103.39501801528058,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,5,82.71601441222447,95.13241002149516,103.39501801528058,124.0740216183367,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,6,103.39501801528058,117.30076024122172,124.0740216183367,144.75302522139282,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,7,124.0740216183367,138.8942355830186,144.75302522139282,165.43202882444893,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,8,144.75302522139282,161.43184849805766,165.43202882444893,186.11103242750505,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,9,165.43202882444893,183.18477818555766,186.11103242750505,206.79003603056117,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,10,186.11103242750505,200.84224888868266,206.79003603056117,227.46903963361729,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,11,206.79003603056117,217.79895970411235,227.46903963361729,248.1480432366734,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,12,227.46903963361729,241.15902134962016,248.1480432366734,268.8270468397295,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,13,248.1480432366734,262.1944064814561,268.8270468397295,289.50605044278564,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,14,268.8270468397295,283.0703372675889,289.50605044278564,310.18505404584175,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,34,1088,15,289.50605044278564,300.4676456171983,310.18505404584175,330.86405764889787,0.0,0.028533935546875,0.0281982421875,0.033905029296875,0.0270233154296875,0.0313873291015625
5,baseline,0,35,1120,0,-20.679003603056117,-10.04080595259802,0.0,17.79499517113254,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,1,0.0,10.48684297318323,17.79499517113254,35.58999034226508,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,2,17.79499517113254,25.987483842323854,35.58999034226508,53.38498551339762,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,3,35.58999034226508,45.38636384720667,53.38498551339762,71.17998068453016,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,4,53.38498551339762,64.37821565384729,71.17998068453016,88.9749758556627,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,5,71.17998068453016,79.31657014603479,88.9749758556627,106.76997102679525,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,6,88.9749758556627,97.05796418900354,106.76997102679525,124.56496619792779,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,7,106.76997102679525,112.32465893997869,124.56496619792779,142.35996136906033,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,8,124.56496619792779,131.85677705521448,142.35996136906033,160.15495654019287,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,9,142.35996136906033,148.3980673384176,160.15495654019287,177.9499517113254,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,10,160.15495654019287,167.82212434525354,177.9499517113254,195.74494688245795,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,11,177.9499517113254,186.20553193802698,195.74494688245795,213.5399420535905,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,12,195.74494688245795,207.70669160599573,213.5399420535905,231.33493722472303,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,13,213.5399420535905,222.66602693314417,231.33493722472303,249.12993239585558,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,14,231.33493722472303,237.88972078080042,249.12993239585558,266.9249275669881,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,35,1120,15,249.12993239585558,255.1981703901747,266.9249275669881,284.71992273812066,0.0,0.0582427978515625,0.05438232421875,0.0495147705078125,0.0475006103515625,0.0582427978515625
5,baseline,0,36,1152,0,-17.79499517113254,-15.859571854784008,0.0,28.592841995880008,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
5,baseline,0,36,1152,1,0.0,0.7561492919921875,28.592841995880008,57.185683991760015,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
5,baseline,0,36,1152,2,28.592841995880008,29.349091287871488,57.185683991760015,85.77852598764002,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
5,baseline,0,36,1152,3,57.185683991760015,60.944871353232884,85.77852598764002,114.37136798352003,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
5,baseline,0,36,1152,4,85.77852598764002,93.42991773995163,114.37136798352003,142.96420997940004,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
5,baseline,0,36,1152,5,114.37136798352003,125.89314405831101,142.96420997940004,171.55705197528005,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
5,baseline,0,36,1152,6,142.96420997940004,151.70292799385788,171.55705197528005,200.14989397116005,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
5,baseline,0,36,1152,7,171.55705197528005,181.4122099152446,200.14989397116005,228.74273596704006,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
5,baseline,0,36,1152,8,200.14989397116005,208.05367414864304,228.74273596704006,257.33557796292007,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
5,baseline,0,36,1152,9,228.74273596704006,239.44100325020554,257.33557796292007,285.9284199588001,0.0,0.01007080078125,0.0078887939453125,0.007720947265625,0.005706787109375,0.0062103271484375
