num_ssu,case,boundary,relative_time_s,ssu_id,read_only_left_boundary_snapshot,estimated_next_arbitration_rate_is_not_historical_service,path_state_present,path_is_active_command,active_command_npu_id,active_command_request_id,active_command_layer,active_command_path_id,active_command_remaining_gb,active_command_start_time_ms,active_command_age_ms,active_command_physical_service_gbps,aggregate_ssd_outstanding_gb,pressure_reports_cumulative,pressure_cache_hits_cumulative,pressure_cache_time_ms,pressure_cache_age_ms,pressure_ttl_ms,path_id,group_id,cir_gbps,path_weight,virtual_finish,estimated_next_arbitration_rate_gbps,pending_blocks,pending_gb,active_remaining_gb,head_wait_age_ms,head_npu_id,head_request_id,head_layer
5,baseline,0,0.0,0,True,True,True,True,7,647,5,0,2.1158506788196982e-05,9533.210006931948,0.0036672043224825757,40.0,0.07337015753022569,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.032369232177739,40.0,437,0.07334899902343772,2.1158506788196982e-05,2.278472728567067,7,647,5
5,baseline,1,0.5,0,True,True,False,False,,,,,,,,,0.0,0,0,,,0.0,,,,,,,,,,,,,
5,baseline,2,1.0,0,True,True,True,True,23,791,15,0,5.1888205562136135e-05,10533.210775174417,0.0028989618531340966,40.0,0.14003601906493712,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.014434814453124186,40.0,834,0.13998413085937544,5.1888205562136135e-05,3.7485604322810104,23,791,15
5,baseline,3,1.5,0,True,True,True,True,12,748,2,0,1.5772431870573236e-05,11033.209872280075,0.00380185619542317,40.0,0.26890615329124556,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.3762031555180125,40.0,1602,0.26889038085937544,1.5772431870573236e-05,6.356361708023542,12,748,2
5,baseline,4,2.0,0,True,True,True,True,22,630,10,0,0.0001225839553080732,11533.21254256816,0.00113156810948567,40.0,0.4605260263381206,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.8762058258087442,40.0,2743,0.46040344238281294,0.0001225839553080732,8.41335553733552,0,1120,3
5,baseline,5,2.5,0,True,True,True,True,12,908,11,0,0.00015749879930808673,12033.21341543926,0.00025869700948533136,40.0,0.3719378943071206,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.2244613647458942,40.0,2215,0.37178039550781294,0.00015749879930808673,8.295400909082673,12,908,11
5,baseline,6,3.0,0,True,True,True,True,24,856,14,0,6.971721959416757e-05,12533.211220899768,0.0024532365023333114,40.0,0.03162489300084417,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.04147491455078889,40.0,188,0.03155517578125047,6.971721959416757e-05,1.1749967289615597,24,856,14
5,baseline,7,3.5,0,True,True,True,True,20,948,8,0,8.458356991468463e-05,13033.211592558526,0.0020815777443203842,40.0,0.2803885386480397,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.4750690460214653,40.0,1670,0.28030395507812544,8.458356991468463e-05,5.686323709211138,20,948,8
5,baseline,8,4.0,0,True,True,True,True,3,803,9,0,2.3548413664684645e-05,13533.21006667962,0.0036074566505703842,40.0,0.1705557749761647,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.9750675201452031,40.0,1016,0.17053222656250044,2.3548413664684645e-05,4.153125181506766,3,803,9
5,baseline,9,4.5,0,True,True,True,True,27,539,12,0,8.706082859134767e-05,14033.211654489993,0.002019646277403808,40.0,0.09508828153171635,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.02263832092285297,40.0,566,0.09500122070312544,8.706082859134767e-05,4.276463837539268,27,539,12
5,baseline,10,5.0,0,True,True,True,True,6,1126,4,0,0.0001256627564725932,14533.21261953819,0.0010545980803726707,40.0,0.3976705235963163,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.2636514663694678,40.0,2369,0.3975448608398442,0.0001256627564725932,10.467501648341567,6,1126,4
5,baseline,11,5.5,0,True,True,True,True,16,1104,3,0,9.709543992357794e-05,15033.211905355276,0.0017687809940980515,40.0,0.058675586650861075,0,0,,,0.0,0,0,0.20833333333333334,1.0,0.02463989257812707,40.0,349,0.058578491210937944,9.709543992357794e-05,4.528528516166261,16,1104,3
