num_ssu,evaluation,relative_time_s,selection_mode,attempt_index,npu_id,stage,accepted,rejection_reason,target_sum_gbps,npu_capacity_gbps,target_gbps_by_ssu,admission_remaining_before_gbps_by_ssu,admission_remaining_after_gbps_by_ssu,violating_ssu_ids,target_ssu0_gbps,admission_remaining_before_ssu0_gbps,admission_remaining_after_ssu0_gbps,target_ssu1_gbps,admission_remaining_before_ssu1_gbps,admission_remaining_after_ssu1_gbps,target_ssu2_gbps,admission_remaining_before_ssu2_gbps,admission_remaining_after_ssu2_gbps,target_ssu3_gbps,admission_remaining_before_ssu3_gbps,admission_remaining_after_ssu3_gbps,target_ssu4_gbps,admission_remaining_before_ssu4_gbps,admission_remaining_after_ssu4_gbps
5,101,0.13660194306596896,greedy_overload,0,0,pinned,True,,0.8979035137617187,50.0,"[0.20129630403625487,0.169576886430542,0.17445679683142087,0.17811672963208006,0.17445679683142087]","[38.0,38.0,38.0,38.0,38.0]","[37.798703695963745,37.83042311356946,37.82554320316858,37.82188327036792,37.82554320316858]",,0.20129630403625487,38.0,37.798703695963745,0.169576886430542,38.0,37.83042311356946,0.17445679683142087,38.0,37.82554320316858,0.17811672963208006,38.0,37.82188327036792,0.17445679683142087,38.0,37.82554320316858
5,101,0.13660194306596896,greedy_overload,1,2,pinned,True,,0.6837648825820314,50.0,"[0.1495735680648194,0.15262608986206058,0.12820591548413088,0.10073321930895998,0.15262608986206058]","[37.798703695963745,37.83042311356946,37.82554320316858,37.82188327036792,37.82554320316858]","[37.64913012789893,37.6777970237074,37.69733728768445,37.72115005105896,37.67291711330652]",,0.1495735680648194,37.798703695963745,37.64913012789893,0.15262608986206058,37.83042311356946,37.6777970237074,0.12820591548413088,37.82554320316858,37.69733728768445,0.10073321930895998,37.82188327036792,37.72115005105896,0.15262608986206058,37.82554320316858,37.67291711330652
5,101,0.13660194306596896,greedy_overload,2,3,pinned,True,,1.8887065150078124,50.0,"[0.4009753910830078,0.3878593736176757,0.33726902053710933,0.3541324715639648,0.40847025820605465]","[37.64913012789893,37.6777970237074,37.69733728768445,37.72115005105896,37.67291711330652]","[37.24815473681592,37.289937650089726,37.36006826714734,37.367017579495,37.264446855100466]",,0.4009753910830078,37.64913012789893,37.24815473681592,0.3878593736176757,37.6777970237074,37.289937650089726,0.33726902053710933,37.69733728768445,37.36006826714734,0.3541324715639648,37.72115005105896,37.367017579495,0.40847025820605465,37.67291711330652,37.264446855100466
5,101,0.13660194306596896,greedy_overload,3,6,pinned,True,,0.9654508306523436,50.0,"[0.20734083663610836,0.1925766284545898,0.1803801086524658,0.176528576083374,0.20862468082580563]","[37.24815473681592,37.289937650089726,37.36006826714734,37.367017579495,37.264446855100466]","[37.04081390017981,37.09736102163514,37.179688158494876,37.19048900341163,37.05582217427466]",,0.20734083663610836,37.24815473681592,37.04081390017981,0.1925766284545898,37.289937650089726,37.09736102163514,0.1803801086524658,37.36006826714734,37.179688158494876,0.176528576083374,37.367017579495,37.19048900341163,0.20862468082580563,37.264446855100466,37.05582217427466
5,101,0.13660194306596896,greedy_overload,4,9,pinned,True,,0.9683001765937501,50.0,"[0.19637720418164065,0.18464397500097657,0.1883492052685547,0.18032120635546878,0.2186085857871094]","[37.04081390017981,37.09736102163514,37.179688158494876,37.19048900341163,37.05582217427466]","[36.84443669599817,36.912717046634164,36.99133895322632,37.01016779705616,36.83721358848755]",,0.19637720418164065,37.04081390017981,36.84443669599817,0.18464397500097657,37.09736102163514,36.912717046634164,0.1883492052685547,37.179688158494876,36.99133895322632,0.18032120635546878,37.19048900341163,37.01016779705616,0.2186085857871094,37.05582217427466,36.83721358848755
5,101,0.13660194306596896,greedy_overload,5,10,pinned,True,,0.8367581571679689,50.0,"[0.17781110839819342,0.16386513911206058,0.15340566214746096,0.1743246160766602,0.16735163143359377]","[36.84443669599817,36.912717046634164,36.99133895322632,37.01016779705616,36.83721358848755]","[36.666625587599974,36.7488519075221,36.837933291078855,36.8358431809795,36.66986195705395]",,0.17781110839819342,36.84443669599817,36.666625587599974,0.16386513911206058,36.912717046634164,36.7488519075221,0.15340566214746096,36.99133895322632,36.837933291078855,0.1743246160766602,37.01016779705616,36.8358431809795,0.16735163143359377,36.83721358848755,36.66986195705395
5,101,0.13660194306596896,greedy_overload,6,11,pinned,True,,0.96830017659375,50.0,"[0.19884735769335937,0.1883492052685547,0.17538089933203124,0.1976122809375,0.2081104333623047]","[36.666625587599974,36.7488519075221,36.837933291078855,36.8358431809795,36.66986195705395]","[36.467778229906614,36.560502702253544,36.66255239174682,36.638230900042004,36.461751523691646]",,0.19884735769335937,36.666625587599974,36.467778229906614,0.1883492052685547,36.7488519075221,36.560502702253544,0.17538089933203124,36.837933291078855,36.66255239174682,0.1976122809375,36.8358431809795,36.638230900042004,0.2081104333623047,36.66986195705395,36.461751523691646
5,101,0.13660194306596896,greedy_overload,7,12,pinned,True,,0.9165073182890623,50.0,"[0.18139207341137692,0.20578983767138667,0.16760203274267574,0.15805508151049802,0.20366829295312497]","[36.467778229906614,36.560502702253544,36.66255239174682,36.638230900042004,36.461751523691646]","[36.28638615649524,36.354712864582154,36.49495035900414,36.48017581853151,36.25808323073852]",,0.18139207341137692,36.467778229906614,36.28638615649524,0.20578983767138667,36.560502702253544,36.354712864582154,0.16760203274267574,36.66255239174682,36.49495035900414,0.15805508151049802,36.638230900042004,36.48017581853151,0.20366829295312497,36.461751523691646,36.25808323073852
5,101,0.13660194306596896,greedy_overload,8,15,pinned,True,,0.96830017659375,50.0,"[0.21552089389746096,0.18587905175683594,0.1889667436464844,0.18155628311132813,0.19637720418164065]","[36.28638615649524,36.354712864582154,36.49495035900414,36.48017581853151,36.25808323073852]","[36.07086526259778,36.16883381282532,36.30598361535766,36.29861953542018,36.06170602655688]",,0.21552089389746096,36.28638615649524,36.07086526259778,0.18587905175683594,36.354712864582154,36.16883381282532,0.1889667436464844,36.49495035900414,36.30598361535766,0.18155628311132813,36.48017581853151,36.29861953542018,0.19637720418164065,36.25808323073852,36.06170602655688
5,101,0.13660194306596896,greedy_overload,9,17,pinned,True,,0.9165073182890623,50.0,"[0.21427601654443354,0.17714898397485349,0.16548048802441404,0.16335894330615233,0.19624288643920895]","[36.07086526259778,36.16883381282532,36.30598361535766,36.29861953542018,36.06170602655688]","[35.856589246053346,35.99168482885047,36.14050312733325,36.13526059211403,35.86546314011767]",,0.21427601654443354,36.07086526259778,35.856589246053346,0.17714898397485349,36.16883381282532,35.99168482885047,0.16548048802441404,36.30598361535766,36.14050312733325,0.16335894330615233,36.29861953542018,36.13526059211403,0.19624288643920895,36.06170602655688,35.86546314011767
5,101,0.13660194306596896,greedy_overload,10,19,pinned,True,,0.9590201139492189,50.0,"[0.20351298929736333,0.21327046138696293,0.16308917635473635,0.1853919697023926,0.1937555172077637]","[35.856589246053346,35.99168482885047,36.14050312733325,36.13526059211403,35.86546314011767]","[35.65307625675598,35.778414367463505,35.97741395097851,35.949868622411635,35.671707622909906]",,0.20351298929736333,35.856589246053346,35.65307625675598,0.21327046138696293,35.99168482885047,35.778414367463505,0.16308917635473635,36.14050312733325,35.97741395097851,0.1853919697023926,36.13526059211403,35.949868622411635,0.1937555172077637,35.86546314011767,35.671707622909906
