num_ssu,case,npu_id,sequence,request_id,layer,io_start_relative_to_admission_ms,io_ready_relative_to_admission_ms,compute_start_relative_to_admission_ms,compute_end_relative_to_admission_ms,io_barrier_wait_ms,work_gb_ssu0,work_gb_ssu1,work_gb_ssu2,work_gb_ssu3
4,baseline,8,19,616,0,-62.68748809016142,-43.43775611638557,0.0,82.27992809787429,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,1,0.0,15.417682116036303,82.27992809787429,164.55985619574858,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,2,82.27992809787429,98.14301628351677,164.55985619574858,246.83978429362287,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,3,164.55985619574858,176.12877983332146,246.83978429362287,329.11971239149716,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,4,246.83978429362287,259.162632274727,329.11971239149716,411.39964048937145,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,5,329.11971239149716,345.23315076837935,411.39964048937145,493.67956858724574,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,6,411.39964048937145,425.3307451653527,493.67956858724574,575.95949668512,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,7,493.67956858724574,508.8512529778527,575.95949668512,658.2394247829943,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,8,575.95949668512,592.9676165032433,658.2394247829943,740.5193528808686,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,9,658.2394247829943,670.2064623284386,740.5193528808686,822.7992809787429,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,10,740.5193528808686,754.1759600091027,822.7992809787429,905.0792090766172,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,11,822.7992809787429,834.1087450432824,905.0792090766172,987.3591371744915,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,12,905.0792090766172,923.126231615548,987.3591371744915,1069.6390652723658,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,13,987.3591371744915,1005.526362841134,1069.6390652723658,1151.91899337024,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,14,1069.6390652723658,1082.7106584954308,1151.91899337024,1234.1989214681143,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,19,616,15,1151.91899337024,1168.9901461052941,1234.1989214681143,1316.4788495659886,0.0,0.039276123046875,0.0381011962890625,0.0327301025390625,0.034912109375
4,baseline,8,20,648,0,-82.27992809787429,-64.41508743286249,0.0,1.9589551474236941,0.0,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,1,0.0,23.92891433715704,23.92891433715704,25.887869484580733,21.969959189733345,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,2,23.92891433715704,45.77625778198126,45.77625778198126,47.73521292940495,19.888388297400525,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,3,45.77625778198126,65.17723587036016,65.17723587036016,67.13619101778386,17.442022940955212,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,4,65.17723587036016,88.14495590209845,88.14495590209845,90.10391104952214,21.008764884314587,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,5,88.14495590209845,111.35185745239141,111.35185745239141,113.31081259981511,21.247946402869275,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,6,111.35185745239141,139.64031723022345,139.64031723022345,141.59927237764714,26.329504630408337,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,7,139.64031723022345,164.84249618530157,164.84249618530157,166.80145133272526,23.24322380765443,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,8,164.84249618530157,187.55215194702032,187.55215194702032,189.51110709444401,20.750700614295056,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,9,187.55215194702032,208.99876144409063,208.99876144409063,210.95771659151433,19.48765434964662,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,10,208.99876144409063,231.71261337280157,231.71261337280157,233.67156852022526,20.754896781287243,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
4,baseline,8,20,648,11,231.71261337280157,256.7511418151844,256.7511418151844,258.7100969626081,23.07957329495912,0.05438232421875,0.0469970703125,0.0448150634765625,0.04708099365234375
