num_ssu,case,case_label,block,relative_start_s,relative_end_s,npu_id,ssu_id,pipeline_state_at_left_boundary,active_request_id,controller_request_id,controller_prefetch_only,slack_eligible_admitted_nonprefetch,prefetch_requests_excluded_from_slack,current_compute_layer,next_compute_layer,next_compute_layer_io_ready,waiting_on_io_layer,npu_utilization,compute_inventory_q_ms,deadline_slack_alpha1p5_ms_diagnostic_only,deadline_slack_alpha2_ms_diagnostic_only,slack_after_remaining_compute_alpha1p5_ms_diagnostic_only,slack_after_remaining_compute_alpha2_ms_diagnostic_only,manifest_demand_gbps_adaptive_input_otherwise_diagnostic,manifest_demand_policy_role,physical_remaining_demand_gbps_diagnostic_only,installed_cir_gbps_not_actual,interval_average_attributed_ssd_service_gbps,npu_link_delivered_gbps_actual_received,link_minus_controller_demand_gbps,link_minus_physical_demand_gbps,interval_average_ssd_service_minus_link_delivery_gbps,ssd_outstanding_gb_at_left_boundary,link_outstanding_gb_at_left_boundary,ssd_served_awaiting_nonstreaming_link_enqueue_gb_at_left_boundary,client_unissued_gb_at_left_boundary,route_plans_in_block,fresh_pressure_reads_in_block,pressure_cache_hits_in_block,route_blocks_by_group_in_block,route_block_count_in_block,dominant_route_group_in_block,dominant_route_group_share_in_block,left_boundary_ssd_command_owned_by_cell,left_boundary_ssd_command_request_id,left_boundary_inflight_ssd_command_physical_service_gbps,left_boundary_inflight_ssd_command_path_id,left_boundary_inflight_ssd_command_layer,left_boundary_inflight_ssd_command_block_idx,left_boundary_inflight_ssd_command_remaining_gb,left_boundary_inflight_ssd_command_age_ms,left_boundary_inflight_ssd_command_start_time_ms,left_boundary_inflight_ssd_command_non_preemptive,allocation_mechanism_code
4,baseline,Baseline,0,0.0,0.5,2,2,compute,610,610,False,True,True,11,12,False,,0.9999999999999963,508.2600138920798,1330.7720484723018,2160.8103889807976,822.512034580222,1652.5503750887178,0.46752240769958503,counterfactual_diagnostic,0.3506418057746888,,0.311187744140625,0.311187744140625,-0.15633466355896003,-0.039454061634063786,0.0,0.0,0.0,0.0,0.0,4,0,0,"[927,0,0,0,0,0,0,0]",927,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,2,3,compute,610,610,False,True,True,11,12,False,,0.9999999999999963,508.2600138920798,1330.7720484723018,2160.8103889807976,822.512034580222,1652.5503750887178,0.39796025015258796,counterfactual_diagnostic,0.29847018761444094,,0.266204833984375,0.266204833984375,-0.13175541616821296,-0.03226535363006594,0.0,0.0,0.0,0.0,0.0,4,0,0,"[793,0,0,0,0,0,0,0]",793,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,3,0,compute,579,579,False,True,True,4,5,True,,1.0,528.9564075928597,901.6072770674568,1274.2581465420553,372.65086947459713,745.3017389491956,1.0233376264160154,counterfactual_diagnostic,1.0233376264160154,,1.0513916015625,1.0513916015625,0.028053975146484555,0.028053975146484555,0.0,0.0,0.0,0.0,0.0,11,0,0,"[3132,0,0,0,0,0,0,0]",3132,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,3,1,compute,579,579,False,True,True,4,5,True,,1.0,528.9564075928597,901.6072770674568,1274.2581465420553,372.65086947459713,745.3017389491956,0.8900154708618162,counterfactual_diagnostic,0.8900154708618162,,0.9251708984375,0.9251708984375,0.035155427575683795,0.035155427575683795,0.0,0.0,0.0,0.0,0.0,11,0,0,"[2756,0,0,0,0,0,0,0]",2756,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,3,2,compute,579,579,False,True,True,4,5,True,,1.0,528.9564075928597,901.6072770674568,1274.2581465420553,372.65086947459713,745.3017389491956,0.8972220738647458,counterfactual_diagnostic,0.8972220738647458,,0.92987060546875,0.92987060546875,0.03264853160400416,0.03264853160400416,0.0,0.0,0.0,0.0,0.0,11,0,0,"[2770,0,0,0,0,0,0,0]",2770,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,3,3,compute,579,579,False,True,True,4,5,True,,1.0,528.9564075928597,901.6072770674568,1274.2581465420553,372.65086947459713,745.3017389491956,0.8215527423339841,counterfactual_diagnostic,0.8215527423339841,,0.85870361328125,0.85870361328125,0.03715087094726588,0.03715087094726588,0.0,0.0,0.0,0.0,0.0,11,0,0,"[2558,0,0,0,0,0,0,0]",2558,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,4,0,compute,452,452,False,True,True,5,6,True,,0.8458417587058066,299.42129877644123,516.4409733327716,746.2975127409742,217.01967455633036,446.87621396453295,1.8576889490478516,counterfactual_diagnostic,1.8576889490478516,,1.76104736328125,1.76104736328125,-0.09664158576660165,-0.09664158576660165,0.0,0.0,0.0,0.0,0.0,26,0,0,"[5570,0,0,0,0,0,0,0]",5570,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,4,1,compute,452,452,False,True,True,5,6,True,,0.8458417587058066,299.42129877644123,516.4409733327716,746.2975127409742,217.01967455633036,446.87621396453295,1.8810561056396484,counterfactual_diagnostic,1.8810561056396484,,2.038330078125,2.038330078125,0.15727397248535158,0.15727397248535158,0.0,0.0,0.0,0.0,0.0,26,0,0,"[6072,0,0,0,0,0,0,0]",6072,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,4,2,compute,452,452,False,True,True,5,6,True,,0.8458417587058066,299.42129877644123,516.4409733327716,746.2975127409742,217.01967455633036,446.87621396453295,1.892739683935547,counterfactual_diagnostic,1.892739683935547,,1.938629150390625,1.938629150390625,0.045889466455077965,0.045889466455077965,0.0,0.0,0.0,0.0,0.0,26,0,0,"[5775,0,0,0,0,0,0,0]",5775,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,4,3,compute,452,452,False,True,True,5,6,True,,0.8458417587058066,299.42129877644123,516.4409733327716,746.2975127409742,217.01967455633036,446.87621396453295,1.7992710575683595,counterfactual_diagnostic,1.7992710575683595,,1.841949462890625,1.841949462890625,0.04267840532226552,0.04267840532226552,0.0,0.0,0.0,0.0,0.0,26,0,0,"[5487,0,0,0,0,0,0,0]",5487,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,5,0,io_barrier,549,549,False,True,True,,4,False,4,0.685666728344846,9.414600489879511,-28.96773205961081,-22.69133173302447,-38.38233254949032,-32.10593222290398,15.403684033740234,counterfactual_diagnostic,15.403684033740234,,1.804351806640625,1.804351806640625,-13.599332227099609,-13.599332227099609,0.0,0.0120849609375,0.0,0.0,0.0,24,0,0,"[5303,0,0,0,0,0,0,0]",5303,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,5,1,io_barrier,549,549,False,True,True,,4,False,4,0.685666728344846,9.414600489879511,-28.96773205961081,-22.69133173302447,-38.38233254949032,-32.10593222290398,13.906103641571045,counterfactual_diagnostic,12.747261671440125,,1.66705322265625,1.66705322265625,-12.239050418914795,-11.080208448783875,0.0,0.0,0.0,0.0,0.0,24,0,0,"[4966,0,0,0,0,0,0,0]",4966,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,5,2,io_barrier,549,549,False,True,True,,4,False,4,0.685666728344846,9.414600489879511,-28.96773205961081,-22.69133173302447,-38.38233254949032,-32.10593222290398,14.654893837655639,counterfactual_diagnostic,13.43365268451767,,1.5926971435546875,1.5926971435546875,-13.062196694100951,-11.840955540962982,0.0,0.0,0.0,0.0,0.0,24,0,0,"[4750,0,0,0,0,0,0,0]",4750,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,5,3,io_barrier,549,549,False,True,True,,4,False,4,0.685666728344846,9.414600489879511,-28.96773205961081,-22.69133173302447,-38.38233254949032,-32.10593222290398,10.697002801208496,counterfactual_diagnostic,9.805585901107788,,1.454559326171875,1.454559326171875,-9.242443475036621,-8.351026574935913,0.0,0.0,0.0,0.0,0.0,24,0,0,"[4333,0,0,0,0,0,0,0]",4333,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,6,0,io_barrier,646,646,False,True,True,,12,False,12,0.7171042986027242,18.727336750589124,-28.147107315101195,9.307566186077054,-46.87444406569032,-9.41977056451207,7.600332405541993,counterfactual_diagnostic,7.600332405541993,,1.98193359375,1.98193359375,-5.618398811791993,-5.618398811791993,0.0,0.03558349609375,0.0,0.0,0.0,28,0,0,"[5828,0,0,0,0,0,0,0]",5828,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,6,1,io_barrier,646,646,False,True,True,,12,False,12,0.7171042986027242,18.727336750589124,-28.147107315101195,9.307566186077054,-46.87444406569032,-9.41977056451207,7.2776767845520025,counterfactual_diagnostic,5.4582575884140025,,1.828521728515625,1.828521728515625,-5.4491550560363775,-3.6297358598983775,0.0,0.0,0.0,0.0,0.0,28,0,0,"[5447,0,0,0,0,0,0,0]",5447,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,6,2,io_barrier,646,646,False,True,True,,12,False,12,0.7171042986027242,18.727336750589124,-28.147107315101195,9.307566186077054,-46.87444406569032,-9.41977056451207,6.381411170690919,counterfactual_diagnostic,4.786058378018189,,1.6004180908203125,1.6004180908203125,-4.780993079870607,-3.1856402871978764,0.0,0.0,0.0,0.0,0.0,28,0,0,"[4772,0,0,0,0,0,0,0]",4772,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,6,3,io_barrier,646,646,False,True,True,,12,False,12,0.7171042986027242,18.727336750589124,-28.147107315101195,9.307566186077054,-46.87444406569032,-9.41977056451207,6.202158047918702,counterfactual_diagnostic,4.6516185359390265,,1.700958251953125,1.700958251953125,-4.501199795965577,-2.9506602839859015,0.0,0.0,0.0,0.0,0.0,28,0,0,"[5067,0,0,0,0,0,0,0]",5067,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,7,0,compute,583,615,True,False,True,15,,,,0.5783752906607842,7.555290157899435,,,,,22.93794814555664,counterfactual_diagnostic,22.93794814555664,,1.38037109375,1.38037109375,-21.55757705180664,-21.55757705180664,0.0,0.0,0.0,0.0,0.0,19,0,0,"[4112,0,0,0,0,0,0,0]",4112,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,7,1,compute,583,615,True,False,True,15,,,,0.5783752906607842,7.555290157899435,,,,,22.742454269316102,counterfactual_diagnostic,22.742454269316102,,1.2882232666015625,1.2882232666015625,-21.45423100271454,-21.45423100271454,0.0,0.0,0.0,0.0,0.0,19,0,0,"[3845,0,0,0,0,0,0,0]",3845,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,7,2,compute,583,615,True,False,True,15,,,,0.5783752906607842,7.555290157899435,,,,,17.464119610821534,counterfactual_diagnostic,17.464119610821534,,1.06951904296875,1.06951904296875,-16.394600567852784,-16.394600567852784,0.0,0.0,0.0,0.0,0.0,19,0,0,"[3186,0,0,0,0,0,0,0]",3186,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,7,3,compute,583,615,True,False,True,15,,,,0.5783752906607842,7.555290157899435,,,,,20.201033878189087,counterfactual_diagnostic,20.201033878189087,,1.157806396484375,1.157806396484375,-19.04322748170471,-19.04322748170471,0.0,0.0,0.0,0.0,0.0,19,0,0,"[3449,0,0,0,0,0,0,0]",3449,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,8,0,compute,584,584,False,True,True,2,3,True,,0.9999999999999963,846.5460538962434,1348.0459586175286,1849.5458633388155,501.49990472128525,1002.9998094425721,1.062973391757202,counterfactual_diagnostic,1.062973391757202,,1.066162109375,1.066162109375,0.0031887176177980425,0.0031887176177980425,0.0,0.0,0.0,0.0,0.0,8,0,0,"[3176,0,0,0,0,0,0,0]",3176,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,8,1,compute,584,584,False,True,True,2,3,True,,0.9999999999999963,846.5460538962434,1348.0459586175286,1849.5458633388155,501.49990472128525,1002.9998094425721,0.9264201348815917,counterfactual_diagnostic,0.9264201348815917,,0.92919921875,0.92919921875,0.0027790838684083052,0.0027790838684083052,0.0,0.0,0.0,0.0,0.0,8,0,0,"[2768,0,0,0,0,0,0,0]",2768,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,8,2,compute,584,584,False,True,True,2,3,True,,0.9999999999999963,846.5460538962434,1348.0459586175286,1849.5458633388155,501.49990472128525,1002.9998094425721,0.8353846302978515,counterfactual_diagnostic,0.8353846302978515,,0.837890625,0.837890625,0.0025059947021485174,0.0025059947021485174,0.0,0.0,0.0,0.0,0.0,8,0,0,"[2496,0,0,0,0,0,0,0]",2496,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,8,3,compute,584,584,False,True,True,2,3,True,,0.9999999999999963,846.5460538962434,1348.0459586175286,1849.5458633388155,501.49990472128525,1002.9998094425721,0.9023225013153076,counterfactual_diagnostic,0.9023225013153076,,0.905029296875,0.905029296875,0.002706795559692443,0.002706795559692443,0.0,0.0,0.0,0.0,0.0,8,0,0,"[2696,0,0,0,0,0,0,0]",2696,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,9,0,compute,521,521,False,True,True,0,1,True,,1.0000000000000036,2125.7752751801263,3240.515268448471,4371.2015746840025,1114.7399932683447,2245.426299503876,0.46671650485839844,counterfactual_diagnostic,0.46671650485839844,,0.5277099609375,0.5277099609375,0.06099345607910156,0.06099345607910156,0.0,0.0,0.0,0.0,0.0,4,0,0,"[1572,0,0,0,0,0,0,0]",1572,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,9,1,compute,521,521,False,True,True,0,1,True,,1.0000000000000036,2125.7752751801263,3240.515268448471,4371.2015746840025,1114.7399932683447,2245.426299503876,0.4821549643066407,counterfactual_diagnostic,0.4821549643066407,,0.545166015625,0.545166015625,0.06301105131835932,0.06301105131835932,0.0,0.0,0.0,0.0,0.0,4,0,0,"[1624,0,0,0,0,0,0,0]",1624,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,9,2,compute,521,521,False,True,True,0,1,True,,1.0000000000000036,2125.7752751801263,3240.515268448471,4371.2015746840025,1114.7399932683447,2245.426299503876,0.47502952148437505,counterfactual_diagnostic,0.47502952148437505,,0.537109375,0.537109375,0.06207985351562495,0.06207985351562495,0.0,0.0,0.0,0.0,0.0,4,0,0,"[1600,0,0,0,0,0,0,0]",1600,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,9,3,compute,521,521,False,True,True,0,1,True,,1.0000000000000036,2125.7752751801263,3240.515268448471,4371.2015746840025,1114.7399932683447,2245.426299503876,0.43821473356933593,counterfactual_diagnostic,0.43821473356933593,,0.4954833984375,0.4954833984375,0.057268664868164065,0.057268664868164065,0.0,0.0,0.0,0.0,0.0,4,0,0,"[1476,0,0,0,0,0,0,0]",1476,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,10,0,io_barrier,490,490,False,True,True,,1,False,1,0.6875561086675734,68.00203662291571,100.32765153882096,136.595404404376,32.32561491590525,68.5933677814603,14.291223081738282,counterfactual_diagnostic,14.291223081738282,,2.237396240234375,2.237396240234375,-12.053826841503907,-12.053826841503907,0.0,0.064788818359375,0.0,0.0,0.0,21,0,0,"[6279,0,0,0,0,0,0,0]",6279,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,10,1,io_barrier,490,490,False,True,True,,1,False,1,0.6875561086675734,68.00203662291571,100.32765153882096,136.595404404376,32.32561491590525,68.5933677814603,13.365625731884768,counterfactual_diagnostic,12.474584016425784,,1.976226806640625,1.976226806640625,-11.389398925244143,-10.498357209785159,0.0,0.0,0.0,0.0,0.0,21,0,0,"[5887,0,0,0,0,0,0,0]",5887,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,10,2,io_barrier,490,490,False,True,True,,1,False,1,0.6875561086675734,68.00203662291571,100.32765153882096,136.595404404376,32.32561491590525,68.5933677814603,14.624438127685549,counterfactual_diagnostic,13.649475585839845,,2.121917724609375,2.121917724609375,-12.502520403076174,-11.52755786123047,0.0,0.0,0.0,0.0,0.0,21,0,0,"[6321,0,0,0,0,0,0,0]",6321,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,10,3,io_barrier,490,490,False,True,True,,1,False,1,0.6875561086675734,68.00203662291571,100.32765153882096,136.595404404376,32.32561491590525,68.5933677814603,14.550390339697268,counterfactual_diagnostic,13.580364317050783,,2.136016845703125,2.136016845703125,-12.414373493994143,-11.444347471347658,0.0,0.0,1.0658141036401503e-14,0.0,0.0,21,0,0,"[6363,0,0,0,0,0,0,0]",6363,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
4,baseline,Baseline,0,0.0,0.5,11,0,compute,555,555,False,True,True,7,8,True,,1.0,1232.7721929047311,2351.900115047347,3482.5864212828783,1119.1279221426157,2249.814228378147,0.4643413572509766,counterfactual_diagnostic,0.4643413572509766,,0.393768310546875,0.393768310546875,-0.07057304670410158,-0.07057304670410158,0.0,0.0,0.0,0.0,0.0,3,0,0,"[1173,0,0,0,0,0,0,0]",1173,0,1.0,False,,,,,,,,,,fixed_path0_nonpreemptive
