seed,order,strategy,label,status,path,file_sha256,error,audit_passed,main_window_valid,full_run_nominal_capacity_satisfied,all_study_conditions_met,input_fingerprint,device_utilization_percent,makespan_ms,warm_count,warm_completion_after_4000ms_count,warm_admission_passed,warm_admission_slo_percent,warm_arrival_passed,warm_arrival_slo_percent,warm_short_count,warm_short_admission_passed,warm_short_admission_slo_percent,warm_short_arrival_passed,warm_short_arrival_slo_percent,warm_long_count,warm_long_admission_passed,warm_long_admission_slo_percent,warm_long_arrival_passed,warm_long_arrival_slo_percent,warm_arrivals_count,warm_arrivals_completion_after_4000ms_count,warm_arrivals_admission_passed,warm_arrivals_admission_slo_percent,warm_arrivals_arrival_passed,warm_arrivals_arrival_slo_percent,warm_arrivals_short_count,warm_arrivals_short_admission_passed,warm_arrivals_short_admission_slo_percent,warm_arrivals_short_arrival_passed,warm_arrivals_short_arrival_slo_percent,warm_arrivals_long_count,warm_arrivals_long_admission_passed,warm_arrivals_long_admission_slo_percent,warm_arrivals_long_arrival_passed,warm_arrivals_long_arrival_slo_percent,full_count,full_completion_after_4000ms_count,full_admission_passed,full_admission_slo_percent,full_arrival_passed,full_arrival_slo_percent,full_short_count,full_short_admission_passed,full_short_admission_slo_percent,full_short_arrival_passed,full_short_arrival_slo_percent,full_long_count,full_long_admission_passed,full_long_admission_slo_percent,full_long_arrival_passed,full_long_arrival_slo_percent,nominal_full_max_ssu_gib_s,nominal_full_any_ssu_over_capacity_ms,nominal_full_max_npu_link_gib_s,max_fourth_completion_ms,all_32_active_whole_window,each_npu_has_short_and_long_compute,min_per_npu_short_compute_ms,min_per_npu_long_compute_ms,family,warm_mixed_card_count,warm_nonmixed_npu_ids,window_request_equal_utilization_percent,full_run_device_utilization_percent,fourth_completions_by_1500,window_nominal_peak_ssu_gib_s,window_any_ssu_over_capacity_ms
43,ordered,baseline,raw_feasible_q2_seed43__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed43__exact_cohort4_p1/baseline/raw_feasible_q2_seed43__exact_cohort4_p1_9ac5d0e18113_baseline_104671470b.json.gz,e583b2cfe64de23c5d0fdab3788bb7347e67d9332205ee86e688d04166c55698,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.79690812385182,5000.9660977569,625,32,625,100.0,0,0.0,537,537,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,328,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,485.8965870316872,True,True,1297.2137359485323,565.7492344734221,raw_feasible_q2,32,[],99.70839123389877,98.96825262451554,True,37.682210497851564,0.0
43,ordered,once,raw_feasible_q2_seed43__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed43__exact_cohort4_p1/once/raw_feasible_q2_seed43__exact_cohort4_p1_9ac5d0e18113_once_dc98615fa8.json.gz,225bef56184e9bed71aa29addf53968ccbd1e5105aa141a3718eb4a378598925,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.83195764493247,5013.753118662244,635,32,635,100.0,0,0.0,547,547,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,329,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,512.6663463976511,True,True,1305.4421417363978,547.1705643949385,raw_feasible_q2,32,[],99.8166968853895,98.71584507964371,True,37.682210497851564,0.0
67,random,baseline,raw_feasible_q2_seed67,complete,runs/raw_feasible_q2_seed67/baseline/raw_feasible_q2_seed67_254397c58237_baseline_104671470b.json.gz,0c68a1e31c79b7e4bea73429d3e792f7b932dc29ac76d8cd2e3772e29ca4eba3,,True,True,True,True,254397c582377ae6339ee95a2d8d9893d316fae4f98909c322de5dde7da927e9,99.99880405137053,4960.367114980949,632,32,632,100.0,0,0.0,533,533,100.0,0,0.0,99,99,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,327,1568,100.0,35,2.232142857142857,1344,1344,100.0,29,2.1577380952380953,224,224,100.0,6,2.6785714285714284,37.64310239020386,0.0,7.430755796191406,608.2969414075017,True,True,849.9518958361241,229.8565394082034,raw_feasible_q2,32,[],99.999500168311,99.77827540922712,True,37.64310239020386,0.0
67,random,once,raw_feasible_q2_seed67,complete,runs/raw_feasible_q2_seed67/once/raw_feasible_q2_seed67_254397c58237_once_dc98615fa8.json.gz,2caa9d2d1fe8e8312a56762d2ab821f92d50ccad9190e2eee33acbcbb215fa56,,True,True,True,True,254397c582377ae6339ee95a2d8d9893d316fae4f98909c322de5dde7da927e9,99.97456028178064,4972.83729679194,630,32,630,100.0,0,0.0,532,532,100.0,0,0.0,98,98,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,330,1568,100.0,35,2.232142857142857,1344,1344,100.0,29,2.1577380952380953,224,224,100.0,6,2.6785714285714284,37.61997419347229,0.0,7.430755796191406,602.8168473157048,True,True,849.4817680797973,229.8565394082034,raw_feasible_q2,32,[],99.96507122243992,99.52806548662561,True,37.61997419347229,0.0
67,ordered,baseline,raw_feasible_q2_seed67__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed67__exact_cohort4_p1/baseline/raw_feasible_q2_seed67__exact_cohort4_p1_9ac5d0e18113_baseline_104671470b.json.gz,8e80feb5630eafe57de6815f385c22e391cdc55281eeb073c5c52b531d9787e0,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.79047143734302,4994.9999216311235,625,32,625,100.0,0,0.0,537,537,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,328,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,485.6439777787575,True,True,1298.606798621986,564.7276623122607,raw_feasible_q2,32,[],99.70434184938505,99.08646324218967,True,37.682210497851564,0.0
67,ordered,once,raw_feasible_q2_seed67__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed67__exact_cohort4_p1/once/raw_feasible_q2_seed67__exact_cohort4_p1_9ac5d0e18113_once_dc98615fa8.json.gz,955393bfc6255b5f26fdc0f232ab715a73a06e34b3735da56b23ae56c7430fcf,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.69265983956247,5009.5655991859385,635,32,635,100.0,0,0.0,547,547,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,329,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,515.2069454888997,True,True,1298.4127840560695,540.9455788120324,raw_feasible_q2,32,[],99.6358074145867,98.79836211943616,True,37.682210497851564,0.0
101,random,baseline,raw_feasible_q2_seed101,complete,runs/raw_feasible_q2_seed101/baseline/raw_feasible_q2_seed101_e659269d0708_baseline_104671470b.json.gz,ca2d859531e942a7a96591cdcc046962062ee52ac4c724a0209a904531e4f660,,True,True,True,True,e659269d07085318f685bd000c0e25bf2d71770e899f547df42b8ee7b6cf9df1,100.0,4961.730929345426,638,32,638,100.0,0,0.0,545,545,100.0,0,0.0,93,93,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,306,1568,100.0,36,2.295918367346939,1344,1344,100.0,28,2.083333333333333,224,224,100.0,8,3.571428571428571,37.2672670596405,0.0,7.430755796191406,649.4840247215393,True,True,816.8017372484683,185.9296330801635,raw_feasible_q2,32,[],100.0,99.75084968880749,True,37.16158974499512,0.0
101,random,once,raw_feasible_q2_seed101,complete,runs/raw_feasible_q2_seed101/once/raw_feasible_q2_seed101_e659269d0708_once_dc98615fa8.json.gz,7a022a84fec219797e19716711fdfc587baf083f2ef9d0ced9547fcad26a501c,,True,True,True,True,e659269d07085318f685bd000c0e25bf2d71770e899f547df42b8ee7b6cf9df1,99.94619968570976,4984.056115222131,637,32,637,100.0,0,0.0,544,544,100.0,0,0.0,93,93,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,309,1568,100.0,34,2.1683673469387754,1344,1344,100.0,28,2.083333333333333,224,224,100.0,6,2.6785714285714284,37.412561653665165,0.0,7.430755796191406,655.9967758934142,True,True,816.8017372484683,203.46463997924047,raw_feasible_q2,32,[],99.93373666247943,99.30403363995516,True,37.28337018760986,0.0
101,ordered,baseline,raw_feasible_q2_seed101__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed101__exact_cohort4_p1/baseline/raw_feasible_q2_seed101__exact_cohort4_p1_9ac5d0e18113_baseline_104671470b.json.gz,df8bd4021232f3aba4cabe9801bcf1580e351d5dd1db86b7062986519513762a,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.82931528497687,4994.275033624583,625,32,625,100.0,0,0.0,537,537,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,328,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,485.6481739457497,True,True,1300.6363145123905,565.0681046251789,raw_feasible_q2,32,[],99.75545892895327,99.10084502699952,True,37.682210497851564,0.0
101,ordered,once,raw_feasible_q2_seed101__exact_cohort4_p1,complete,runs/raw_feasible_q2_seed101__exact_cohort4_p1/once/raw_feasible_q2_seed101__exact_cohort4_p1_9ac5d0e18113_once_dc98615fa8.json.gz,d8c97379afd8982db994736341cbb0eaf4cd5a4887766c9bde4e17ffe6c80281,,True,True,True,True,9ac5d0e181131ffa142c7004e3aed4428698246aab22bf571396e9288d1c667a,99.41017391185026,5029.17721249942,635,32,635,100.0,0,0.0,547,547,100.0,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,1568,329,1568,100.0,32,2.0408163265306123,1344,1344,100.0,24,1.7857142857142856,224,224,100.0,8,3.571428571428571,37.682210497851564,0.0,7.430755796191406,514.7468121611411,True,True,1293.2098240824512,531.1318000487138,raw_feasible_q2,32,[],99.34561695534711,98.41309129042739,True,37.6291788631897,0.0
7,ordered,baseline,raw_nearest_q25_seed7__exact_cohort4_p1,complete,runs/raw_nearest_q25_seed7__exact_cohort4_p1/baseline/raw_nearest_q25_seed7__exact_cohort4_p1_56782636ae93_baseline_104671470b.json.gz,caa2768ee613e9d1b56629c6547a09fb419b337236f067203f1a503c7b29bdee,,True,False,False,False,56782636ae9390523f4036690ac4c408ad50616751f64603e55d23a8195a0cd6,46.66444169142673,11070.872778615962,1277,32,102,7.987470634299139,0,0.0,1253,78,6.225059856344773,0,0.0,24,24,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,7296,4706,395,5.4139254385964914,8,0.10964912280701754,7200,299,4.152777777777778,0,0.0,96,96,100.0,8,8.333333333333332,174.70460589543458,11060.008749129569,36.332733584014896,419.6548388678571,True,False,697.2674507761258,0.0,raw_nearest_q25,24,"[24, 25, 26, 27, 28, 29, 30, 31]",41.481345874653194,44.66677426019039,True,169.40204626036376,2000.0
7,ordered,once,raw_nearest_q25_seed7__exact_cohort4_p1,complete,runs/raw_nearest_q25_seed7__exact_cohort4_p1/once/raw_nearest_q25_seed7__exact_cohort4_p1_56782636ae93_once_dc98615fa8.json.gz,fcc3862ebd99ed443ffe8c56dc69af16f4e81f7de9fe529c8835d6d12d844257,,True,False,False,False,56782636ae9390523f4036690ac4c408ad50616751f64603e55d23a8195a0cd6,45.74281620721051,11158.34638865907,1292,32,190,14.705882352941178,0,0.0,1271,169,13.296616837136114,0,0.0,21,21,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,7296,4699,1063,14.569627192982457,8,0.10964912280701754,7200,967,13.430555555555557,0,0.0,96,96,100.0,8,8.333333333333332,136.09860303302307,10996.669766277475,36.332733584014896,499.416694434933,True,False,655.6599531468541,0.0,raw_nearest_q25,24,"[24, 25, 26, 27, 28, 29, 30, 31]",47.989838813301766,44.31661807598279,True,119.38591450421448,2000.0
