npu_id,active_ms,compute_ms,warm_request_count,warm_completed_count,stall_ms,idle_ms,utilization
0,1000.0,448.63786660264896,107,106,551.362133397351,0.0,0.448637866602649
1,1000.0,445.7415952058893,107,106,554.2584047941107,0.0,0.44574159520588935
2,1000.0,447.2040219465814,107,106,552.7959780534186,0.0,0.44720402194658143
3,1000.0,443.15143858308306,106,105,556.8485614169169,0.0,0.4431514385830831
4,1000.0,445.5978760653077,107,106,554.4021239346923,0.0,0.44559787606530765
5,1000.0,448.1953868991752,107,106,551.8046131008248,0.0,0.4481953868991752
6,1000.0,447.8709828068527,106,105,552.1290171931473,0.0,0.44787098280685267
7,1000.0,448.3404046826597,107,106,551.6595953173403,0.0,0.44834040468265973
8,1000.0,444.38834826904804,106,105,555.611651730952,0.0,0.44438834826904805
9,1000.0,444.12203073147475,107,106,555.8779692685252,0.0,0.44412203073147477
10,1000.0,444.5736155090058,107,106,555.4263844909942,0.0,0.44457361550900576
11,1000.0,448.31220232707574,107,106,551.6877976729243,0.0,0.44831220232707575
12,1000.0,447.3057008797191,107,106,552.6942991202809,0.0,0.4473057008797191
13,1000.0,444.6595449754991,106,105,555.3404550245009,0.0,0.4446595449754991
14,1000.0,447.0856317199009,107,106,552.9143682800991,0.0,0.4470856317199009
15,1000.0,446.71278829473545,107,106,553.2872117052646,0.0,0.44671278829473543
16,1000.0,445.6265911081848,106,105,554.3734088918152,0.0,0.4456265911081848
17,1000.0,445.90872579166535,106,105,554.0912742083347,0.0,0.44590872579166535
18,1000.0,446.2681389729685,106,105,553.7318610270315,0.0,0.44626813897296846
19,1000.0,445.80624206948255,107,106,554.1937579305174,0.0,0.44580624206948255
20,1000.0,449.54574166111297,107,106,550.454258338887,0.0,0.449545741661113
21,1000.0,449.15810010872474,107,106,550.8418998912753,0.0,0.44915810010872476
22,1000.0,445.19104521489317,106,105,554.8089547851068,0.0,0.44519104521489317
23,1000.0,1000.0,8,7,0.0,0.0,1.0
24,1000.0,1000.0,8,7,0.0,0.0,1.0
25,1000.0,1000.0,8,7,0.0,0.0,1.0
26,1000.0,1000.0,8,7,0.0,0.0,1.0
27,1000.0,1000.0,8,7,0.0,0.0,1.0
28,1000.0,1000.0,8,7,0.0,0.0,1.0
29,1000.0,1000.0,8,7,0.0,0.0,1.0
30,1000.0,1000.0,8,7,0.0,0.0,1.0
31,1000.0,1000.0,8,7,0.0,0.0,1.0
