label,input_count,warm_active_npus,warm_request_count,warm_completed_count,active_ms,compute_ms,stall_ms,mean_per_npu_conditional_utilization,pooled_conditional_utilization,occupancy_share,fleet_compute_contribution
L,333,9,72,63,9000.0,9000.0,0.0,1.0,1.0,0.28125,0.28125
S,27189,23,2453,2430,23000.0,10269.404020425689,12730.595979574311,0.44649582697503,0.44649582697502993,0.71875,0.3209188756383028
