label,input_count,warm_active_npus,warm_request_count,warm_completed_count,active_ms,compute_ms,stall_ms,mean_per_npu_conditional_utilization,pooled_conditional_utilization,occupancy_share,fleet_compute_contribution
LL,174,9,33,29,4211.093515997993,4211.093515997993,0.0,1.0,1.0,0.13159667237493727,0.13159667237493727
LS,159,9,39,34,4788.906484002007,4788.906484002007,0.0,1.0,1.0,0.14965332762506273,0.14965332762506273
SS,27189,23,2453,2430,23000.0,10269.404020425689,12730.595979574311,0.44649582697503,0.44649582697502993,0.71875,0.3209188756383028
