start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,7649.366276051663,initial,A,731.6889030273437,32,32
0.0,7649.366276051663,initial,B,0.0,0,0
0.0,7649.366276051663,A,A,4851.38838494381,288,288
0.0,7649.366276051663,A,B,563.4247402730189,96,80
0.0,7649.366276051663,B,A,0.0,64,0
0.0,7649.366276051663,B,B,0.0,672,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,1617.1294616479572,96,96
2000.0,4000.0,A,B,187.22547429649558,32,27
2000.0,4000.0,B,A,0.0,32,0
2000.0,4000.0,B,B,0.0,160,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,3234.2589232958708,192,192
2000.0,6000.0,A,B,376.4811541837994,64,54
2000.0,6000.0,B,A,0.0,64,0
2000.0,6000.0,B,B,0.0,288,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,1617.1294616479136,96,96
4000.0,6000.0,A,B,189.2556798873038,32,27
4000.0,6000.0,B,A,0.0,32,0
4000.0,6000.0,B,B,0.0,128,0
