scenario,seed,policy,window,U_percent,slo_percent,slo_count,slo_passed,arrival_slo_percent,timely_completions_per_second,total_completions_per_second,all_npus_active,all_disks_overload_percent,SSU0_mean_demand_GiB_s,SSU0_overload_percent,SSU0_actual_GiB_s,SSU1_mean_demand_GiB_s,SSU1_overload_percent,SSU1_actual_GiB_s,SSU2_mean_demand_GiB_s,SSU2_overload_percent,SSU2_actual_GiB_s,LL_slo_percent,LL_slo_count,LL_slo_passed,LL_active_U_percent,LS_slo_percent,LS_slo_count,LS_slo_passed,LS_active_U_percent,SL_slo_percent,SL_slo_count,SL_slo_passed,SL_active_U_percent,SS_slo_percent,SS_slo_count,SS_slo_passed,SS_active_U_percent,makespan_ms,manifest_sha256,result_sha256
semi,19,baseline,warm_2_4s,99.39328877990621,96.47058823529412,170,164,0.0,82.0,85.0,True,21.527992862349766,34.58429340045296,21.527992862349766,33.19585295043368,34.59088851826875,21.945704736504467,33.20332212767977,34.593449692072554,21.945704736504467,33.20550413451571,100.0,75,75,99.92481421184894,100.0,14,14,85.66307566054127,100.0,63,63,99.7629267882167,66.66666666666667,18,12,72.22201379620121,11416.17194856735,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,5d146f2699c311adb75cb4173606caa49d32bd78956589c8b9c87a9fc742347e
semi,19,baseline,long_2_6s,99.49672493958292,96.6867469879518,332,321,0.0,80.25,83.0,True,19.094378194380443,33.98492606426416,19.094378194380443,32.8340417763468,33.992784268684105,19.303234131457792,32.842350186991325,33.99259037567862,19.303234131457792,32.84151095359289,100.0,148,148,99.9380858696473,96.55172413793103,29,28,87.45882145865458,100.0,122,122,99.81396243142595,69.6969696969697,33,23,75.13787718887436,11416.17194856735,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,5d146f2699c311adb75cb4173606caa49d32bd78956589c8b9c87a9fc742347e
semi,19,baseline,full_population,96.40549701191287,95.0,960,912,2.8125,79.8866734058302,84.09123516403179,False,25.5897580285959,36.13400028404455,25.70446800118036,,36.13604755129975,25.88520692675199,,36.13315532467778,25.770496954167537,,100.0,384,384,99.71647640192606,88.54166666666667,96,85,74.19958121685661,98.4375,384,378,98.99247362848084,67.70833333333333,96,65,51.81378580977699,11416.17194856735,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,5d146f2699c311adb75cb4173606caa49d32bd78956589c8b9c87a9fc742347e
semi,19,mild,warm_2_4s,99.3626946471335,98.21428571428571,168,165,0.0,82.5,84.0,True,24.4245235789017,34.527302248164744,24.4245235789017,33.22676130266402,34.53427866478524,24.4245235789017,33.232552013113235,34.53671489367464,24.4245235789017,33.23506971330854,100.0,71,71,99.70606359193215,80.0,15,12,77.23812568203937,100.0,64,64,99.90227179064661,100.0,18,18,98.68893465962167,11334.368504175702,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,1e0f4768643da3a2b88681f6560d7dcf244b304671ec6c86a5250fd490810541
semi,19,mild,long_2_6s,99.50446227599737,98.49397590361446,332,327,0.0,81.75,83.0,True,22.22546336601233,34.284232415774824,22.22546336601233,33.26438454916054,34.292241088125024,22.22546336601233,33.27210549642615,34.29208997887387,22.22546336601233,33.271769803066775,100.0,143,143,99.77198756092103,83.87096774193549,31,26,82.4781646303001,100.0,124,124,99.94307807304045,100.0,34,34,98.87913299966591,11334.368504175702,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,1e0f4768643da3a2b88681f6560d7dcf244b304671ec6c86a5250fd490810541
semi,19,mild,full_population,97.10128361095964,97.08333333333333,960,932,2.5,82.2277835467094,84.69814614253329,False,23.272347747431443,35.06711061031064,23.272347747431443,,35.06886165579361,23.272347747431443,,35.06658423965978,23.272347747431443,,98.17708333333333,384,377,98.69174695731606,87.5,96,84,77.50130954901003,99.21875,384,381,98.97847411525812,93.75,96,90,90.35983954515588,11334.368504175702,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,1e0f4768643da3a2b88681f6560d7dcf244b304671ec6c86a5250fd490810541
semi,19,aggressive,warm_2_4s,99.64204504141209,99.4047619047619,168,167,0.0,83.5,84.0,True,20.275972494385645,34.147031179505326,20.275972494385645,33.692971815112976,34.15324659995266,20.275972494385645,33.69859467888251,34.15505839764362,20.275972494385645,33.70086060905828,100.0,72,72,99.79072181818857,93.33333333333333,15,14,89.39332269867037,100.0,63,63,99.9054303690939,100.0,18,18,97.91384034396116,11342.884920939512,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,11126110bcf6c5bc560ecf25840d16ec9ff5f828e41efd74190e50963badb4b4
semi,19,aggressive,long_2_6s,99.55527337413163,99.6987951807229,332,331,0.0,82.75,83.0,True,23.04658809156793,34.19540614595601,23.04658809156793,33.42601649291305,34.20293588859325,23.04658809156793,33.43335978514938,34.20262512833616,23.04658809156793,33.43319193846969,100.0,142,142,99.72510830730437,96.7741935483871,31,30,88.12058214356834,100.0,125,125,99.92850151476887,100.0,34,34,96.39362258498761,11342.884920939512,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,11126110bcf6c5bc560ecf25840d16ec9ff5f828e41efd74190e50963badb4b4
semi,19,aggressive,full_population,97.02837843689713,97.5,960,936,2.5,82.51868960356803,84.63455343955695,False,22.84424203663998,34.80040809429117,22.986265515399435,,34.80211896678582,22.84424203663998,,34.79982215735184,22.986265515399435,,98.4375,384,378,98.57099975172778,91.66666666666667,96,88,82.27892698944653,98.95833333333333,384,380,98.48542916638851,93.75,96,90,87.77059213831004,11342.884920939512,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,11126110bcf6c5bc560ecf25840d16ec9ff5f828e41efd74190e50963badb4b4
semi,19,static,warm_2_4s,98.9829154188319,100.0,170,170,0.0,85.0,85.0,True,24.445794671163753,34.24496632210625,24.445794671163753,33.57406139781815,34.25175185392021,24.445794671163753,33.580691341665805,34.25305148020068,24.445794671163753,33.58245373180252,100.0,71,71,98.73405581161995,100.0,15,15,99.32113154774949,100.0,65,65,99.58631333045767,100.0,19,19,99.86323356566216,11340.14980949263,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,76d287697e1c4445323498521e94bbe253d58503bd975d531f0bf9070c402991
