profile_id,total_length_k,miss_tokens,miss_fraction,cached_tokens,category,layer_compute_ms,layer_read_gib,layer_read_mib,nominal_B_gib_s,source_ttft_78_layers_ms,exact_176kib_blocks,chosen_diverse_catalog
L32_M64,32,64,0.001953125,32704,SS,0.7845500408232926,0.04288482666015625,43.9140625,54.66168431417541,61.19490318421683,False,False
L32_M128,32,128,0.00390625,32640,SS,1.1780259589150035,0.0428009033203125,43.828125,36.332733584014896,91.88602479537028,True,False
L32_M256,32,256,0.0078125,32512,SS,1.9974796959734433,0.042633056640625,43.65625,21.343424279388426,155.80341628592856,True,True
L32_M512,32,512,0.015625,32256,SL,3.7021326666852694,0.04229736328125,43.3125,11.425134399389648,288.76634800145104,True,False
L32_M1024,32,1024,0.03125,31744,SL,7.257231579079756,0.04162597656250001,42.62500000000001,5.735792789428712,566.0640631682209,True,True
L32_M2048,32,2048,0.0625,30720,SL,14.369102622125,0.04028320312500001,41.25000000000001,2.803459908691407,1120.79000452575,True,True
L32_M4096,32,4096,0.125,28672,SL,28.592841995880782,0.03759765625,38.5,1.3149324665039066,2230.2416756787015,True,True
L48_M64,48,64,0.0013020833333333333,49088,SS,0.9523222038962862,0.06436920166015625,65.9140625,67.59183120670623,74.28113190391032,False,False
L48_M128,48,128,0.0026041666666666665,49024,SS,1.5135702759005252,0.0642852783203125,65.828125,42.47260886651917,118.05848152024096,True,False
L48_M256,48,256,0.005208333333333333,48896,SS,2.6685683140655256,0.064117431640625,65.65625,24.026902853741458,208.14832849711098,True,False
L48_M512,48,512,0.010416666666666666,48640,SL,5.044309980560046,0.06378173828125,65.3125,12.644293972229006,393.45617848368363,True,False
L48_M1024,48,1024,0.020833333333333332,48128,SL,9.941586459040689,0.06311035156250001,64.62500000000001,6.348116754052736,775.4437438051738,True,False
L48_M2048,48,2048,0.041666666666666664,47104,SL,19.737809881246598,0.061767578125,63.25,3.12940384453125,1539.5491707372346,True,False
L48_M4096,48,4096,0.08333333333333333,45056,SL,39.330261341012616,0.05908203125,60.5,1.5022028645507812,3067.760384598984,True,False
L64_M64,64,64,0.0009765625,65472,SS,1.120094362734901,0.08585357666015626,87.91406250000001,76.64852133576511,87.36736029332228,False,False
L64_M128,64,128,0.001953125,65408,SS,1.849114595189163,0.0857696533203125,87.828125,46.38417410335692,144.2309384247547,True,False
L64_M256,64,256,0.00390625,65280,SS,3.3396570206571456,0.085601806640625,87.65625,25.63191552639771,260.49324761125735,True,True
L64_M512,64,512,0.0078125,65024,SL,6.386487182261469,0.08526611328125,87.3125,13.351019245458986,498.14600021639455,True,False
L64_M1024,64,1024,0.015625,64512,SL,12.625940760424301,0.0845947265625,86.625,6.700073140502931,984.8233793130955,True,True
L64_M2048,64,2048,0.03125,63488,SL,25.106517917176127,0.083251953125,85.25,3.3159498023437504,1958.308397539738,True,True
L64_M4096,64,4096,0.0625,61440,SL,50.06766996068876,0.08056640625,82.5,1.609150302246094,3905.2782569337237,True,True
L80_M64,80,64,0.00078125,81856,SS,1.287866527447986,0.10733795166015625,109.9140625,83.34555590388337,100.45358914094291,False,False
L80_M128,80,128,0.0015625,81792,SS,2.1846589028459564,0.10725402832031251,109.82812500000001,49.0941758370575,170.40339442198461,True,False
L80_M256,80,256,0.003125,81664,SS,4.010745621755773,0.10708618164062501,109.65625000000001,26.699818871521,312.8381584969503,True,True
L80_M512,80,512,0.00625,81408,SL,7.728664567017273,0.10675048828125001,109.31250000000001,13.812281197558594,602.8358362273473,True,False
L80_M1024,80,1024,0.0125,80896,SL,15.310296145067996,0.10607910156250001,108.62500000000001,6.928611997924806,1194.2030993153037,True,True
