scenario,policy,seed,window,profile,count,passed,percent
semi,once,7,full_population,128:1024,32,32,100.0
semi,once,7,full_population,128:2048,32,32,100.0
semi,once,7,full_population,128:256,32,32,100.0
semi,once,7,full_population,128:4096,64,64,100.0
semi,once,7,full_population,160:1024,32,30,93.75
semi,once,7,full_population,160:2048,32,32,100.0
semi,once,7,full_population,160:256,32,30,93.75
semi,once,7,full_population,160:4096,64,64,100.0
semi,once,7,full_population,200:1024,32,32,100.0
semi,once,7,full_population,200:2048,32,32,100.0
semi,once,7,full_population,200:256,32,29,90.625
semi,once,7,full_population,200:4096,64,64,100.0
semi,once,7,full_population,32:1024,32,32,100.0
semi,once,7,full_population,32:2048,32,32,100.0
semi,once,7,full_population,32:256,32,32,100.0
semi,once,7,full_population,32:4096,64,64,100.0
semi,once,7,full_population,64:1024,32,32,100.0
semi,once,7,full_population,64:2048,32,32,100.0
semi,once,7,full_population,64:256,32,32,100.0
semi,once,7,full_population,64:4096,64,64,100.0
semi,once,7,full_population,80:1024,32,32,100.0
semi,once,7,full_population,80:2048,32,32,100.0
semi,once,7,full_population,80:256,32,32,100.0
semi,once,7,full_population,80:4096,64,64,100.0
semi,once,19,warm_2_4s,128:1024,3,3,100.0
semi,once,19,warm_2_4s,128:2048,5,5,100.0
semi,once,19,warm_2_4s,128:256,5,5,100.0
semi,once,19,warm_2_4s,128:4096,14,14,100.0
semi,once,19,warm_2_4s,160:1024,8,8,100.0
semi,once,19,warm_2_4s,160:2048,10,10,100.0
semi,once,19,warm_2_4s,160:256,5,5,100.0
semi,once,19,warm_2_4s,160:4096,6,6,100.0
semi,once,19,warm_2_4s,200:1024,6,6,100.0
semi,once,19,warm_2_4s,200:2048,5,5,100.0
semi,once,19,warm_2_4s,200:256,5,5,100.0
semi,once,19,warm_2_4s,200:4096,13,13,100.0
semi,once,19,warm_2_4s,32:1024,7,7,100.0
semi,once,19,warm_2_4s,32:2048,6,6,100.0
semi,once,19,warm_2_4s,32:256,7,7,100.0
semi,once,19,warm_2_4s,32:4096,8,8,100.0
semi,once,19,warm_2_4s,64:1024,4,4,100.0
semi,once,19,warm_2_4s,64:2048,4,4,100.0
semi,once,19,warm_2_4s,64:256,4,4,100.0
semi,once,19,warm_2_4s,64:4096,10,10,100.0
semi,once,19,warm_2_4s,80:1024,4,4,100.0
semi,once,19,warm_2_4s,80:2048,6,6,100.0
semi,once,19,warm_2_4s,80:256,6,6,100.0
semi,once,19,warm_2_4s,80:4096,13,13,100.0
