policy,label,seed,start_ms,end_ms,n,A_count,B_count,after_window_count,slo_passed,slo_percent,U_percent,latency_ratio_p50,latency_ratio_p90,latency_ratio_p95,latency_ratio_p99,latency_ratio_max,latency_ms_p50,latency_ms_p90,latency_ms_p95,latency_ms_p99,latency_ms_max
baseline,Baseline,7,2000,4000,341,108,233,32,264,77.41935483870968,90.67794278896096,1.0000000000000047,2.3449513079108595,2.789680633440647,3.2100072641606356,3.4985753856244237,228.74273596704734,234.43610112744273,238.7187091596693,241.69815557080184,243.6315814741224
once,原始 Once,7,2000,4000,343,106,237,32,273,79.59183673469387,91.24281038614288,1.0000000000000047,2.1554614487086443,2.7283661600103195,3.4291006761977445,3.9692057611973945,228.74273596704734,229.34363286572398,232.7934801752205,243.26830325927847,257.97072331982554
static_aggressive,固定候选池 + Once,7,2000,4000,324,107,217,32,295,91.04938271604938,85.38093776680198,1.0918534788139822,1.4686251927303002,2.257932233009142,2.9267342777982748,3.305243477262722,229.50229219263338,293.355682662161,322.15112664385794,348.66214284565444,394.7545711122175

