policy,request_id,npu_id,role,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,completed_after_window,slo_1_pass,slo_1p5_pass_recomputed,plot_ratio
baseline,4000019,4,B,3308.498848250039,3542.2996496948645,233.80080144482554,228.74273596704626,1.0221124638401982,True,False,False,True,1.0221124638401982
baseline,4000020,4,B,3542.2996496948645,3771.042385661912,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,4000021,4,B,3771.042385661912,3999.785121628959,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,4000022,4,B,3999.785121628959,4228.5278575960065,228.74273596704734,228.74273596704626,1.0000000000000047,True,True,True,True,1.0
baseline,5000011,5,B,2007.2892132419438,2247.4404938127454,240.15128057080165,228.74273596704626,1.0498750028302493,True,False,False,True,1.0498750028302493
baseline,5000012,5,A,2247.4404938127454,2295.6325862014573,48.1920923887119,48.19209238871334,0.99999999999997,True,False,True,True,1.0
baseline,5000013,5,B,2295.6325862014573,2524.3753221685047,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,5000014,5,B,2524.3753221685047,2753.118058135552,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,5000015,5,B,2753.118058135552,2981.8607941025994,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,5000016,5,B,2981.8607941025994,3210.6035300696467,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,5000017,5,B,3210.6035300696467,3439.346266036694,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,5000018,5,B,3439.346266036694,3668.0890020037414,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,5000019,5,B,3668.0890020037414,3896.8317379707887,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,5000020,5,A,3896.8317379707887,3970.6296618486717,73.79792387788302,48.19209238871334,1.5313284860643777,False,False,False,False,1.5313284860643777
baseline,5000021,5,A,3970.6296618486717,4025.6640646326123,55.03440278394055,48.19209238871334,1.1419799401951198,True,True,False,True,1.1419799401951198
baseline,6000010,6,B,2091.4296282548858,2320.172364221933,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,6000011,6,B,2320.172364221933,2548.9151001889804,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,6000012,6,B,2548.9151001889804,2777.6578361560278,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,6000013,6,B,2777.6578361560278,3006.400572123075,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,6000014,6,B,3006.400572123075,3235.1433080901224,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,6000015,6,B,3235.1433080901224,3463.88604405717,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,6000016,6,B,3463.88604405717,3692.628780024217,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,6000017,6,A,3692.628780024217,3835.388038923867,142.75925889964992,48.19209238871334,2.9622963399921676,False,False,False,False,2.9622963399921676
baseline,6000018,6,A,3835.388038923867,3936.598747542031,101.21070861816406,48.19209238871334,2.10015178012623,False,False,False,False,2.10015178012623
baseline,6000019,6,B,3936.598747542031,4165.3599524292395,228.76120488720835,228.74273596704626,1.000080741012754,True,True,False,True,1.000080741012754
baseline,7000010,7,A,2017.3886592556128,2141.640409531006,124.25175027539308,48.19209238871334,2.5782601276821304,False,False,False,False,2.5782601276821304
baseline,7000011,7,B,2141.640409531006,2377.4998505021986,235.85944097119273,228.74273596704626,1.0311122666871124,True,False,False,True,1.0311122666871124
baseline,7000012,7,B,2377.4998505021986,2606.242586469246,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,7000013,7,B,2606.242586469246,2834.9853224362932,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,7000014,7,B,2834.9853224362932,3063.7280584033406,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,7000015,7,B,3063.7280584033406,3292.470794370388,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,7000016,7,A,3292.470794370388,3391.7054827715233,99.23468840113537,48.19209238871334,2.0591487831803765,False,False,False,False,2.0591487831803765
baseline,7000017,7,B,3391.7054827715233,3624.572217443888,232.8667346723646,228.74273596704626,1.0180289821571098,True,False,False,True,1.0180289821571098
baseline,7000018,7,A,3624.572217443888,3779.3834765459374,154.81125910204946,48.19209238871334,3.212378866087717,False,False,False,False,3.212378866087717
baseline,7000019,7,B,3779.3834765459374,4019.6673559936926,240.28387944775523,228.74273596704626,1.0504546884600159,True,True,False,True,1.0504546884600159
baseline,8000011,8,B,2136.4086285251465,2373.0703766252454,236.66174810009898,228.74273596704626,1.034619731636827,True,False,False,True,1.034619731636827
baseline,8000012,8,B,2373.0703766252454,2601.813112592293,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,8000013,8,A,2601.813112592293,2706.9237214568084,105.1106088645156,48.19209238871334,2.181075849886374,False,False,False,False,2.181075849886374
baseline,8000014,8,B,2706.9237214568084,2945.6424306164777,238.7187091596693,228.74273596704626,1.0436121966909595,True,False,False,True,1.0436121966909595
baseline,8000015,8,B,2945.6424306164777,3174.385166583525,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,8000016,8,A,3174.385166583525,3229.728401472695,55.34323488917016,48.19209238871334,1.1483882966270962,True,False,False,True,1.1483882966270962
baseline,8000017,8,B,3229.728401472695,3458.4711374397425,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
baseline,8000018,8,A,3458.4711374397425,3590.9831316973045,132.51199425756204,48.19209238871334,2.7496626041619336,False,False,False,False,2.7496626041619336
baseline,8000019,8,B,3590.9831316973045,3829.704358557169,238.7212268598646,228.74273596704626,1.0436232033801323,True,False,False,True,1.0436232033801323
