policy,label,role,request_count,slo_1_passed,slo_1_percent,slo_1p5_passed,slo_1p5_percent,after_window_count,mean_ttft_ms,max_ratio
baseline,Baseline,all,341,183,53.665689149560116,264,77.41935483870968,32,187.89476116887684,3.4985753856244237
baseline,Baseline,A,108,13,12.037037037037036,31,28.703703703703702,3,95.7615413476193,3.4985753856244237
baseline,Baseline,B,233,170,72.96137339055794,233,100.0,29,230.60028795297907,1.0650899161633753
once,流量分配,all,343,208,60.64139941690962,273,79.59183673469387,32,187.38787189558673,3.9692057611973945
once,流量分配,A,106,10,9.433962264150944,36,33.9622641509434,0,92.96435948753492,3.9692057611973945
once,流量分配,B,237,198,83.54430379746836,237,100.0,32,229.61948504011625,1.1277766798985478
