candidate,policy,window,start_ms,end_ms,U_percent,SLO1p5_percent,SLO1p5_passed,SLO1p5_count,strict_underload,max_disk_demand_GiB_s,all_npus_active,both_roles_npus,internal_stall_card_ms,cross_request_L0_stall_card_ms,initial_L0_stall_card_ms,exposed_stall_loss_pp,inactive_time_loss_pp,SSU0_max_demand_GiB_s,SSU0_overload_percent,SSU0_at_or_above_40_percent,SSU0_supply_GiB_s,SSU1_max_demand_GiB_s,SSU1_overload_percent,SSU1_at_or_above_40_percent,SSU1_supply_GiB_s,SSU2_max_demand_GiB_s,SSU2_overload_percent,SSU2_at_or_above_40_percent,SSU2_supply_GiB_s
native_phase_lock_a102,od_baseline,2-4s,2000.0,4000.0,95.90345292667801,86.87943262411348,735,846,True,37.46980592997879,True,32,2063.0019823920784,558.7881445339926,0.0,4.096547073321986,0.0,35.67975814223203,0.0,0.0,30.703061193215458,37.46980592997879,0.0,0.0,33.23838328989514,36.55611517578565,0.0,0.0,31.74186029380138
native_phase_lock_a102,od_baseline,2-6s,2000.0,6000.0,96.91459084385188,92.96187683284458,1585,1705,True,37.46980592997879,True,32,2962.4415240648736,986.8821958047229,0.0,3.0854091561481223,0.0,35.67975814223203,0.0,0.0,30.788627659290913,37.46980592997879,0.0,0.0,33.4988281832685,36.66621406379477,0.0,0.0,32.04389020206733
native_phase_lock_a102,od_baseline,4-8s,4000.0,8000.0,98.45776041483572,99.47704822777455,1712,1721,True,37.46980592997879,True,32,1009.1119733294322,964.9546956808481,0.0,1.5422395851642814,0.0,35.63747031742555,0.0,0.0,31.289691320885414,37.46980592997879,0.0,0.0,34.15756165169596,36.66621406379477,0.0,0.0,32.6736711182487
native_phase_lock_a102,od_baseline,8-12s,8000.0,12000.0,99.43983734692625,100.0,1757,1757,True,37.46980592997879,True,32,92.27733524304585,624.7308606913339,0.0,0.5601626530737341,0.0,35.36274998395448,0.0,0.0,31.489460427711563,37.46980592997879,0.0,0.0,34.300363385660866,36.78422310298372,0.0,0.0,32.811523748248405
native_phase_lock_a102,od_baseline,12-16s,12000.0,16000.0,99.34161108108978,100.0,1681,1681,True,37.46980592997879,True,32,102.89190502046768,739.8459111845987,0.0,0.6583889189102081,0.0,35.68482173545178,0.0,0.0,31.06155550879919,37.46980592997879,0.0,0.0,33.88195628538154,36.79856538183695,0.0,0.0,32.44048295779361
native_phase_lock_a102,od_baseline,full,0.0,19986.38601538381,93.07917317197358,96.09544468546638,7088,7376,True,37.46980592997879,False,32,5549.446008408516,3638.7284818316903,1800.2998308593744,1.7181186347048925,5.202708193321568,35.68482173545178,0.0,0.0,28.55699976292911,37.46980592997879,0.0,0.0,31.107991592198843,36.79856538183695,0.0,0.0,29.78163708354877
native_phase_lock_a102,once,2-4s,2000.0,4000.0,99.0647643865165,100.0,886,886,False,40.82784257296906,True,32,165.4736912476019,433.077101381838,0.0,0.9352356134834998,0.0,37.5830935489145,0.0,0.0,31.710282453775687,40.82784257296906,0.07940099699553685,0.07940099699553685,34.4304057447913,38.75969415433535,0.0,0.0,32.89418900895145
native_phase_lock_a102,once,2-6s,2000.0,6000.0,99.23451030998892,100.0,1653,1653,False,40.82784257296906,True,32,254.5495472544403,725.2772559597438,0.0,0.7654896900110814,0.0,37.5830935489145,0.0,0.0,30.975158959572966,40.82784257296906,0.039700498497768424,0.039700498497768424,33.70877775296141,38.75969415433535,0.0,0.0,32.264976769631545
native_phase_lock_a102,once,4-8s,4000.0,8000.0,99.0863304329513,99.93990384615384,1663,1664,False,47.5439158589496,True,32,354.9347497333315,814.5622960890005,0.0,0.9136695670486968,0.0,43.23287038978073,0.598458098998708,0.598458098998708,30.94811874111392,47.5439158589496,2.1562942841063886,2.1562942841063886,33.75753646572329,45.50476675937257,1.1329278399170561,1.1329278399170561,32.30398421962954
native_phase_lock_a102,once,8-12s,8000.0,12000.0,99.2957877903719,99.94175888177053,1716,1717,False,45.86489753745447,True,32,396.11109841793586,505.2805299060374,0.0,0.7042122096281042,0.0,42.36156324363871,1.1261593215480843,1.1261593215480843,31.295160081608564,45.86489753745447,2.3861976821034205,2.3861976821034205,34.08821275494841,43.89282048932685,2.080192204198147,2.080192204198147,32.60809877179411
