mode,policy,seed,start_ms,end_ms,U_percent,SLO_percent,conditions,max_ssu_gib_s
ordered,baseline,7,2000,60000,89.96474717607559,99.94919344595453,True,36.01118797826843
ordered,once,7,2000,60000,99.96111141509773,100.0,True,36.021873262252804
random,baseline,7,2000,60000,99.99786728815651,100.0,True,36.428823953128045
random,once,7,2000,60000,99.98721109242685,100.0,True,36.5865614598999
