case,candidate,strategy,input_family,constructed_profile,constructed_long_profile,order,seed,num_ssu,window_start_s,window_end_s,U_percent,all_32_active,long_short_mixed_cards,long_short_mixed_pass,all_profile_mixed_cards,short_conditional_U_percent,short_window_card_time_share_percent,short_complete_internal_cycles,short_mean_stall_ms_including_zeros,short_duration_weighted_internal_U_percent,ideal_load_ratio,per_ssu_peak_demand_GiB_s,any_ssu_over_nominal_percent,nominal_within_disk_capacity,actual_ssd_mean_busy_percent,actual_ssd_total_GiB_s,actual_npu_receive_total_GiB_s,slo_1p5_percent,slo_2_percent,slo_cohort_requests,count_ratio,profile_keys,per_card_profile_counts,completed_requests,analysis_sha256,input_fingerprint
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,2.0,4.0,97.83471933961053,True,32,True,32,94.87811850987362,40.67552207630652,819,1.5221834683177984,94.47882067473887,0.996611200396806,"[51.24423303197021, 51.242056837564085, 51.237789215789796]",54.588059505275716,False,99.3300965835572,119.19611590026864,119.20271313441263,100.0,100.0,243,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,2.0,20.0,97.4555031067779,True,32,True,32,93.87966867192037,40.01432430455517,7260,1.8160805852920359,93.48229261322376,0.996611200396806,"[59.0651857061554, 59.06953809496765, 59.06527047319336]",51.72204871785076,False,97.9134378590312,117.49612543083742,117.49651714384204,100.0,100.0,2138,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,4.0,6.0,97.10149971933978,True,32,True,32,93.07752494923321,40.08307028310379,789,2.080633730068565,92.6030715903807,0.996611200396806,"[51.24423303197021, 51.24640922637634, 51.235613021383664]",59.68196109069968,False,98.19743393590748,117.83692072308897,117.85474217240719,100.0,100.0,236,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,6.0,8.0,95.18965229565943,True,32,True,32,89.12161566423889,42.53239414219041,806,3.416281158759838,88.40523437904551,0.996611200396806,"[59.0651857061554, 59.06953809496765, 59.06527047319336]",60.20409829947635,False,97.57670911350839,117.09205093621009,117.07884680502823,100.0,100.0,231,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,8.0,10.0,99.46996507555251,True,32,True,32,98.62486754517111,37.37343573981545,787,0.3997423300509915,98.48854147638535,0.996611200396806,"[49.28192223160401, 49.290627009228515, 49.27983080423584]",39.84713746756715,False,97.35447911326291,116.8253749359155,116.81650693100275,100.0,100.0,239,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,10.0,12.0,98.77712738756655,True,32,True,32,96.91251886809547,37.72870363061844,776,0.9086986210695496,96.62900757465245,0.996611200396806,"[51.24423303197021, 51.24423303197021, 51.235613021383664]",32.69596244224685,False,97.00733118175692,116.40879741810829,116.39928765807971,100.0,100.0,242,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,12.0,14.0,97.7933215099446,True,32,True,32,94.70411526682395,40.4496468141779,814,1.557509596416598,94.35791707352188,0.996611200396806,"[49.28192223160401, 49.28845081482239, 49.284183193048094]",54.0283988087419,False,99.10664615480391,118.92797538576468,118.96567846150757,100.0,100.0,240,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,14.0,16.0,94.61217245540371,True,32,True,32,88.57506895405523,45.526907479557764,858,3.617893117487917,87.804419013602,0.996611200396806,"[55.157973660672, 55.157973660672, 55.14935365008545]",87.07034179174453,False,99.96775873005456,119.96131047606548,119.94542341454317,100.0,100.0,233,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,16.0,18.0,96.32769657277076,True,32,True,32,91.30599312472752,40.569802915819224,782,2.597622941725727,90.9317772572121,0.996611200396806,"[53.20219144352417, 53.19783905471191, 53.19139523853149]",58.085048458797694,False,97.58281046531465,117.09937255837758,117.08665449888213,100.0,100.0,236,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
runs/adapt_f1_02_ssu3_h22000_seed7/baseline,adapt_f1_02,baseline,raw,False,False,random,7,3,18.0,20.0,99.99337360515324,True,32,True,32,99.9811693631268,35.18943565940571,749,0.0053830947799093105,99.97933798503739,0.996611200396806,"[47.33484479208069, 47.33049240326843, 47.31752000386963]",19.297430596107006,False,95.09767545311479,114.11721054373776,114.11880121871482,100.0,100.0,238,"[13, 14]","144:1024,48:4096","{'H': 52, 'L': 56}",3456,e28c3777d9a2f19a06465e9310ce7de68efa429f41638408bddf2d9d29460bdb,103336a780698030bd742c24bb69500e54a25d8a144be3ad4d42c79fa1552978
