start_ms,end_ms,total_demand_GiB_s,total_supply_GiB_s
2000.0,2001.2652016933546,340.848766992865,274.63929379128376
2001.2652016933546,2001.4184225052154,340.848766992865,226.79604326172478
2001.4184225052154,2001.4355602878422,340.848766992865,228.11097572822868
2001.4355602878422,2002.6960946376905,313.6877735324341,228.11097572822868
2002.6960946376905,2003.554713159761,313.6877735324341,186.9960007227951
2003.554713159761,2005.0635720546827,313.6877735324341,188.310933189299
2005.0635720546827,2005.6511022672432,313.6877735324341,163.61453986664816
2005.6511022672432,2007.1196938808546,313.6877735324341,164.92947233315206
2007.1196938808546,2007.2892132419438,313.6877735324341,150.1738608626663
2007.2892132419438,2007.5497843585536,286.5267800720032,150.1738608626663
2007.5497843585536,2007.790202688383,286.5267800720032,151.4887933291702
2007.790202688383,2008.0464731753216,286.5267800720032,152.8037257956741
2008.0464731753216,2008.8636208828077,286.5267800720032,154.118658262178
2008.8636208828077,2009.6600374561099,286.5267800720032,143.79733087123398
2009.6600374561099,2011.087583603272,286.5267800720032,145.1122633377379
2011.087583603272,2011.5580404251373,286.5267800720032,145.1122633377379
2011.5580404251373,2011.5868945829143,286.5267800720032,143.17425197751578
2011.5868945829143,2011.7220498378858,286.5267800720032,141.24434123077077
2011.7220498378858,2012.2121234647502,286.5267800720032,135.88154374562302
2012.2121234647502,2014.089527254878,286.5267800720032,134.11776051141166
2014.089527254878,2014.2368734329498,286.5267800720032,131.53680134048062
2014.2368734329498,2014.5762439481487,286.5267800720032,130.2108691236627
2014.5762439481487,2014.586353426753,286.5267800720032,128.94642267857975
2014.586353426753,2015.520420199214,286.5267800720032,127.68376394391053
2015.520420199214,2016.610225483731,286.5267800720032,125.74488080038317
2016.610225483731,2017.3886592556128,286.5267800720032,124.79628853106546
2017.3886592556128,2017.8929330165968,313.6877735324341,124.10547698838525
2017.8929330165968,2018.6918445340862,313.6877735324341,123.261005493928
2018.6918445340862,2018.6977578456983,313.6877735324341,122.56449087282975
2018.6977578456983,2019.3238259609327,313.6877735324341,121.72267386889268
2019.3238259609327,2020.3326285835003,313.6877735324341,121.31672002874991
2020.3326285835003,2020.4654649272147,313.6877735324341,120.78252334328033
2020.4654649272147,2022.0026589687452,313.6877735324341,124.94477581627048
2022.0026589687452,2023.7482644374952,313.6877735324341,124.33170549592504
2023.7482644374952,2023.880747280979,313.6877735324341,123.5503899844554
2023.880747280979,2024.2665745336844,313.6877735324341,123.29093050218027
2024.2665745336844,2025.489673739253,313.6877735324341,123.0565031199008
2025.489673739253,2027.8563119228468,313.6877735324341,121.99043412926727
2027.8563119228468,2028.1159935574447,313.6877735324341,121.62179463731111
2028.1159935574447,2028.3038115911606,313.6877735324341,121.5994933271326
2028.3038115911606,2030.011264501096,313.6877735324341,121.586065613987
2030.011264501096,2030.2246285732374,313.6877735324341,121.586065613987
2030.2246285732374,2031.969394808589,313.6877735324341,120.9785496266957
2031.969394808589,2032.1475551556416,313.6877735324341,120.18769296932344
2032.1475551556416,2034.243944263124,313.6877735324341,120.18769296932344
2034.243944263124,2034.3427468593702,313.6877735324341,120.18769296932342
2034.3427468593702,2036.0866738613233,313.6877735324341,120.02133820758857
2036.0866738613233,2036.1426263544342,313.6877735324341,119.9433076161572
2036.1426263544342,2036.3830446842637,313.6877735324341,119.9433076161572
2036.3830446842637,2036.6393151712023,313.6877735324341,119.9433076161572
2036.6393151712023,2037.5142098720655,313.6877735324341,119.94330761615718
2037.5142098720655,2038.2528794519906,313.6877735324341,113.39740946394485
2038.2528794519906,2039.5736886318311,313.6877735324341,113.39740946394485
2039.5736886318311,2040.150882421018,313.6877735324341,107.3231506458249
2040.150882421018,2040.179736578795,313.6877735324341,107.3231506458249
2040.179736578795,2040.804965460631,313.6877735324341,107.3231506458249
2040.804965460631,2042.7401162441358,313.6877735324341,107.3231506458249
2042.7401162441358,2042.8297154288305,313.6877735324341,109.48136385444329
2042.8297154288305,2043.1690859440293,313.6877735324341,109.48136385444329
2043.1690859440293,2043.1791954226337,313.6877735324341,109.48136385444329
2043.1791954226337,2043.5382214206547,313.6877735324341,109.48136385444327
2043.5382214206547,2044.1710091884718,286.5267800720032,109.48136385444327
2044.1710091884718,2045.2030674796117,286.5267800720032,110.9468040223697
2045.2030674796117,2045.5977001804204,286.5267800720032,110.9468040223697
2045.5977001804204,2046.2271310146436,259.3657866115723,110.9468040223697
2046.2271310146436,2047.2846865299668,259.3657866115723,105.28663737356707
2047.2846865299668,2047.290599841579,259.3657866115723,105.28663737356707
2047.290599841579,2047.6571847255811,259.3657866115723,105.28663737356706
2047.6571847255811,2048.925470579381,259.3657866115723,106.96545393608811
2048.925470579381,2049.0583069230956,259.3657866115723,106.9654539360881
