npu_id,current_request_id,current_layer,next_request_id,next_layer,current_role,next_role,cross_request,full_start_ms,full_end_ms,clipped_start_ms,clipped_end_ms,clipped_at_window_edge,clipped_duration_ms,full_next_layer_received_GiB,actual_window_received_GiB,next_layer_first_physical_receive_ms,next_layer_last_physical_receive_ms,period_mean_supply_GiB_s
0,24,5,24,6,S,S,False,1998.1295689105866,2003.7859941834474,2000.0,2003.7859941834474,True,3.7859941834474284,0.0255126953125,0.0255126953125,2000.681677675235,2001.318655824649,6.738704307587921
0,24,6,24,7,S,S,False,2003.7859941834474,2009.4424194563082,2003.7859941834474,2009.4424194563082,False,5.656425272860815,0.0255126953125,0.0255126953125,2003.8707645892976,2004.5077427387116,4.510392002331996
0,24,7,25,0,S,S,True,2009.4424194563082,2015.098844729169,2009.4424194563082,2015.098844729169,False,5.656425272860815,0.0255126953125,0.0255126953125,2009.4466156233004,2010.0835937727145,4.510392002331996
0,25,0,25,1,S,S,False,2015.098844729169,2020.5539399835338,2015.098844729169,2020.5539399835338,False,5.455095254364778,0.0255126953125,0.0255126953125,2015.1030408961612,2016.2561475856144,4.676856062611659
0,25,1,25,2,S,S,False,2020.5539399835338,2026.0090352378986,2020.5539399835338,2026.0090352378986,False,5.455095254364778,0.0255126953125,0.0255126953125,2020.8654300168894,2021.829709191694,4.676856062611659
0,25,2,25,3,S,S,False,2026.0090352378986,2038.3332339719675,2026.0090352378986,2038.3332339719675,False,12.324198734068887,0.0255126953125,0.0255126953125,2037.6962558225534,2038.3332339719675,2.0701301450108045
0,25,3,25,4,S,S,False,2038.3332339719675,2043.7883292263323,2038.3332339719675,2043.7883292263323,False,5.455095254364778,0.0255126953125,0.0255126953125,2040.885342736616,2041.52232088603,4.676856062611659
0,25,4,25,5,S,S,False,2043.7883292263323,2049.243424480697,2043.7883292263323,2049.243424480697,False,5.455095254364551,0.0255126953125,0.0255126953125,2044.0744296506784,2044.7114078000925,4.676856062611853
0,25,5,25,6,S,S,False,2049.243424480697,2054.6985197350614,2049.243424480697,2054.6985197350614,False,5.455095254364551,0.0255126953125,0.0255126953125,2053.9228335813423,2054.5598117307563,4.676856062611853
0,25,6,25,7,S,S,False,2054.6985197350614,2060.153614989426,2054.6985197350614,2060.153614989426,False,5.455095254364551,0.0255126953125,0.0255126953125,2057.111920495405,2057.748898644819,4.676856062611853
0,25,7,26,0,S,S,True,2060.153614989426,2065.6087102437905,2060.153614989426,2065.6087102437905,False,5.455095254364551,0.0255126953125,0.0255126953125,2060.3332342741596,2060.9702124235737,4.676856062611853
0,26,0,26,1,S,S,False,2065.6087102437905,2071.0380291572937,2065.6087102437905,2071.0380291572937,False,5.429318913503266,0.0255126953125,0.0255126953125,2065.8863525837387,2066.5233307331528,4.6990599960977315
0,26,1,26,2,S,S,False,2071.0380291572937,2076.467348070797,2071.0380291572937,2076.467348070797,False,5.429318913503266,0.0255126953125,0.0255126953125,2071.439470893318,2072.076449042732,4.6990599960977315
0,26,2,26,3,S,S,False,2076.467348070797,2081.8966669843003,2076.467348070797,2081.8966669843003,False,5.429318913503266,0.0255126953125,0.0255126953125,2076.992589202897,2077.629567352311,4.6990599960977315
0,26,3,26,4,S,S,False,2081.8966669843003,2087.3259858978035,2081.8966669843003,2087.3259858978035,False,5.429318913503266,0.0255126953125,0.0255126953125,2086.2031757507484,2087.1800434265297,4.6990599960977315
0,26,4,26,5,S,S,False,2087.3259858978035,2096.6885578308265,2087.3259858978035,2096.6885578308265,False,9.362571933022991,0.0255126953125,0.0255126953125,2096.0515796814125,2096.6885578308265,2.724966547120824
0,26,5,26,6,S,S,False,2096.6885578308265,2102.11787674433,2096.6885578308265,2102.11787674433,False,5.429318913503266,0.0255126953125,0.0255126953125,2099.240666595475,2099.877644744889,4.6990599960977315
0,26,6,26,7,S,S,False,2102.11787674433,2109.726048675553,2102.11787674433,2109.726048675553,False,7.608171931223296,0.0255126953125,0.0255126953125,2109.089070526139,2109.726048675553,3.353327914133755
0,26,7,27,0,S,S,True,2109.726048675553,2118.9366352234047,2109.726048675553,2118.9366352234047,False,9.210586547851562,0.0255126953125,0.0255126953125,2118.2996570739906,2118.9366352234047,2.7699316628701594
0,27,0,27,1,S,S,False,2118.9366352234047,2128.147221771256,2118.9366352234047,2128.147221771256,False,9.210586547851562,0.0255126953125,0.0255126953125,2127.510243621842,2128.147221771256,2.7699316628701594
0,27,1,27,2,S,S,False,2128.147221771256,2133.7623088988166,2128.147221771256,2133.7623088988166,False,5.6150871275604,0.0255126953125,0.0255126953125,2130.061513153092,2130.698491302506,4.543597406935439
0,27,2,27,3,S,S,False,2133.7623088988166,2139.377396026377,2133.7623088988166,2139.377396026377,False,5.6150871275604,0.0255126953125,0.0255126953125,2133.8181809474318,2134.455159096846,4.543597406935439
0,27,3,27,4,S,S,False,2139.377396026377,2144.9924831539374,2139.377396026377,2144.9924831539374,False,5.6150871275604,0.0255126953125,0.0255126953125,2143.0287674952833,2143.6657456446974,4.543597406935439
0,27,4,27,5,S,S,False,2144.9924831539374,2152.876332192549,2144.9924831539374,2152.876332192549,False,7.883849038611515,0.0255126953125,0.0255126953125,2152.239354043135,2152.876332192549,3.2360710089133358
0,27,5,27,6,S,S,False,2152.876332192549,2158.4914193201093,2152.876332192549,2158.4914193201093,False,5.6150871275604,0.0255126953125,0.0255126953125,2154.790623574385,2155.427601723799,4.543597406935439
0,27,6,27,7,S,S,False,2158.4914193201093,2164.1065064476697,2158.4914193201093,2164.1065064476697,False,5.6150871275604,0.0255126953125,0.0255126953125,2158.5421223405633,2159.1791004899774,4.543597406935439
0,27,7,28,0,S,S,True,2164.1065064476697,2169.72159357523,2164.1065064476697,2169.72159357523,False,5.6150871275604,0.0255126953125,0.0255126953125,2167.752708888415,2168.389687037829,4.543597406935439
0,28,0,28,1,S,S,False,2169.72159357523,2175.233424939467,2169.72159357523,2175.233424939467,False,5.5118313642369685,0.0255126953125,0.0255126953125,2170.303978419665,2170.940956569079,4.628714782175099
0,28,1,28,2,S,S,False,2175.233424939467,2182.6371893157843,2175.233424939467,2182.6371893157843,False,7.403764376317213,0.0255126953125,0.0255126953125,2182.0002111663703,2182.6371893157843,3.4459085967279997
0,28,2,28,3,S,S,False,2182.6371893157843,2188.1490206800213,2182.6371893157843,2188.1490206800213,False,5.5118313642369685,0.0255126953125,0.0255126953125,2184.5514806976203,2185.1884588470343,4.628714782175099
0,28,3,28,4,S,S,False,2188.1490206800213,2193.6608520442583,2188.1490206800213,2193.6608520442583,False,5.5118313642369685,0.0255126953125,0.0255126953125,2188.1532168470135,2188.7901949964275,4.628714782175099
0,28,4,28,5,S,S,False,2193.6608520442583,2199.1726834084952,2193.6608520442583,2199.1726834084952,False,5.5118313642369685,0.0255126953125,0.0255126953125,2198.493840531263,2199.130818680677,4.628714782175099
0,28,5,28,6,S,S,False,2199.1726834084952,2208.3414052285284,2199.1726834084952,2208.3414052285284,False,9.16872182003317,0.0255126953125,0.0255126953125,2207.7044270791143,2208.3414052285284,2.782579274763917
0,28,6,28,7,S,S,False,2208.3414052285284,2213.8532365927654,2208.3414052285284,2213.8532365927654,False,5.5118313642369685,0.0255126953125,0.0255126953125,2210.2556966103643,2210.8926747597784,4.628714782175099
0,28,7,29,0,S,S,True,2213.8532365927654,2219.3650679570023,2213.8532365927654,2219.3650679570023,False,5.5118313642369685,0.0255126953125,0.0255126953125,2213.8574327597576,2214.4944109091716,4.628714782175099
