npu_id,current_request_id,current_layer,next_request_id,next_layer,current_role,next_role,cross_request,full_start_ms,full_end_ms,clipped_start_ms,clipped_end_ms,clipped_at_window_edge,clipped_duration_ms,full_next_layer_received_GiB,actual_window_received_GiB,next_layer_first_physical_receive_ms,next_layer_last_physical_receive_ms,period_mean_supply_GiB_s
0,24,5,24,6,S,S,False,1998.1077978633693,2003.7642231362302,2000.0,2003.7642231362302,True,3.7642231362301573,0.0255126953125,0.0179595947265625,1999.6344304898516,2002.8856206753985,4.7711291484566205
0,24,6,24,7,S,S,False,2003.7642231362302,2009.420648409091,2003.7642231362302,2009.420648409091,False,5.656425272860815,0.0255126953125,0.0255126953125,2004.7495580533282,2008.8148046353595,4.510392002331996
0,24,7,25,0,S,S,True,2009.420648409091,2015.0770736819518,2009.420648409091,2015.0770736819518,False,5.656425272860815,0.0255126953125,0.0255126953125,2009.4366765836016,2012.4151159146563,4.510392002331996
0,25,0,25,1,S,S,False,2015.0770736819518,2020.5321689363166,2015.0770736819518,2020.5321689363166,False,5.455095254364778,0.0255126953125,0.0255126953125,2015.081269848944,2015.718247998358,4.676856062611659
0,25,1,25,2,S,S,False,2020.5321689363166,2025.9872641906813,2020.5321689363166,2025.9872641906813,False,5.455095254364778,0.0255126953125,0.0255126953125,2020.5405117537298,2021.2194515730657,4.676856062611659
0,25,2,25,3,S,S,False,2025.9872641906813,2031.4423594450461,2025.9872641906813,2031.4423594450461,False,5.455095254364778,0.0255126953125,0.0255126953125,2026.161116925999,2026.9449609201397,4.676856062611659
0,25,3,25,4,S,S,False,2031.4423594450461,2036.897454699411,2031.4423594450461,2036.897454699411,False,5.455095254364778,0.0255126953125,0.0255126953125,2032.199324463411,2034.0364063725906,4.676856062611659
0,25,4,25,5,S,S,False,2036.897454699411,2042.3525499537757,2036.897454699411,2042.3525499537757,False,5.455095254364778,0.0255126953125,0.0255126953125,2037.9900349126297,2041.253813599153,4.676856062611659
0,25,5,25,6,S,S,False,2042.3525499537757,2047.8076452081405,2042.3525499537757,2047.8076452081405,False,5.455095254364778,0.0255126953125,0.0255126953125,2042.38342175345,2047.6571644292312,4.676856062611659
0,25,6,25,7,S,S,False,2047.8076452081405,2053.968199585481,2047.8076452081405,2053.968199585481,False,6.160554377340759,0.0255126953125,0.0255126953125,2048.4552753911453,2053.968199585481,4.14129861532246
0,25,7,26,0,S,S,True,2053.968199585481,2059.4232948398458,2053.968199585481,2059.4232948398458,False,5.455095254364551,0.0255126953125,0.0255126953125,2053.981627319856,2058.6091602788406,4.676856062611853
0,26,0,26,1,S,S,False,2059.4232948398458,2065.939864014192,2059.4232948398458,2065.939864014192,False,6.516569174346387,0.0255126953125,0.0255126953125,2059.4492329106765,2065.939864014192,3.9150501790014265
0,26,1,26,2,S,S,False,2065.939864014192,2071.3691829276954,2065.939864014192,2071.3691829276954,False,5.429318913503266,0.0255126953125,0.0255126953125,2065.944899414583,2068.931731079622,4.6990599960977315
0,26,2,26,3,S,S,False,2071.3691829276954,2076.7985018411987,2071.3691829276954,2076.7985018411987,False,5.429318913503266,0.0255126953125,0.0255126953125,2071.3747395024734,2073.610457275911,4.6990599960977315
0,26,3,26,4,S,S,False,2076.7985018411987,2082.227820754702,2076.7985018411987,2082.227820754702,False,5.429318913503266,0.0255126953125,0.0255126953125,2077.1318806157547,2079.296263550325,4.6990599960977315
0,26,4,26,5,S,S,False,2082.227820754702,2087.657139668205,2082.227820754702,2087.657139668205,False,5.429318913503266,0.0255126953125,0.0255126953125,2082.238615845247,2083.8533009038406,4.6990599960977315
0,26,5,26,6,S,S,False,2087.657139668205,2093.0864585817085,2087.657139668205,2093.0864585817085,False,5.429318913503266,0.0255126953125,0.0255126953125,2087.697829102083,2090.6972492680984,4.6990599960977315
0,26,6,26,7,S,S,False,2093.0864585817085,2098.5157774952118,2093.0864585817085,2098.5157774952118,False,5.429318913503266,0.0255126953125,0.0255126953125,2093.1024921880203,2096.215208862825,4.6990599960977315
0,26,7,27,0,S,S,True,2098.5157774952118,2103.945096408715,2098.5157774952118,2103.945096408715,False,5.429318913503266,0.0255126953125,0.0255126953125,2098.536528442903,2103.7725056157547,4.6990599960977315
0,27,0,27,1,S,S,False,2103.945096408715,2109.982832764192,2103.945096408715,2109.982832764192,False,6.037736355477136,0.0255126953125,0.0255126953125,2103.9663685307937,2109.982832764192,4.225539806711855
0,27,1,27,2,S,S,False,2109.982832764192,2116.8183887944656,2109.982832764192,2116.8183887944656,False,6.8355560302734375,0.0255126953125,0.0255126953125,2109.996260498567,2116.8183887944656,3.7323511356660526
0,27,2,27,3,S,S,False,2116.8183887944656,2122.433475922026,2116.8183887944656,2122.433475922026,False,5.6150871275604,0.0255126953125,0.0255126953125,2116.8276203618484,2119.822844360872,4.543597406935439
0,27,3,27,4,S,S,False,2122.433475922026,2128.0485630495864,2122.433475922026,2128.0485630495864,False,5.6150871275604,0.0255126953125,0.0255126953125,2122.437895630403,2125.647124146028,4.543597406935439
0,27,4,27,5,S,S,False,2128.0485630495864,2133.663650177147,2128.0485630495864,2133.663650177147,False,5.6150871275604,0.0255126953125,0.0255126953125,2128.056563232942,2130.011137817903,4.543597406935439
0,27,5,27,6,S,S,False,2133.663650177147,2139.278737304707,2133.663650177147,2139.278737304707,False,5.6150871275604,0.0255126953125,0.0255126953125,2133.6794270024734,2135.352858398958,4.543597406935439
0,27,6,27,7,S,S,False,2139.278737304707,2144.8938244322676,2139.278737304707,2144.8938244322676,False,5.6150871275604,0.0255126953125,0.0255126953125,2139.2829334716994,2139.9702656250197,4.543597406935439
0,27,7,28,0,S,S,True,2144.8938244322676,2150.508911559828,2144.8938244322676,2150.508911559828,False,5.6150871275604,0.0255126953125,0.0255126953125,2144.916025915474,2147.2776286986773,4.543597406935439
0,28,0,28,1,S,S,False,2150.508911559828,2156.020742924065,2150.508911559828,2156.020742924065,False,5.5118313642369685,0.0255126953125,0.0255126953125,2150.5137126830523,2152.5018566039507,4.628714782175099
0,28,1,28,2,S,S,False,2156.020742924065,2161.532574288302,2156.020742924065,2161.532574288302,False,5.5118313642369685,0.0255126953125,0.0255126953125,2157.059733190865,2161.0452526000445,4.628714782175099
0,28,2,28,3,S,S,False,2161.532574288302,2167.044405652539,2161.532574288302,2167.044405652539,False,5.5118313642369685,0.0255126953125,0.0255126953125,2162.233607092232,2166.5086620238726,4.628714782175099
0,28,3,28,4,S,S,False,2167.044405652539,2175.757014074654,2167.044405652539,2175.757014074654,False,8.712608422114954,0.0255126953125,0.0255126953125,2168.2383220580523,2175.757014074654,2.928249965617861
0,28,4,28,5,S,S,False,2175.757014074654,2181.268845438891,2175.757014074654,2181.268845438891,False,5.5118313642369685,0.0255126953125,0.0255126953125,2175.770441809029,2178.4845226195757,4.628714782175099
0,28,5,28,6,S,S,False,2181.268845438891,2186.780676803128,2181.268845438891,2186.780676803128,False,5.5118313642369685,0.0255126953125,0.0255126953125,2181.275812902779,2183.4863536742632,4.628714782175099
0,28,6,28,7,S,S,False,2186.780676803128,2192.2925081673648,2186.780676803128,2192.2925081673648,False,5.5118313642369685,0.0255126953125,0.0255126953125,2186.785380163521,2188.739954748482,4.628714782175099
0,28,7,29,0,S,S,True,2192.2925081673648,2197.8043395316017,2192.2925081673648,2197.8043395316017,False,5.5118313642369685,0.0255126953125,0.0255126953125,2192.296704334357,2193.1057253304507,4.628714782175099
0,29,0,29,1,S,S,False,2197.8043395316017,2203.1924329397134,2197.8043395316017,2203.1924329397134,False,5.388093408111672,0.0255126953125,0.0255126953125,2197.808535698594,2198.739245537461,4.735013553048491
0,29,1,29,2,S,S,False,2203.1924329397134,2208.580526347825,2203.1924329397134,2208.580526347825,False,5.388093408111672,0.0255126953125,0.0255126953125,2203.217009022284,2205.284880116034,4.735013553048491
0,29,2,29,3,S,S,False,2208.580526347825,2213.9686197559367,2208.580526347825,2213.9686197559367,False,5.388093408111672,0.0255126953125,0.0255126953125,2208.613279774237,2211.51199193244,4.735013553048491
0,29,3,29,4,S,S,False,2213.9686197559367,2219.3567131640484,2213.9686197559367,2219.3567131640484,False,5.388093408111672,0.0255126953125,0.0255126953125,2213.980177357245,2216.434095814276,4.735013553048491
0,29,4,29,5,S,S,False,2219.3567131640484,2225.8586868787293,2219.3567131640484,2225.8586868787293,False,6.501973714680844,0.0255126953125,0.0255126953125,2219.397428944159,2225.8586868787293,3.923838580721226
0,29,5,29,6,S,S,False,2225.8586868787293,2231.246780286841,2225.8586868787293,2231.246780286841,False,5.388093408111672,0.0255126953125,0.0255126953125,2225.8763107800964,2228.0994400525574,4.735013553048491
0,29,6,29,7,S,S,False,2231.246780286841,2236.6348736949526,2231.246780286841,2236.6348736949526,False,5.388093408111672,0.0255126953125,0.0255126953125,2231.2516006970886,2233.751676991034,4.735013553048491
0,29,7,30,0,S,S,True,2236.6348736949526,2242.0229671030643,2236.6348736949526,2242.0229671030643,False,5.388093408111672,0.0255126953125,0.0255126953125,2236.6394791150574,2239.5801529431824,4.735013553048491
0,30,0,30,1,S,S,False,2242.0229671030643,2247.3595574294127,2242.0229671030643,2247.3595574294127,False,5.336590326348414,0.0255126953125,0.0255126953125,2242.048338367987,2245.5177292371277,4.7807108569934345
0,30,1,30,2,S,S,False,2247.3595574294127,2252.696147755761,2247.3595574294127,2252.696147755761,False,5.336590326348414,0.0255126953125,0.0255126953125,2247.8810104871277,2250.6580338025574,4.7807108569934345
0,30,2,30,3,S,S,False,2252.696147755761,2258.0327380821095,2252.696147755761,2258.0327380821095,False,5.336590326348414,0.0255126953125,0.0255126953125,2253.033903553534,2255.2318558240418,4.7807108569934345
0,30,3,30,4,S,S,False,2258.0327380821095,2263.369328408458,2258.0327380821095,2263.369328408458,False,5.336590326348414,0.0255126953125,0.0255126953125,2258.060072376776,2260.350340321112,4.7807108569934345
0,30,4,30,5,S,S,False,2263.369328408458,2268.7059187348063,2263.369328408458,2268.7059187348063,False,5.336590326348414,0.0255126953125,0.0255126953125,2263.3892044568543,2267.4586472058777,4.7807108569934345
0,30,5,30,6,S,S,False,2268.7059187348063,2274.0425090611548,2268.7059187348063,2274.0425090611548,False,5.336590326348414,0.0255126953125,0.0255126953125,2268.7225327039246,2273.0227646375183,4.7807108569934345
0,30,6,30,7,S,S,False,2274.0425090611548,2279.379099387503,2274.0425090611548,2279.379099387503,False,5.336590326348414,0.0255126953125,0.0255126953125,2275.621031239081,2279.371565296698,4.7807108569934345
0,30,7,31,0,S,S,True,2279.379099387503,2284.7156897138516,2279.379099387503,2284.7156897138516,False,5.336590326348414,0.0255126953125,0.0255126953125,2279.4017776990418,2284.0167221570496,4.7807108569934345
0,31,0,31,1,S,S,False,2284.7156897138516,2290.191411800901,2284.7156897138516,2290.191411800901,False,5.475722087049235,0.0255126953125,0.0255126953125,2286.631773426581,2289.417189075995,4.659238527251174
0,31,1,31,2,S,S,False,2290.191411800901,2295.66713388795,2290.191411800901,2295.66713388795,False,5.475722087049235,0.0255126953125,0.0255126953125,2290.2278885388855,2292.4258408093933,4.659238527251174
0,31,2,31,3,S,S,False,2295.66713388795,2301.1428559749993,2295.66713388795,2301.1428559749993,False,5.475722087049235,0.0255126953125,0.0255126953125,2295.674513294745,2297.0374283338074,4.659238527251174
0,31,3,31,4,S,S,False,2301.1428559749993,2306.6185780620485,2301.1428559749993,2306.6185780620485,False,5.475722087049235,0.0255126953125,0.0255126953125,2301.1470521419915,2301.7840302914055,4.659238527251174
0,31,4,31,5,S,S,False,2306.6185780620485,2312.0943001490978,2306.6185780620485,2312.0943001490978,False,5.475722087049235,0.0255126953125,0.0255126953125,2306.6227742290407,2307.259752378455,4.659238527251174
0,31,5,31,6,S,S,False,2312.0943001490978,2317.570022236147,2312.0943001490978,2317.570022236147,False,5.475722087049235,0.0255126953125,0.0255126953125,2312.09849631609,2312.735474465504,4.659238527251174
0,31,6,31,7,S,S,False,2317.570022236147,2323.0457443231962,2317.570022236147,2323.0457443231962,False,5.475722087049235,0.0255126953125,0.0255126953125,2317.5767803881463,2319.8922253344354,4.659238527251174
0,31,7,32,0,S,S,True,2323.0457443231962,2328.5214664102455,2323.0457443231962,2328.5214664102455,False,5.475722087049235,0.0255126953125,0.0255126953125,2323.052778312951,2324.5709515307244,4.659238527251174
0,32,0,32,1,S,S,False,2328.5214664102455,2333.8889547456547,2328.5214664102455,2333.8889547456547,False,5.367488335409234,0.0255126953125,0.0255126953125,2328.5256625772377,2329.5360995889564,4.75319063931507
0,32,1,32,2,S,S,False,2333.8889547456547,2339.256443081064,2333.8889547456547,2339.256443081064,False,5.367488335409234,0.0255126953125,0.0255126953125,2333.893150912647,2334.5595022310063,4.75319063931507
0,32,2,32,3,S,S,False,2339.256443081064,2344.623931416473,2339.256443081064,2344.623931416473,False,5.367488335409234,0.0255126953125,0.0255126953125,2339.260639248056,2340.0612679101655,4.75319063931507
0,32,3,32,4,S,S,False,2344.623931416473,2349.9914197518824,2344.623931416473,2349.9914197518824,False,5.367488335409234,0.0255126953125,0.0255126953125,2345.0933113671967,2348.864826259775,4.75319063931507
0,32,4,32,5,S,S,False,2349.9914197518824,2355.3589080872916,2349.9914197518824,2355.3589080872916,False,5.367488335409234,0.0255126953125,0.0255126953125,2350.0112190820405,2352.2972908593842,4.75319063931507
0,32,5,32,6,S,S,False,2355.3589080872916,2360.726396422701,2355.3589080872916,2360.726396422701,False,5.367488335409234,0.0255126953125,0.0255126953125,2355.6194188787613,2356.3445165350113,4.75319063931507
0,32,6,32,7,S,S,False,2360.726396422701,2366.09388475811,2360.726396422701,2366.09388475811,False,5.367488335409234,0.0255126953125,0.0255126953125,2360.879762483605,2361.6090563068474,4.75319063931507
0,32,7,33,0,S,S,True,2366.09388475811,2371.4613730935193,2366.09388475811,2371.4613730935193,False,5.367488335409234,0.0255126953125,0.0255126953125,2366.1331764784977,2366.912824305646,4.75319063931507
0,33,0,33,1,S,S,False,2371.4613730935193,2376.9216245760554,2371.4613730935193,2376.9216245760554,False,5.460251482536023,0.0255126953125,0.0255126953125,2372.6224492552988,2374.073483801197,4.672439610904256
0,33,1,33,2,S,S,False,2376.9216245760554,2382.3818760585914,2376.9216245760554,2382.3818760585914,False,5.460251482536023,0.0255126953125,0.0255126953125,2378.6187718871347,2380.8335088256113,4.672439610904256
