policy,U_percent,mean_demand_GiB_s,mean_supply_GiB_s,warm_slo_passed,warm_slo_count,warm_slo_rate,full_slo_passed,full_slo_count,full_slo_rate
fifo,92.52397715502856,37.33413599804822,34.65283803527628,165,168,0.9821428571428571,550,576,0.9548611111111112
once,97.15574265298257,37.322828365868666,36.8713513759096,170,170,1.0,576,576,1.0
short_first,98.1498365559261,37.320952973543186,37.0557632446289,167,167,1.0,576,576,1.0
