npu_id,request_id,role,start_ms,end_ms,demand_GiB_s
0,25,S,2000.0,2002.9507565575082,4.6768560626117
0,26,S,2002.9507565575082,2046.3853078655343,4.699059996097711
0,27,S,2046.3853078655343,2091.3060048860175,4.543597406935284
0,28,S,2091.3060048860175,2135.4006557999132,4.628714782175057
0,29,S,2135.4006557999132,2178.5054030648066,4.735013553048671
0,30,S,2178.5054030648066,2221.198125675594,4.780710856993546
0,31,S,2221.198125675594,2265.003902371988,4.659238527251201
0,32,S,2265.003902371988,2307.9438090552617,4.753190639315
0,33,S,2307.9438090552617,2351.62582091555,4.672439610904071
0,34,S,2351.62582091555,2394.4833226680025,4.762329910849643
0,35,S,2394.4833226680025,2436.4761908863334,4.860386326526516
0,36,S,2436.4761908863334,2479.622154696623,4.7304902817194545
0,37,S,2479.622154696623,2523.634257319813,4.637396314541255
0,38,S,2523.634257319813,2565.997544527167,4.817887750329673
0,39,S,2565.997544527167,2609.555814591335,4.685713234233813
0,40,S,2609.555814591335,2654.3938609211987,4.551972692977548
0,41,S,2654.3938609211987,2697.62226550228,4.721468776789347
0,42,S,2697.62226550228,2739.6974311315175,4.850879597207548
0,43,S,2739.6974311315175,2782.1842374151715,4.8038810245550625
0,44,S,2782.1842374151715,2826.361446859763,4.620064623049276
0,45,S,2826.361446859763,2870.951602557711,4.577278533911631
0,46,S,2870.951602557711,2913.520767692226,4.794586923541026
0,47,L,2913.520767692226,3388.9708677108733,4.635050620576338
0,48,S,3388.9708677108733,3431.9519806995536,4.7486337209030705
0,49,S,3431.9519806995536,3475.427769032963,4.694602911735107
0,50,S,3475.427769032963,3519.7288354735842,4.607147838609403
0,51,L,3519.7288354735842,3989.5886022631057,4.663235402616974
0,52,S,3989.5886022631057,4000.0,4.522788921038468
1,1000035,S,2000.0,2018.6827589184484,4.681280596328437
1,1000036,S,2018.6827589184484,2062.323520953366,4.6768560626117
1,1000037,S,2062.323520953366,2106.789765895329,4.5900336933417085
1,1000038,S,2106.789765895329,2150.18308273797,4.703525274183083
1,1000039,S,2150.18308273797,2193.493938329836,4.712480501962866
1,1000040,S,2193.493938329836,2235.9395690280608,4.808541165311126
1,1000041,S,2235.9395690280608,2279.662833273719,4.668031219106881
1,1000042,S,2279.662833273719,2322.314367499085,4.785327566918411
1,1000043,L,2322.314367499085,2783.8916622382544,4.6689132274562395
1,1000044,S,2783.8916622382544,2827.98631315215,4.628714782175057
1,1000045,S,2827.98631315215,2870.226104323179,4.831973758430455
1,1000046,S,2870.226104323179,2915.436159400773,4.5145170062212845
1,1000047,S,2915.436159400773,2958.5821232110625,4.7304902817194545
1,1000048,S,2958.5821232110625,3001.7693061267505,4.725975363997627
1,1000049,L,3001.7693061267505,3466.664274262575,4.649100619588757
1,1000050,S,3466.664274262575,3511.5023205924385,4.551972692977548
1,1000051,L,3511.5023205924385,3980.049741327479,4.640660494976569
1,1000052,S,3980.049741327479,4000.0,4.757756028093043
2,2000035,S,2000.0,2029.4271468287945,4.827269571782059
2,2000036,S,2029.4271468287945,2072.1610603850013,4.776102760435301
2,2000037,S,2072.1610603850013,2117.2470895067045,4.526935870734147
2,2000038,S,2117.2470895067045,2159.6103767140585,4.817887750329673
2,2000039,S,2159.6103767140585,2201.7266948887473,4.8461397231693235
2,2000040,L,2201.7266948887473,2670.468778216391,4.666072600875801
2,2000041,S,2670.468778216391,2714.604707115637,4.624385791583278
2,2000042,L,2714.604707115637,3177.601062958179,4.6689132274562395
2,2000043,L,3177.601062958179,3636.7989395576947,4.640660494976569
2,2000044,S,3636.7989395576947,3681.5543454369285,4.56037786922859
2,2000045,S,3681.5543454369285,3724.9476622795696,4.703525274183083
2,2000046,S,3724.9476622795696,3768.629674139858,4.672439610904071
2,2000047,S,3768.629674139858,3811.6519959939465,4.744085249332251
2,2000048,L,3811.6519959939465,4000.0,4.632250727770512
3,3000025,L,2000.0,2441.8397829892165,4.663235402616974
3,3000026,S,2441.8397829892165,2483.9561011639053,4.8461397231693235
3,3000027,S,2483.9561011639053,2526.3605588366954,4.813210065671312
3,3000028,S,2526.3605588366954,2571.405251093096,4.531090174580896
3,3000029,S,2571.405251093096,2614.8810394265056,4.694602911735107
3,3000030,S,2614.8810394265056,2659.719085756369,4.551972692977548
3,3000031,S,2659.719085756369,2702.9887145628454,4.7169704970858115
3,3000032,S,2702.9887145628454,2745.3520017701994,4.817887750329673
3,3000033,L,2745.3520017701994,3226.5115048680523,4.643470488695106
3,3000034,S,3226.5115048680523,3270.1110196375953,4.681280596328437
3,3000035,S,3270.1110196375953,3314.4120860782164,4.607147838609403
3,3000036,S,3314.4120860782164,3359.5807966105162,4.518649306006903
3,3000037,S,3359.5807966105162,3404.212261013788,4.573042028283319
3,3000038,S,3404.212261013788,3449.1742872195787,4.539420923021172
3,3000039,S,3449.1742872195787,3491.4964065214913,4.822574244073157
3,3000040,S,3491.4964065214913,3534.642370331781,4.7304902817194545
3,3000041,S,3534.642370331781,3578.6132026496157,4.641748899012977
3,3000042,S,3578.6132026496157,3621.6767359291075,4.739545201164566
3,3000043,S,3621.6767359291075,3664.287084329047,4.789952914355568
3,3000044,S,3664.287084329047,3708.5468625443277,4.611445667604704
3,3000045,L,3708.5468625443277,4000.0,4.632250727770512
4,4000022,L,2000.0,2280.435664925488,4.6547443158218345
4,4000023,S,2280.435664925488,2322.5519831001766,4.8461397231693235
4,4000024,S,2322.5519831001766,2366.7704756501153,4.615751255416521
4,4000025,S,2366.7704756501153,2411.567200474663,4.556171534847304
4,4000026,S,2411.567200474663,2455.372977171057,4.659238527251201
4,4000027,S,2455.372977171057,2499.054989031345,4.672439610904071
4,4000028,S,2499.054989031345,2541.83009609297,4.771503253187905
4,4000029,S,2541.83009609297,2587.0814982758566,4.510392002331924
4,4000030,S,2587.0814982758566,2629.9390000283092,4.762329910849643
4,4000031,S,2629.9390000283092,2673.002533307801,4.739545201164566
4,4000032,S,2673.002533307801,2715.901236245667,4.757756028093043
4,4000033,S,2715.901236245667,2759.6245004913253,4.668031219106881
4,4000034,S,2759.6245004913253,2802.646822345414,4.744085249332251
4,4000035,S,2802.646822345414,2845.875226926495,4.721468776789347
4,4000036,S,2845.875226926495,2888.815133609769,4.753190639315
4,4000037,S,2888.815133609769,2933.570539489003,4.56037786922859
4,4000038,S,2933.570539489003,2978.2846289829176,4.564591716169751
4,4000039,S,2978.2846289829176,3021.7191802909438,4.699059996097711
4,4000040,L,3021.7191802909438,3509.1365392159037,4.666072600875801
4,4000041,S,3509.1365392159037,3552.2825030261934,4.7304902817194545
4,4000042,S,3552.2825030261934,3595.6345879634478,4.7079987685806275
4,4000043,L,3595.6345879634478,4000.0,4.663235402616974
5,5000033,L,2000.0,2336.8323279437345,4.663235402616974
5,5000034,S,2336.8323279437345,2379.4838621691006,4.785327566918411
5,5000035,S,2379.4838621691006,2423.8675127403976,4.598575373428021
5,5000036,S,2423.8675127403976,2467.9621636542934,4.628714782175057
5,5000037,S,2467.9621636542934,2511.891728226771,4.646109390937768
5,5000038,S,2511.891728226771,2555.1613570332474,4.7169704970858115
5,5000039,S,2555.1613570332474,2599.1734596564374,4.637396314541255
5,5000040,S,2599.1734596564374,2643.9288655356713,4.56037786922859
5,5000041,S,2643.9288655356713,2688.188643750952,4.611445667604704
5,5000042,S,2688.188643750952,2733.4400459338385,4.510392002331924
5,5000043,S,2733.4400459338385,2777.493421422382,4.633051616057709
5,5000044,S,2777.493421422382,2819.980227706036,4.8038810245550625
5,5000045,S,2819.980227706036,2862.755334767661,4.771503253187905
5,5000046,S,2862.755334767661,2905.818868047153,4.739545201164566
5,5000047,S,2905.818868047153,2949.58338723818,4.663630865201944
5,5000048,S,2949.58338723818,2994.4214335680435,4.551972692977548
5,5000049,S,2994.4214335680435,3038.2272102644374,4.659238527251201
5,5000050,S,3038.2272102644374,3082.941299758352,4.564591716169751
5,5000051,S,3082.941299758352,3126.788336520108,4.654854183396355
5,5000052,L,3126.788336520108,3600.8857305000834,4.666072600875801
5,5000053,S,3600.8857305000834,3643.2490177074374,4.817887750329673
5,5000054,S,3643.2490177074374,3686.6835690154635,4.699059996097711
5,5000055,S,3686.6835690154635,3729.705890869552,4.744085249332251
5,5000056,S,3729.705890869552,3773.305405639095,4.681280596328437
5,5000057,S,3773.305405639095,3818.1847760342694,4.547781323642249
5,5000058,S,3818.1847760342694,3861.4131806153505,4.721468776789347
5,5000059,S,3861.4131806153505,3906.3338776358337,4.543597406935284
5,5000060,L,3906.3338776358337,4000.0,4.660401626477452
6,6000025,S,2000.0,2005.8217281717218,4.641748899012977
6,6000026,S,2005.8217281717218,2048.2261858445104,4.813210065671312
6,6000027,S,2048.2261858445104,2091.1660925277843,4.753190639315
