start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,6230.284463053659,initial,A,113.75193405761718,8,8
0.0,6230.284463053659,initial,B,179.9528645263672,24,24
0.0,6230.284463053659,A,A,79.53983328900082,109,29
0.0,6230.284463053659,A,B,74.17497246396032,261,29
0.0,6230.284463053659,B,A,0.0,267,0
0.0,6230.284463053659,B,B,0.0,483,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,27.73469069974226,50,13
2000.0,4000.0,A,B,20.55707994868044,91,10
2000.0,4000.0,B,A,0.0,91,0
2000.0,4000.0,B,B,0.0,158,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,49.950084272940785,86,21
2000.0,6000.0,A,B,37.02876592836765,178,19
2000.0,6000.0,B,A,0.0,175,0
2000.0,6000.0,B,B,0.0,324,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,22.215393573198526,36,8
4000.0,6000.0,A,B,16.47168597968721,87,9
4000.0,6000.0,B,A,0.0,84,0
4000.0,6000.0,B,B,0.0,166,0
