start_ms,end_ms,fleet_current_gib_s,ssu0_current_gib_s,fleet_continuing_gib_s,ssu0_continuing_gib_s,fleet_boundary_gib_s,ssu0_boundary_gib_s,fleet_total_prefetch_gib_s,ssu0_total_prefetch_gib_s,max_npu_total_link_gib_s,max_npu_continuing_link_gib_s,max_npu_boundary_link_gib_s,boundary_overdue_layers,continuing_overdue_layers,cold_initial_layers
0.0,9.005938172340393,34.15389458194736,34.15389458194736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.005938172340393,9.01013433933258,34.15389458194736,34.15389458194736,4.267210591771034,4.267210591771034,0.0,0.0,4.267210591771034,4.267210591771034,4.267210591771034,4.267210591771034,0.0,0.0,0.0,7.0
9.01013433933258,9.203158020973206,34.15389458194736,34.15389458194736,8.623545117433027,8.623545117433027,0.0,0.0,8.623545117433027,8.623545117433027,4.3563345256619925,4.3563345256619925,0.0,0.0,0.0,6.0
9.203158020973206,9.215746521949768,34.15389458194736,34.15389458194736,12.964128807319568,12.964128807319568,0.0,0.0,12.964128807319568,12.964128807319568,4.3563345256619925,4.3563345256619925,0.0,0.0,0.0,5.0
9.215746521949768,9.219942688941956,34.15389458194736,34.15389458194736,17.36836917959586,17.36836917959586,0.0,0.0,17.36836917959586,17.36836917959586,4.404240372276292,4.404240372276292,0.0,0.0,0.0,4.0
9.219942688941956,9.224138855934143,34.15389458194736,34.15389458194736,21.59789390265975,21.59789390265975,0.0,0.0,21.59789390265975,21.59789390265975,4.404240372276292,4.404240372276292,0.0,0.0,0.0,3.0
9.224138855934143,9.22833502292633,34.15389458194736,34.15389458194736,25.994081089052216,25.994081089052216,0.0,0.0,25.994081089052216,25.994081089052216,4.404240372276292,4.404240372276292,0.0,0.0,0.0,2.0
9.22833502292633,13.185484409332275,34.15389458194736,34.15389458194736,30.386252094366476,30.386252094366476,0.0,0.0,30.386252094366476,30.386252094366476,4.404240372276292,4.404240372276292,0.0,0.0,0.0,1.0
13.185484409332275,14.831676305322759,34.15389458194736,34.15389458194736,34.15389458194736,34.15389458194736,0.0,0.0,34.15389458194736,34.15389458194736,4.404240372276292,4.404240372276292,0.0,0.0,0.0,0.0
14.831676305322759,14.941999626074244,34.15389458194736,34.15389458194736,34.15389458194736,34.15389458194736,0.0,0.0,34.15389458194736,34.15389458194736,4.404240372276292,4.404240372276292,0.0,0.0,0.0,0.0
14.941999626074244,14.977539189986727,34.15389458194736,34.15389458194736,34.15389458194736,34.15389458194736,0.0,0.0,34.15389458194736,34.15389458194736,4.404240372276292,4.404240372276292,0.0,0.0,0.0,0.0
14.977539189986727,14.995889740296638,34.15389458194736,34.15389458194736,29.74965420967107,29.74965420967107,0.0,0.0,29.74965420967107,29.74965420967107,4.396187186392467,4.396187186392467,0.0,0.0,1.0,0.0
14.995889740296638,15.005065015451594,34.15389458194736,34.15389458194736,25.353467023278604,25.353467023278604,0.0,0.0,25.353467023278604,25.353467023278604,4.392171005314261,4.392171005314261,0.0,0.0,2.0,0.0
15.005065015451594,15.044616419614458,34.15389458194736,34.15389458194736,20.961296017964344,20.961296017964344,0.0,0.0,20.961296017964344,20.961296017964344,4.3563345256619925,4.3563345256619925,0.0,0.0,3.0,0.0
15.044616419614458,15.20579522430349,34.15389458194736,34.15389458194736,16.620712328077804,16.620712328077804,0.0,0.0,16.620712328077804,16.620712328077804,4.3563345256619925,4.3563345256619925,0.0,0.0,4.0,0.0
15.20579522430349,18.053333163261414,34.15389458194736,34.15389458194736,12.391187605013915,12.391187605013915,0.0,0.0,12.391187605013915,12.391187605013915,4.3563345256619925,4.3563345256619925,0.0,0.0,5.0,0.0
18.053333163261414,20.653218271312937,34.15389458194736,34.15389458194736,16.731771294900454,16.731771294900454,0.0,0.0,16.731771294900454,16.731771294900454,4.3563345256619925,4.3563345256619925,0.0,0.0,4.0,0.0
20.653218271312937,20.878061079808095,34.15389458194736,34.15389458194736,16.731771294900454,16.731771294900454,0.0,0.0,16.731771294900454,16.731771294900454,4.3563345256619925,4.3563345256619925,0.0,0.0,4.0,0.0
20.878061079808095,21.83437466621399,34.15389458194736,34.15389458194736,12.46456070312942,12.46456070312942,0.0,0.0,12.46456070312942,12.46456070312942,4.3563345256619925,4.3563345256619925,0.0,0.0,5.0,0.0
21.83437466621399,23.894791561902665,34.15389458194736,34.15389458194736,16.731771294900454,16.731771294900454,0.0,0.0,16.731771294900454,16.731771294900454,4.3563345256619925,4.3563345256619925,0.0,0.0,4.0,0.0
23.894791561902665,25.33522367477417,34.15389458194736,34.15389458194736,16.731771294900454,16.731771294900454,0.0,0.0,16.731771294900454,16.731771294900454,4.3563345256619925,4.3563345256619925,0.0,0.0,4.0,0.0
25.33522367477417,26.2724769115448,34.15389458194736,34.15389458194736,21.136011667176746,21.136011667176746,0.0,0.0,21.136011667176746,21.136011667176746,4.40424037227629,4.40424037227629,0.0,0.0,3.0,0.0
26.2724769115448,26.474760237303116,34.15389458194736,34.15389458194736,25.365536390240635,25.365536390240635,0.0,0.0,25.365536390240635,25.365536390240635,4.40424037227629,4.40424037227629,0.0,0.0,2.0,0.0
26.474760237303116,26.482285261154175,34.15389458194736,34.15389458194736,25.365536390240635,25.365536390240635,0.0,0.0,25.365536390240635,25.365536390240635,4.40424037227629,4.40424037227629,0.0,0.0,2.0,0.0
26.482285261154175,26.717270612716675,34.15389458194736,34.15389458194736,29.761723576633102,29.761723576633102,0.0,0.0,29.761723576633102,29.761723576633102,4.40424037227629,4.40424037227629,0.0,0.0,1.0,0.0
26.717270612716675,27.77043611994784,34.15389458194736,34.15389458194736,34.15389458194736,34.15389458194736,0.0,0.0,34.15389458194736,34.15389458194736,4.40424037227629,4.40424037227629,0.0,0.0,0.0,0.0
27.77043611994784,29.736249960543915,34.15389458194736,34.15389458194736,34.15389458194736,34.15389458194736,0.0,0.0,34.15389458194736,34.15389458194736,4.40424037227629,4.40424037227629,0.0,0.0,0.0,0.0
29.736249960543915,31.09701634281113,34.15389458194736,34.15389458194736,34.15389458194736,34.15389458194736,0.0,0.0,34.15389458194736,34.15389458194736,4.40424037227629,4.40424037227629,0.0,0.0,0.0,0.0
31.09701634281113,32.25403614551667,34.15389458194736,34.15389458194736,34.15389458194736,34.15389458194736,0.0,0.0,34.15389458194736,34.15389458194736,4.40424037227629,4.40424037227629,0.0,0.0,0.0,0.0
