policy,role,ratio,cdf_percent,count
fifo,all,1.0,16.836734693877553,392
fifo,all,1.0002944468862243,17.091836734693878,392
fifo,all,1.000933937740696,17.346938775510203,392
fifo,all,1.0011473187955306,17.602040816326532,392
fifo,all,1.0011784405573942,17.857142857142858,392
fifo,all,1.001208213102898,18.112244897959183,392
fifo,all,1.0012135307155932,18.367346938775512,392
fifo,all,1.0012317782293672,18.622448979591837,392
fifo,all,1.0012507558390815,18.877551020408163,392
fifo,all,1.001276471261811,19.132653061224488,392
fifo,all,1.0012813036877473,19.387755102040817,392
fifo,all,1.0013634302868066,19.642857142857142,392
fifo,all,1.0014323505613618,19.897959183673468,392
fifo,all,1.0014940403165056,20.153061224489797,392
fifo,all,1.0015214127557337,20.408163265306122,392
fifo,all,1.0015310378040005,20.663265306122447,392
fifo,all,1.001545535667519,20.918367346938776,392
fifo,all,1.0015837242375412,21.1734693877551,392
fifo,all,1.0015936661453064,21.428571428571427,392
fifo,all,1.0017974995624612,21.683673469387756,392
fifo,all,1.0018185408226132,21.93877551020408,392
fifo,all,1.0018540416198898,22.193877551020407,392
fifo,all,1.0019022019931347,22.448979591836736,392
fifo,all,1.001909803388949,22.70408163265306,392
fifo,all,1.0019526317085343,22.959183673469386,392
fifo,all,1.0019838505210683,23.214285714285715,392
fifo,all,1.002306941304952,23.46938775510204,392
fifo,all,1.0024690533079772,23.724489795918366,392
fifo,all,1.0025140526217935,23.979591836734695,392
fifo,all,1.0026642532869827,24.23469387755102,392
fifo,all,1.002665585636814,24.489795918367346,392
fifo,all,1.002681866546581,24.744897959183675,392
fifo,all,1.0029927980870226,25.0,392
fifo,all,1.00349422017098,25.255102040816325,392
fifo,all,1.003496547311594,25.510204081632654,392
fifo,all,1.0035037074818691,25.76530612244898,392
fifo,all,1.0035883031486748,26.020408163265305,392
fifo,all,1.0036095070220667,26.275510204081634,392
fifo,all,1.0036760938586937,26.53061224489796,392
fifo,all,1.0037250991410924,26.785714285714285,392
fifo,all,1.0043799473344297,27.040816326530614,392
fifo,all,1.004775286750049,27.29591836734694,392
fifo,all,1.004936231591521,27.551020408163264,392
fifo,all,1.0050078540150038,27.806122448979593,392
fifo,all,1.0061407205226585,28.06122448979592,392
fifo,all,1.0070343899457905,28.316326530612244,392
fifo,all,1.0073393700575968,28.571428571428573,392
fifo,all,1.007384061671379,28.8265306122449,392
fifo,all,1.0075379857075153,29.081632653061224,392
fifo,all,1.0081612702583926,29.336734693877553,392
fifo,all,1.0081786832606436,29.591836734693878,392
fifo,all,1.0083037002505433,29.846938775510203,392
fifo,all,1.008750138370044,30.102040816326532,392
fifo,all,1.008877402342595,30.357142857142858,392
fifo,all,1.0089364604675886,30.612244897959183,392
fifo,all,1.0103447072456042,30.867346938775512,392
fifo,all,1.0109439469477206,31.122448979591837,392
fifo,all,1.0110149834116817,31.377551020408163,392
fifo,all,1.0110934733757264,31.632653061224488,392
fifo,all,1.0120454782435557,31.887755102040817,392
fifo,all,1.012295912195142,32.142857142857146,392
fifo,all,1.0123803436848855,32.39795918367347,392
fifo,all,1.0126916504206531,32.6530612244898,392
fifo,all,1.0128655309037229,32.90816326530612,392
fifo,all,1.0130514791384515,33.16326530612245,392
fifo,all,1.01319843763278,33.41836734693877,392
fifo,all,1.0132849506049826,33.673469387755105,392
fifo,all,1.0133540316173275,33.92857142857143,392
fifo,all,1.014115547474751,34.183673469387756,392
fifo,all,1.0142713173000821,34.43877551020408,392
fifo,all,1.0143483831984532,34.69387755102041,392
fifo,all,1.015098195390225,34.94897959183673,392
fifo,all,1.016243033788026,35.204081632653065,392
fifo,all,1.0173450204823196,35.45918367346939,392
fifo,all,1.0178633166799915,35.714285714285715,392
fifo,all,1.0179150505397339,35.96938775510204,392
