start_ms,end_ms,fleet_current_gib_s,ssu0_current_gib_s,fleet_continuing_gib_s,ssu0_continuing_gib_s,fleet_boundary_gib_s,ssu0_boundary_gib_s,fleet_total_prefetch_gib_s,ssu0_total_prefetch_gib_s,max_npu_total_link_gib_s,max_npu_continuing_link_gib_s,max_npu_boundary_link_gib_s,boundary_overdue_layers,continuing_overdue_layers,cold_initial_layers
0.0,5.0423043966293335,34.15389458194736,34.15389458194736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
5.0423043966293335,5.068628787994385,34.15389458194736,34.15389458194736,4.267210591771034,4.267210591771034,0.0,0.0,4.267210591771034,4.267210591771034,4.267210591771034,4.267210591771034,0.0,0.0,0.0,7.0
5.068628787994385,5.068786144256592,34.15389458194736,34.15389458194736,8.623545117433027,8.623545117433027,0.0,0.0,8.623545117433027,8.623545117433027,4.3563345256619925,4.3563345256619925,0.0,0.0,0.0,6.0
5.068786144256592,5.069815516471863,34.15389458194736,34.15389458194736,12.964128807319568,12.964128807319568,0.0,0.0,12.964128807319568,12.964128807319568,4.3563345256619925,4.3563345256619925,0.0,0.0,0.0,5.0
5.069815516471863,5.070562958717346,34.15389458194736,34.15389458194736,17.35629981263383,17.35629981263383,0.0,0.0,17.35629981263383,17.35629981263383,4.392171005314261,4.392171005314261,0.0,0.0,0.0,4.0
5.070562958717346,5.0707268714904785,34.15389458194736,34.15389458194736,21.752486999026296,21.752486999026296,0.0,0.0,21.752486999026296,21.752486999026296,4.396187186392467,4.396187186392467,0.0,0.0,0.0,3.0
5.0707268714904785,5.071402192115784,34.15389458194736,34.15389458194736,25.982011722090185,25.982011722090185,0.0,0.0,25.982011722090185,25.982011722090185,4.396187186392467,4.396187186392467,0.0,0.0,0.0,2.0
5.071402192115784,10.833194860152743,34.15389458194736,34.15389458194736,30.386252094366476,30.386252094366476,0.0,0.0,30.386252094366476,30.386252094366476,4.404240372276292,4.404240372276292,0.0,0.0,0.0,1.0
10.833194860152743,10.842313843079841,34.15389458194736,34.15389458194736,25.982011722090185,25.982011722090185,0.0,0.0,25.982011722090185,25.982011722090185,4.396187186392467,4.396187186392467,0.0,0.0,1.0,1.0
10.842313843079841,10.846545508997126,34.15389458194736,34.15389458194736,21.585824535697718,21.585824535697718,0.0,0.0,21.585824535697718,21.585824535697718,4.392171005314261,4.392171005314261,0.0,0.0,2.0,1.0
10.846545508997126,10.890170753984563,34.15389458194736,34.15389458194736,17.193653530383457,17.193653530383457,0.0,0.0,17.193653530383457,17.193653530383457,4.3563345256619925,4.3563345256619925,0.0,0.0,3.0,1.0
10.890170753984563,10.910244542897845,34.15389458194736,34.15389458194736,12.837319004721465,12.837319004721465,0.0,0.0,12.837319004721465,12.837319004721465,4.34058368988654,4.34058368988654,0.0,0.0,4.0,1.0
10.910244542897845,10.978365850363184,34.15389458194736,34.15389458194736,8.496735314834925,8.496735314834925,0.0,0.0,8.496735314834925,8.496735314834925,4.267210591771034,4.267210591771034,0.0,0.0,5.0,1.0
10.978365850363184,11.056579406852013,34.15389458194736,34.15389458194736,4.229524723063891,4.229524723063891,0.0,0.0,4.229524723063891,4.229524723063891,4.229524723063888,4.229524723063888,0.0,0.0,6.0,1.0
11.056579406852013,11.087368130683899,34.15389458194736,34.15389458194736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
11.087368130683899,11.720373034477234,34.15389458194736,34.15389458194736,3.767642487580887,3.767642487580887,0.0,0.0,3.767642487580887,3.767642487580887,3.767642487580887,3.767642487580887,0.0,0.0,7.0,0.0
11.720373034477234,15.192438960075378,34.15389458194736,34.15389458194736,8.034853079351922,8.034853079351922,0.0,0.0,8.034853079351922,8.034853079351922,4.267210591771036,4.267210591771036,0.0,0.0,6.0,0.0
15.192438960075378,15.21777331829071,34.15389458194736,34.15389458194736,12.391187605013915,12.391187605013915,0.0,0.0,12.391187605013915,12.391187605013915,4.3563345256619925,4.3563345256619925,0.0,0.0,5.0,0.0
