configuration,policy,npu_id,request_id,input_order_1based,role,qos_category,total_tokens,total_length_k,nql_tokens,hit_prefix_tokens,per_layer_read_gib,per_layer_read_mib,per_layer_compute_ms,bandwidth_demand_gib_s,n_layers,num_ssu,arrival_ms,admission_ms,completion_ms,ttft_admission_ms,ttft_arrival_ms,ideal_compute_ms,slo_1p5_ms,ttft_over_ideal,slo_1p5_passed,admitted_in_warm,active_in_warm,computed_in_warm,full_stall_ms,full_active_utilization_percent,warm_active_ms,warm_compute_ms,warm_stall_ms,warm_active_utilization_percent,compute_method,compute_extrapolated,compute_scale,input_fingerprint
sensitivity20k_076_seed7,once,0,0,1,S,SL,20480,20.0,1140,19340,0.025360584259033203,25.96923828125,5.821541965990178,4.356334525661992,8,1,0.0,0.0,55.58247006725401,55.58247006725401,55.58247006725401,46.57233572792143,69.85850359188214,1.1934653737783383,True,False,False,False,9.01013433933258,83.78961149364099,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,once,0,1,2,L,LL,204800,200.0,2053,202747,0.2658625841140747,272.2432861328125,70.91288952679844,3.7491432923996637,8,1,0.0,55.58247006725401,633.1057818736103,577.5233118063563,633.1057818736103,567.3031162143876,850.9546743215815,1.0180154053447972,True,False,False,False,10.220195591968718,98.23034059698779,0.0,0.0,0.0,,bilinear_interpolation_length_nql,False,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,once,0,2,3,S,SL,20480,20.0,1155,19325,0.025340914726257324,25.9490966796875,5.896228588431703,4.297817553406215,8,1,0.0,633.1057818736103,680.2756105810636,47.169828707453235,680.2756105810636,47.169828707453235,70.75474306117985,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,once,0,3,4,S,SL,20480,20.0,1134,19346,0.025368452072143555,25.977294921875,5.7916673170135695,4.380163894708064,8,1,0.0,680.2756105810636,726.608949117172,46.333338536108386,726.608949117172,46.333338536108386,69.50000780416258,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,once,0,4,5,S,SL,20480,20.0,1129,19351,0.025375008583068848,25.9840087890625,5.766771776199728,4.400210302719981,8,1,0.0,726.608949117172,772.7431233267694,46.134174209597404,772.7431233267694,46.134174209597404,69.2012613143961,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,once,0,5,6,L,LL,204800,200.0,2047,202753,0.26587045192718506,272.2513427734375,70.70606754144755,3.7602211687325573,8,1,0.0,772.7431233267694,1349.1613617309365,576.4182384041671,1349.1613617309365,565.6485403315801,848.4728104973701,1.019039557790203,True,False,False,False,10.769698072587062,98.13161739947658,0.0,0.0,0.0,,bilinear_interpolation_length_nql,False,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,once,0,6,7,S,SL,20480,20.0,1154,19326,0.025342226028442383,25.950439453125,5.891249480268936,4.3016725252120045,8,1,0.0,1349.1613617309365,1396.291357573088,47.1299958421514,1396.291357573088,47.1299958421514,70.6949937632271,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,once,0,7,8,S,SL,20480,20.0,1170,19310,0.025321245193481445,25.928955078125,5.970915210873229,4.240764489063694,8,1,0.0,1396.291357573088,1444.058679260074,47.76732168698618,1444.058679260074,47.76732168698618,71.65098253047927,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,once,0,8,9,S,SL,20480,20.0,1150,19330,0.025347471237182617,25.955810546875,5.8713330476178625,4.3171577956162235,8,1,0.0,1444.058679260074,1491.0293436410163,46.97066438094225,1491.0293436410163,46.97066438094225,70.45599657141338,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,once,0,9,10,S,SL,20480,20.0,1132,19348,0.025371074676513672,25.97998046875,5.781709100688032,4.388161741567813,8,1,0.0,1491.0293436410163,1537.2830164465202,46.25367280550381,1537.2830164465202,46.25367280550381,69.38050920825572,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
