configuration,policy,npu_id,request_id,input_order_1based,role,qos_category,total_tokens,total_length_k,nql_tokens,hit_prefix_tokens,per_layer_read_gib,per_layer_read_mib,per_layer_compute_ms,bandwidth_demand_gib_s,n_layers,num_ssu,arrival_ms,admission_ms,completion_ms,ttft_admission_ms,ttft_arrival_ms,ideal_compute_ms,slo_1p5_ms,ttft_over_ideal,slo_1p5_passed,admitted_in_warm,active_in_warm,computed_in_warm,full_stall_ms,full_active_utilization_percent,warm_active_ms,warm_compute_ms,warm_stall_ms,warm_active_utilization_percent,compute_method,compute_extrapolated,compute_scale,input_fingerprint
sensitivity20k_076_seed7,fifo,0,11,12,S,SL,20480,20.0,1145,19335,0.02535402774810791,25.9625244140625,5.846437506804022,4.336662748656966,8,1,0.0,2127.2369717527404,2174.618909064405,47.38193731166484,2174.618909064405,46.77150005443036,70.15725008164554,1.0130514791384515,True,True,True,True,0.6104372572344801,98.71166674081054,47.38193731166484,46.77150005443036,0.6104372572344801,98.71166674081054,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,12,13,S,SL,20480,20.0,1136,19344,0.025365829467773438,25.974609375,5.801625533339106,4.372193503701405,8,1,0.0,2174.618909064405,2226.4128805403207,51.79397147591544,2226.4128805403207,46.41300426671296,69.61950640006944,1.1159366279821208,True,True,True,True,5.380967209202481,89.61082331424485,51.79397147591544,46.41300426671296,5.380967209202481,89.61082331424485,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,13,14,S,SL,20480,20.0,1169,19311,0.025322556495666504,25.9302978515625,5.96593610271046,4.244523585185885,8,1,0.0,2226.4128805403207,2275.1189212218037,48.706040681483046,2275.1189212218037,47.727488821685256,71.59123323252788,1.0205028985173252,True,True,True,True,0.9785518597977898,97.99090247101564,48.706040681483046,47.727488821685256,0.9785518597977898,97.99090247101564,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,14,15,S,SL,20480,20.0,1138,19342,0.02536320686340332,25.971923828125,5.811583749664643,4.3642504274100675,8,1,0.0,2275.1189212218037,2323.5397089352364,48.420787713432674,2323.5397089352364,46.492669997318444,69.73900499597767,1.0414714344481708,True,True,True,True,1.9281177161142296,96.01799597411477,48.420787713432674,46.492669997318444,1.9281177161142296,96.01799597411477,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,15,16,S,SL,20480,20.0,1162,19318,0.025331735610961914,25.939697265625,5.931082345571082,4.271013979409321,8,1,0.0,2323.5397089352364,2385.544473313592,62.0047643783555,2385.544473313592,47.4486587645697,71.17298814685455,1.306775913013899,True,True,True,True,14.556105613785803,76.52421429268907,62.0047643783555,47.4486587645697,14.556105613785803,76.52421429268907,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,16,17,S,SL,20480,20.0,1137,19343,0.02536451816558838,25.9732666015625,5.806604641501874,4.368218559999613,8,1,0.0,2385.544473313592,2433.4047089144465,47.860235600854594,2433.4047089144465,46.4528371320157,69.67925569802355,1.0302973629972085,True,True,True,True,1.4073984688388919,97.05935741608894,47.860235600854594,46.4528371320157,1.4073984688388919,97.05935741608894,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,17,18,S,SL,20480,20.0,1133,19347,0.025369763374328613,25.9786376953125,5.7866882088508,4.384159377297242,8,1,0.0,2433.4047089144465,2497.9909164366454,64.58620752219895,2497.9909164366454,46.293505670804734,69.4402585062071,1.39514617841808,True,True,True,True,18.292701851394213,71.67707695933869,64.58620752219895,46.293505670804734,18.292701851394213,71.67707695933869,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,18,19,S,SL,20480,20.0,1127,19353,0.025377631187438965,25.9866943359375,5.756813559874192,4.408277413103085,8,1,0.0,2497.9909164366454,2547.777398624766,49.78648218812077,2547.777398624766,46.05450847899192,69.08176271848788,1.0810338408199758,True,True,True,True,3.7319737091288516,92.50404217147258,49.78648218812077,46.05450847899192,3.7319737091288516,92.50404217147258,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,19,20,S,SL,20480,20.0,1178,19302,0.025310754776000977,25.918212890625,6.010748076175374,4.210915921817531,8,1,0.0,2547.777398624766,2599.6716647994085,51.894266174642325,2599.6716647994085,48.08598460940266,72.12897691410399,1.0791973294541837,True,True,True,True,3.8082815652396675,92.66145983754068,51.894266174642325,48.08598460940266,3.8082815652396675,92.66145983754068,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,20,21,L,LL,204800,200.0,2043,202757,0.2658756971359253,272.2567138671875,70.56818634260537,3.767642487580887,8,1,0.0,2599.6716647994085,3170.0572133687906,570.3855485693821,3170.0572133687906,564.5454907408421,846.8182361112631,1.0103447072456042,True,True,True,True,5.8400578285400115,98.97612100390906,570.3855485693821,564.5454907408421,5.8400578285400115,98.97612100390906,bilinear_interpolation_length_nql,False,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,21,22,S,SL,20480,20.0,1142,19338,0.025357961654663086,25.966552734375,5.831500182315715,4.34844565924258,8,1,0.0,3170.0572133687906,3224.5501066454485,54.492893276657924,3224.5501066454485,46.652001458525774,69.97800218778866,1.1680719277414668,True,True,True,True,7.84089181813215,85.61116625185545,54.492893276657924,46.652001458525774,7.84089181813215,85.61116625185545,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,22,23,L,LL,204800,200.0,2045,202755,0.2658730745315552,272.2540283203125,70.63712694202647,3.7639282066180773,8,1,0.0,3224.5501066454485,3795.916010878214,571.3659042327654,3795.916010878214,565.097015536212,847.645523304318,1.0110934733757264,True,True,True,True,6.268888696553404,98.90282415346934,571.3659042327654,565.097015536212,6.268888696553404,98.90282415346934,bilinear_interpolation_length_nql,False,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,23,24,S,SL,20480,20.0,1144,19336,0.02535533905029297,25.9638671875,5.841458398641253,4.34058368988654,8,1,0.0,3795.916010878214,3855.1058362967146,59.18982541850073,3855.1058362967146,46.73166718913126,70.09750078369689,1.2665892098167422,True,True,True,True,12.458158229369474,78.9521963592826,59.18982541850073,46.73166718913126,12.458158229369474,78.9521963592826,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,24,25,S,SL,20480,20.0,1146,19334,0.02535271644592285,25.961181640625,5.851416614966789,4.332748480269807,8,1,0.0,3855.1058362967146,3921.384949192743,66.27911289602844,3921.384949192743,46.811332919733104,70.21699937959966,1.415877497222233,True,True,True,True,19.467779976295333,70.62757914875189,66.27911289602844,46.811332919733104,19.467779976295333,70.62757914875189,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,25,26,S,SL,20480,20.0,1173,19307,0.02531731128692627,25.9249267578125,5.985852535361533,4.229524723063889,8,1,0.0,3921.384949192743,3971.5918991189715,50.20694992622839,3971.5918991189715,47.886820282892586,71.83023042433888,1.048450275663107,True,True,True,True,2.320129643335804,95.378867573623,50.20694992622839,47.886820282892586,2.320129643335804,95.378867573623,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,26,27,S,SL,20480,20.0,1149,19331,0.025348782539367676,25.9571533203125,5.866353939455093,4.321045542254179,8,1,0.0,3971.5918991189715,4018.522730634613,46.93083151564133,4018.522730634613,46.93083151564133,70.396247273462,1.0,True,True,True,True,0.0,100.0,28.40810088102853,28.40810088102853,0.0,100.0,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,27,28,S,SL,20480,20.0,1161,19319,0.025333046913146973,25.9410400390625,5.926103237408314,4.274823758255345,8,1,0.0,4018.522730634613,4066.564655493879,48.041924859266146,4066.564655493879,47.40882589926696,71.11323884890044,1.0133540316173275,True,False,False,False,0.6330989599991881,98.68219484990706,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,28,29,S,SL,20480,20.0,1147,19333,0.025351405143737793,25.9598388671875,5.856395723129558,4.3288408677053045,8,1,0.0,4066.564655493879,4125.603557900887,59.038902407007754,4125.603557900887,46.851165785037665,70.2767486775565,1.2601373182022795,True,False,False,False,12.187736621970089,79.35643088696135,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,29,30,S,SL,20480,20.0,1160,19320,0.02533435821533203,25.9423828125,5.921124129245545,4.278639944432321,8,1,0.0,4125.603557900887,4175.42514949467,49.82159159378352,4175.42514949467,47.368993033967854,71.05348955095178,1.0517764554981555,True,False,False,False,2.4525985598156694,95.07723763662,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,30,31,S,SL,20480,20.0,1168,19312,0.025323867797851562,25.931640625,5.960956994547693,4.248288961154147,8,1,0.0,4175.42514949467,4240.886458493347,65.46130899867694,4240.886458493347,47.687655956382514,71.53148393457377,1.3727097230056995,True,False,False,False,17.773653042294427,72.8486134570672,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,31,32,L,LL,204800,200.0,2054,202746,0.26586127281188965,272.241943359375,70.9473598639265,3.7473032586666837,8,1,0.0,4240.886458493347,4809.154111807837,568.2676533144895,4809.154111807837,567.5788789114085,851.3683183671128,1.0012135307155932,True,False,False,False,0.6887744030809699,99.87879401562563,0.0,0.0,0.0,,bilinear_interpolation_length_nql,False,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,32,33,S,SL,20480,20.0,1157,19323,0.025338292121887207,25.9464111328125,5.90618680475724,4.290127108996627,8,1,0.0,4809.154111807837,4866.646149731269,57.49203792343269,4866.646149731269,47.24949443805963,70.87424165708944,1.2167757265382009,True,False,False,False,10.242543485373062,82.18441395482627,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,33,34,S,SL,20480,20.0,1128,19352,0.025376319885253906,25.9853515625,5.761792668036959,4.404240372276292,8,1,0.0,4866.646149731269,4916.995158183583,50.34900845231368,4916.995158183583,46.09434134429466,69.141512016442,1.0923034581672277,True,False,False,False,4.254667108019021,91.54965065091862,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
