case,group_type,group,input_count,categories,mean_C_ms_per_layer,min_C_ms_per_layer,max_C_ms_per_layer,mean_C_ms_per_8_layer_request,mean_V_MiB_per_layer,min_V_MiB_per_layer,max_V_MiB_per_layer,mean_V_MiB_per_8_layer_request,demand_GiBps_ratio_of_sums,min_request_demand_GiBps,max_request_demand_GiBps,total_input_compute_NPU_ms,total_input_read_GiB
high,profile_id,P1,128,SS,1.1780259589150035,1.1780259589150035,1.1780259589150035,9.424207671320028,43.828125,43.828125,43.828125,350.625,36.332733584014896,36.332733584014896,36.332733584014896,1206.2985819289636,43.828125
high,profile_id,P2,64,SS,1.9974796959734433,1.9974796959734433,1.9974796959734433,15.979837567787547,43.65625,43.65625,43.65625,349.25,21.343424279388426,21.343424279388426,21.343424279388426,1022.709604338403,21.828125
high,profile_id,P3,64,SL,6.386487182261469,6.386487182261469,6.386487182261469,51.09189745809175,87.3125,87.3125,87.3125,698.5,13.351019245458986,13.351019245458986,13.351019245458986,3269.881437317872,43.65625
high,profile_id,P4,64,LL,9.070841799535495,9.070841799535495,9.070841799535495,72.56673439628396,131.3125,131.3125,131.3125,1050.5,14.1370410944458,14.1370410944458,14.1370410944458,4644.271001362174,65.65625
high,profile_id,P5,128,LL,17.12390630166978,17.12390630166978,17.12390630166978,136.99125041335824,263.3125,263.3125,263.3125,2106.5,15.0164984993042,15.0164984993042,15.0164984993042,17534.880052909855,263.3125
high,profile_id,P6,96,LL,34.100781654707006,34.100781654707006,34.100781654707006,272.80625323765605,262.625,262.625,262.625,2101.0,7.52093395275879,7.52093395275879,7.52093395275879,26189.40031081498,196.96875
high,profile_id,P7,160,LL,68.05618615283375,68.05618615283375,68.05618615283375,544.44948922267,261.25,261.25,261.25,2090.0,3.748769473388672,3.748769473388672,3.748769473388672,87111.91827562719,326.5625
low4,profile_id,L,222,LL/LS,17.12906632785421,16.590792621298718,17.654433656452195,137.0325306228337,263.2308992952914,263.1285400390625,263.3299560546875,2105.8471943623313,15.007322651033283,14.563595783136055,15.493560671989115,30421.221798269078,456.541090965271
low4,profile_id,S,30737,SS,0.5288699986612104,0.509657622289839,0.5505504864426145,4.230959989289683,1.2033673693604208,1.095703125,1.310546875,9.626938954883366,2.2220270569626988,1.9540173719377918,2.499907172673222,130047.017190797,288.96799087524414
low5,profile_id,L,333,LL/LS,17.121936251151205,16.589840300946566,17.654433656452195,136.97549000920964,263.2296835409628,263.12451171875,263.3299560546875,2105.8374683277025,15.013502799117587,14.563595783136055,15.493560671989115,45612.83817306681,684.8084735870361
low5,profile_id,S,27189,SS,0.5288845477596917,0.509657622289839,0.5505504864426145,4.231076382077534,1.2033597841009922,1.095703125,1.310546875,9.626878272807938,2.221951925309564,1.9540173719377918,2.499907172673222,115038.73575230608,255.61054039001465
low6,profile_id,L,407,LL/LS,17.130141047358954,16.589046700653103,17.654433656452195,137.04112837887163,263.2281758076436,263.12451171875,263.3299560546875,2105.8254064611488,15.00622585222578,14.563568251232962,15.493560671989115,55775.73925020075,836.9833402633667
low6,profile_id,S,24826,SS,0.5288664211309871,0.509657622289839,0.5505504864426145,4.230931369047897,1.2033178756174223,1.095703125,1.310546875,9.626543004939379,2.2219506967272404,1.9540173719377918,2.499907172673222,105037.10216798309,233.38726234436035
