case,num_ssu,n_short,n_long,short_group_ideal_GiBps,long_group_ideal_GiBps,ideal_total_GiBps,disk_total_capacity_GiBps,hottest_disk_ideal_GiBps
low4,4,26,6,57.77270617083598,90.04434742239847,147.81705359323445,160,38.77590083939025
low5,5,23,9,51.104898333490176,135.12208761350072,186.2269859469909,200,39.84127407347445
low6,6,21,11,46.660969244073534,165.06926741597144,211.73023666004497,240,38.757172844896346
