short_family,role,num_ssu,n_npu,input_count,mean_C_ms_per_layer,mean_C_ms_per_request,mean_V_MiB_per_layer,demand_GiBps_ratio_of_sums,group_ideal_GiBps,warm_U,fleet_U
1k_nql64,short,4,28,37403,0.4680675689441192,3.7445405515529537,1.278091592622709,2.6665729559862426,74.66404502783992,0.7240098101242488,0.7585085838587178
1k_nql64,long,4,4,148,17.12344187668481,136.9875350134785,263.2340657002217,15.012432613526748,60.050074664503384,1.0,0.7585085838587178
1k_nql128,short,4,28,33100,0.5288913808149187,4.23113104651935,1.203335300226586,2.2218780107871594,62.21258839863953,0.7483721556496136,0.7798256361934117
1k_nql128,long,4,4,148,17.12344187668481,136.9875350134785,263.2340657002217,15.012432613526748,60.050074664503384,1.0,0.7798256361934117
1k_nql256,short,4,28,25072,0.6983093782593999,5.586475026075199,1.0307785404207757,1.4415095940552245,40.362266739523676,0.8120292029306172,0.83552555256429
1k_nql256,long,4,4,148,17.12344187668481,136.9875350134785,263.2340657002217,15.012432613526748,60.050074664503384,1.0,0.83552555256429
1k_nql512,short,4,28,15880,1.1027546143217428,8.822036914573943,0.6877122393783454,0.6090148932915453,17.0524149934291,0.9358391664610167,0.9438592706533897
1k_nql512,long,4,4,148,17.12344187668481,136.9875350134785,263.2340657002217,15.012432613526748,60.050074664503384,1.0,0.9438592706533897
32k_nql2048,short,4,28,1232,14.39009295323925,115.120743625914,41.33837127685547,2.805367785408702,78.55032297708719,1.0,1.0
32k_nql2048,long,4,4,148,17.12344187668481,136.9875350134785,263.2340657002217,15.012432613526748,60.050074664503384,1.0,1.0
