start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,6512.986586696192,initial,A,113.74679865722656,8,8
0.0,6512.986586696192,initial,B,180.0447802001953,24,24
0.0,6512.986586696192,A,A,1212.0393248852083,288,288
0.0,6512.986586696192,A,B,91.62478723004051,88,35
0.0,6512.986586696192,B,A,0.0,88,0
0.0,6512.986586696192,B,B,0.0,656,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,373.15351201707745,87,87
2000.0,4000.0,A,B,51.599752283858834,32,15
2000.0,4000.0,B,A,0.0,24,0
2000.0,4000.0,B,B,0.0,200,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,798.1141656815962,183,183
2000.0,6000.0,A,B,76.47752312387638,56,28
2000.0,6000.0,B,A,0.0,56,0
2000.0,6000.0,B,B,0.0,408,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,424.96065366451876,96,96
4000.0,6000.0,A,B,24.877770840017547,24,13
4000.0,6000.0,B,A,0.0,32,0
4000.0,6000.0,B,B,0.0,208,0
