case,label,block,start_s,end_s,duration_ms,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,ssd_busy_ssu_ms,ssd_served_gb,npu_link_busy_npu_ms,npu_link_served_gb,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms,request_weighted_slo_alpha2_pct,ssd_outstanding_blocks_start,ssd_outstanding_blocks_end,ssd_outstanding_blocks_delta,ssd_outstanding_gb_start,ssd_outstanding_gb_end,ssd_outstanding_gb_delta,npu_link_outstanding_blocks_start,npu_link_outstanding_blocks_end,npu_link_outstanding_blocks_delta,npu_link_outstanding_gb_start,npu_link_outstanding_gb_end,npu_link_outstanding_gb_delta,active_remaining_compute_inventory_supported,active_remaining_compute_ms
baseline,Baseline,40,20.0,20.5,500.0,63.21063286361864,95.32859588158318,9.532735914840691,10113.701258178982,1906.5719176316634,76.26287670526654,1525.2377463745106,76.26188731872554,28,11515.614321456507,76.73681640625,150.0663548575178,6.663718865894099,31.178828193123845,-1401.913063277525,42.857142857142854,9302,7148,-2154,1.561037252688841,1.1991844121683994,-0.36185284052044153,205,210,5,0.03428716331782462,0.034965457385263084,0.0006782940674384589,False,
baseline,Baseline,41,20.5,21.0,500.0,67.56746292422694,93.7076209485167,9.368664805092545,10810.794067876312,1874.152418970334,74.96609675881336,1498.986368814807,74.94931844074031,27,11304.56404777291,67.3897705078125,167.74896193573431,5.96128875231494,26.042049338979425,-493.76997989659867,44.44444444444444,7148,8240,1092,1.1991844121683994,1.3826619331401915,0.1834775209717919,210,311,101,0.034965457385263084,0.05184879887147238,0.016883341486209298,False,
baseline,Baseline,42,21.0,21.5,500.0,69.0404966943646,96.490363980447,9.652625883765495,11046.479471098337,1929.80727960894,77.1922911843576,1544.4201414024792,77.22100707012399,33,8893.162524663268,76.7677001953125,115.84510806025543,8.632216040403382,30.610964236427307,2153.3169464350685,45.45454545454545,8240,6822,-1418,1.3826619331401915,1.1446325285677472,-0.23802940457244404,311,140,-171,0.05184879887147238,0.02327794700923101,-0.02857085186224137,False,
baseline,Baseline,43,21.5,22.0,500.0,79.57064656033648,95.05439758300783,9.506830576477023,12731.303449653838,1901.0879516601562,76.04351806640602,1521.0928922363237,76.05464461181623,38,20486.738932716882,89.7764892578125,228.19714941051888,4.38217568704609,28.775569639300983,-7755.435483063044,63.1578947368421,6822,6321,-501,1.1446325285677472,1.0603811247591537,-0.08425140380859378,140,73,-67,0.02327794700923101,0.011991184314140854,-0.011286762695090154,False,
baseline,Baseline,44,22.0,22.5,500.0,83.11209579277133,94.99236493232839,9.500717375269097,13297.935326843413,1899.8472986465677,75.99389194586274,1520.1147800430554,76.00573900215275,30,13348.451279574952,72.0330810546875,185.31001428969574,5.3963624353117625,28.33221582770035,-50.51595273153907,63.33333333333333,6321,4894,-1427,1.0603811247591537,0.8210668156151977,-0.23931430914395604,73,2,-71,0.011991184314140854,0.00017918411449780502,-0.011812000199643048,False,
baseline,Baseline,45,22.5,23.0,500.0,82.91886816061105,95.47924837946357,9.53994864706317,13267.018905697765,1909.5849675892714,76.38339870357072,1526.3917835301072,76.31958917650539,31,11020.463677507552,79.0880126953125,139.3442988631415,7.176468704917458,26.99187177085094,2246.555228190213,48.38709677419355,4894,4296,-598,0.8210668156151977,0.7205431730794979,-0.10052364253569976,2,383,381,0.00017918411449780502,0.06392130643726264,0.06374212232276483,False,
baseline,Baseline,46,23.0,23.5,500.0,78.57157042488492,95.46356925962046,9.554317426678608,12571.45126798141,1909.271385192409,76.37085540769635,1528.6907882685773,76.43453941342884,30,13965.119439717175,72.7286376953125,192.01678846539502,5.207877956880934,30.819963236169738,-1393.6681717357642,53.333333333333336,4296,8026,3730,0.7205431730794979,1.3467504484887491,0.6262072754092514,383,4,-379,0.06392130643726264,0.0002925375396472895,-0.06362876889761536,False,
baseline,Baseline,47,23.5,24.0,500.0,87.28170006076971,95.1525123330066,9.513718825799925,13965.072009723172,1903.050246660132,76.12200986640528,1522.1950121279879,76.10975060639939,30,11634.980720267176,72.1029052734375,161.3663232590084,6.197079909882462,26.544765397767947,2330.091289455995,63.33333333333333,8026,8621,595,1.3467504484887491,1.4466033750522207,0.09985292656347156,4,76,72,0.0002925375396472895,0.012452026355097796,0.012159488815450507,False,
baseline,Baseline,48,24.0,24.5,500.0,80.28538249390677,95.75554774084594,9.573963614099695,12845.661199025086,1915.1109548169188,76.60443819267675,1531.834178255951,76.59170891279757,30,9153.927300402573,70.3304443359375,130.1559713838619,7.683089675930078,32.000791127908634,3691.733898622513,36.666666666666664,8621,4671,-3950,1.4466033750522207,0.7834722502465619,-0.663131124805659,76,150,74,0.012452026355097796,0.02512848953411165,0.012676463179013853,False,
baseline,Baseline,49,24.5,25.0,500.0,77.63440953457315,95.34807121082194,9.525624665050328,12421.505525531597,1906.961424216439,76.27845696865802,1524.0999464080523,76.20499732040261,37,16666.021727991923,92.4727783203125,180.22624636910123,5.548581408903183,23.669712845944545,-4244.516202460327,64.86486486486487,4671,4656,-15,0.7834722502465619,0.7809247054171311,-0.0025475448294309047,150,590,440,0.02512848953411165,0.09872613983461935,0.0735976503005077,False,
baseline,Baseline,50,25.0,25.5,500.0,82.85518256001414,95.69860199808427,9.57893046886229,13256.82920960187,1913.9720399616854,76.55888159846677,1532.6288750179665,76.63144375089834,30,8973.725342616928,66.845947265625,134.24486763510336,7.449074349107648,32.58105098748779,4283.103866984942,53.333333333333336,4656,8498,3842,0.7809247054171311,1.4258928994301852,0.6449681940130539,590,158,-432,0.09872613983461935,0.02618131471754476,-0.07254482511707462,False,
baseline,Baseline,51,25.5,26.0,500.0,81.82468164836924,96.49739959303406,9.652971271608521,13091.94906373888,1929.9479918606812,77.19791967442734,1544.4754034573634,77.22377017286817,29,14298.206119783808,77.3048095703125,184.9588169126643,5.406608977566017,17.935965791043564,-1206.2570560449276,68.96551724137932,8498,7192,-1306,1.4258928994301852,1.206992390041999,-0.21890050938818606,158,4,-154,0.02618131471754476,0.0004702238806234184,-0.025711090836921344,False,
baseline,Baseline,52,26.0,26.5,500.0,76.26680131565145,95.55496842454687,9.555184522729723,12202.688210504173,1911.0993684909372,76.44397473963772,1528.8295236367558,76.4414761818378,29,12970.507145167558,73.326171875,176.8878261813331,5.65330029537968,29.051929261355014,-767.8189346633844,58.620689655172406,7192,3932,-3260,1.206992390041999,0.6597614248184283,-0.5472309652235708,4,19,15,0.0004702238806234184,0.0029179922381476404,0.002447768357524222,False,
