case,label,window_s,start_s,end_s,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms
baseline,Baseline,16.0,0.0,16.0,78.56411826274704,95.31543103572241,9.531514086788103,402248.2855052649,950,399157.17505791096,2446.18408203125,163.1754445587189,6.128373069271146,27.29721459236427,3091.1104473539162
baseline,Baseline,16.0,0.5,16.5,78.35544211632174,95.34014690481312,9.534013473196191,401179.86363556725,950,397180.3900467416,2448.5594482421875,162.2098210978198,6.164854835743609,26.9062299165776,3999.473588825669
baseline,Baseline,16.0,1.0,17.0,78.2934676511232,95.39321313750438,9.53929821973733,400862.55437375075,944,396546.03460267064,2445.23876953125,162.17068023941405,6.166342760132046,27.094612259253584,4316.519771080115
baseline,Baseline,16.0,1.5,17.5,77.75597324821355,95.38333773612973,9.538372854728701,398110.58303085336,943,389827.1105979681,2435.4888916015625,160.06113267123965,6.24761291708442,26.967535861176096,8283.47243288526
baseline,Baseline,16.0,2.0,18.0,77.0235621086576,95.38146040077037,9.53786015047022,394360.6379963269,948,392755.35712994443,2442.2913818359375,160.81429105920174,6.218352818107831,27.093201828373967,1605.280866382469
baseline,Baseline,16.0,2.5,18.5,77.22188091996566,95.36330748645688,9.53641554399509,395376.03031022416,950,392792.2538869669,2440.375244140625,160.95567877524843,6.212890452882727,26.99182244435352,2583.7764232572517
baseline,Baseline,16.0,3.0,19.0,76.96234573027328,95.45260956543923,9.545236227556476,394047.2101389992,950,382551.10414212174,2426.853515625,157.63254835082265,6.343867497304095,26.871577508916168,11496.105996877479
baseline,Baseline,16.0,3.5,19.5,76.20739774612716,95.4758242691989,9.547705195082855,390181.876460171,959,384544.28621878586,2449.645751953125,156.97954935409953,6.370256534144427,27.049429076129776,5637.590241385158
baseline,Baseline,16.0,4.0,20.0,75.41128229620169,95.53235083818433,9.553140105817622,386105.76535655267,953,378528.6232637072,2437.40234375,155.30001611524347,6.439149364015069,27.10354346331909,7577.142092845461
baseline,Baseline,16.0,4.5,20.5,74.83750882736113,95.47512050009261,9.547376261779963,383168.04519608896,954,379594.43381223053,2435.965576171875,155.82914533987955,6.417284762865741,27.13373573524491,3573.611383858428
