prefix_s,dimension,group,matched_request_count,baseline_mean_stall_ms,adaptive_mean_stall_ms,adaptive_minus_baseline_mean_stall_ms,adaptive_minus_baseline_median_stall_ms,adaptive_minus_baseline_p99_stall_ms,baseline_admitted_request_count,adaptive_admitted_request_count
2.0,category,LL,19,11.409578666620321,148.3596246217923,136.950045955172,139.1514885045981,316.78235918954135,118,111
2.0,category,LS,21,166.94862699703057,56.686192450094374,-110.26243454693619,-114.58381586817995,-22.66473341874189,118,111
2.0,category,SL,13,55.55268023928825,58.27289831273355,2.720218073445302,8.263468249997459,157.9681161485123,118,111
2.0,category,SS,11,193.2476017373954,27.1611103443855,-166.08649139300988,-151.78618975830432,-102.6638546822556,118,111
2.0,overall,all,64,102.66580662227382,79.14941876749707,-23.516387854776752,-66.88650177935324,292.6967699507434,118,111
2.0,raw_demand_bin,gt_10_le_20,8,89.38165472698819,50.08071034457857,-39.300944382409625,-32.90679625299799,78.54910012613261,118,111
2.0,raw_demand_bin,gt_20_le_40,14,158.6818095232402,33.3850620785822,-125.296747444658,-122.7294313764214,-25.36599060461602,118,111
2.0,raw_demand_bin,gt_40_le_50,2,195.35616966467302,38.38792222157376,-156.96824744309924,-156.96824744309924,-149.52907060682097,118,111
2.0,raw_demand_bin,gt_50_le_80,9,178.49124426578658,55.480072804288426,-123.01117146149812,-114.58381586817995,-28.634496977911116,118,111
2.0,raw_demand_bin,gt_80,7,201.85227357174335,63.67069806547545,-138.18157550626788,-147.04334259033203,-95.88290282110657,118,111
2.0,raw_demand_bin,le_10,24,9.329733331692823,132.32228596345672,122.9925526317639,117.14247317004356,314.1061826074527,118,111
3.0,category,LL,42,23.412160359226228,176.21973765285588,152.80757729362963,130.37528369459687,383.57012045883585,177,171
3.0,category,LS,40,225.2565430803807,77.00901005150163,-148.24753302887908,-143.08945385326842,27.074896972057797,177,171
3.0,category,SL,20,57.24226421592446,65.11119956199234,7.868935346067883,11.036443536335355,165.51263583194668,177,171
3.0,category,SS,19,234.98793317042117,24.81155364243195,-210.1763795279892,-212.93733133544993,-104.13873010124703,177,171
3.0,overall,all,121,128.9519708500762,101.28291647872781,-27.66905437134839,-53.90133512231114,341.66657730808294,177,171
3.0,raw_demand_bin,gt_10_le_20,15,84.5482711396425,90.42300643915112,5.874735299508635,7.8258514404296875,111.970176007209,177,171
3.0,raw_demand_bin,gt_20_le_40,24,207.37042417298997,32.78361558484027,-174.5868085881497,-167.0537346727915,-27.799760432861397,177,171
3.0,raw_demand_bin,gt_40_le_50,2,195.35616966467302,38.38792222157376,-156.96824744309924,-156.96824744309924,-149.52907060682097,177,171
3.0,raw_demand_bin,gt_50_le_80,20,240.6189398082709,50.7562592943532,-189.86268051391772,-198.55563078669275,-34.29838212212196,177,171
3.0,raw_demand_bin,gt_80,13,253.46547213897745,128.6978551461457,-124.76761699283172,-135.98308563232422,48.77078033047866,177,171
3.0,raw_demand_bin,le_10,47,18.29642451726284,156.3214441717559,138.02501965449304,135.8231033107877,380.0717138724227,177,171
8.0,category,LL,166,27.106458767527197,170.8357189197016,143.72926015217442,145.441600219292,340.26630008816215,471,468
8.0,category,LS,120,222.94245450831244,118.09235228460462,-104.85010222370784,-119.12926733654604,366.8091377467777,471,468
8.0,category,SL,64,61.28221319624466,62.65033221902896,1.368119022784299,11.161232172063137,177.8619568768503,471,468
8.0,category,SS,60,235.41431695002066,41.064097119506336,-194.3502198305143,-202.69834829205683,45.692120162596915,471,468
