case,label,prefix_s,blocks,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,ssd_served_gb,npu_link_served_gb,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms,ssd_outstanding_blocks_end,ssd_outstanding_gb_end,npu_link_outstanding_blocks_end,npu_link_outstanding_gb_end,request_weighted_slo_alpha1p5_pct,request_weighted_slo_alpha2p0_pct
baseline,Baseline,0.5,1,83.99364884388928,94.94150089153072,9.496010817130683,13438.983815022282,75.95320071322459,75.96808653704548,30,12502.734090842023,75.388671875,165.8436709373589,6.029774873819043,36.50377702409165,936.2497241802594,2445,0.41002493908839927,2,9.526077456124684e-05,43.333333333333336,46.666666666666664
baseline,Baseline,1.0,2,79.33468678928608,94.11342352826877,9.411760890347143,25387.099772571542,150.58147764523005,150.58817424555428,64,25805.80909059846,155.5052490234375,165.94815450061785,6.02597843289831,32.45201379734831,-418.7093180269185,5627,0.9442464812040281,51,0.008250044941542993,40.625,45.3125
baseline,Baseline,1.5,3,80.77014298625444,94.99335428211083,9.498732942302512,38769.668633402136,227.984050277066,227.96959061526036,93,41925.97970365586,239.1412353515625,175.3189057588513,5.703891406757273,31.287433602890854,-3156.3110702537233,4859,0.8152639372587157,177,0.029330013126128616,41.935483870967744,47.31182795698925
baseline,Baseline,2.0,4,81.84100162082161,95.15982536506705,9.515730657849144,52378.24103732583,304.5114411682146,304.50338105117265,118,50706.49117587852,305.2191162109375,166.1314396206926,6.0193302500909915,29.06172504613949,1671.7498614473152,4255,0.7139213249187025,138,0.022967250553666562,44.06779661016949,50.847457627118644
baseline,Baseline,2.5,5,79.78415495018248,95.23530089934462,9.522407242857605,63827.32396014598,380.9412035973785,380.8962897143042,147,59877.42249464835,385.3074951171875,155.40165518046106,6.434937895859245,30.64159227534435,3949.901465497627,6412,1.0759450896024656,359,0.059883416523645074,42.17687074829932,48.29931972789115
baseline,Baseline,3.0,6,77.99446631838002,94.87372835367117,9.48590498294246,74874.68766564481,455.39389609762156,455.32343918123803,177,77527.9758016297,468.3660888671875,165.52858467858454,6.041252644923849,29.69348503387777,-2653.2881359848834,9238,1.5501782485390152,510,0.08524096863275307,45.19774011299435,50.847457627118644
baseline,Baseline,3.5,7,78.74931821362532,94.90674899177164,9.490101245672047,88199.23639926035,531.4777943539212,531.4456697576346,201,85959.99813622693,530.618408203125,161.99965324859357,6.172852718798531,29.65257520363854,2239.2382630334178,5344,0.8964939204620909,282,0.046903214501800294,45.27363184079602,50.74626865671642
baseline,Baseline,4.0,8,79.75748253408052,94.82719235171746,9.482798858929087,102089.57764362308,606.8940310509918,606.8991269714616,234,104015.7893460619,617.759033203125,168.3759908887654,5.939089027607459,29.242489550464125,-1926.2117024388135,7388,1.239618490481372,60,0.009728654483480014,47.43589743589743,52.56410256410257
baseline,Baseline,4.5,9,79.95902712657346,95.08638950158424,9.508841088386497,115140.99906226576,684.6220044114064,684.6365583638278,261,114465.59311899517,695.9326171875,164.4779829139055,6.079841096564522,29.348056602818104,675.4059432705981,8950,1.5016887702034014,2,0.0002483119219518005,46.74329501915709,51.724137931034484
baseline,Baseline,5.0,10,79.54826808394365,95.0859948265445,9.508397971860632,127277.22893430985,760.6879586123559,760.6718377488505,290,125173.37010170503,767.0445556640625,163.18917744398462,6.127857347300217,28.740534644130822,2103.8588326048193,10811,1.8141143910311817,186,0.03090215443835535,46.55172413793103,52.06896551724138
