case,label,window_kind,start_s,end_s,duration_s,dimension,group,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,mean_ttft_ms,p99_ttft_ms,slo_alpha1p5_pct,slo_alpha2_pct
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"144,2048",1,831.2010688165183,3.0507812500000004,272.45515187839777,3.670328834326173,3.6703288343261726,831.2010688165319,831.2010688165319,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"160,256",1,117.85902134052674,3.43212890625,34.33991687372297,29.120629606567384,29.120629606567384,298.08384796435894,298.08384796435894,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"160,4096",1,1831.8747488614208,3.3515625,546.573351641636,1.8295805988281253,1.8295805988281253,1842.7210404663,1842.7210404663,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"160,64",1,34.02763698134068,3.4361572265625,9.902817228006068,100.98136489603272,100.98136489603272,243.39189819353487,243.39189819353487,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"176,1024",2,1005.3254097605839,7.519531249999999,133.69522332400493,7.479698789062498,7.479698789062499,509.6802374849367,516.5574194374893,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"176,2048",1,1002.9998094425738,3.73828125,268.3050691925798,3.7271006582519526,3.7271006582519526,1013.9740841407274,1013.9740841407274,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"176,4096",1,2003.6727823017789,3.6953125000000004,542.2201186778598,1.844269449902344,1.8442694499023438,2003.6727823017864,2003.6727823017864,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"192,256",1,139.3338537278603,4.11962890625,33.821942922206695,29.56660421017456,29.56660421017456,221.14449440134922,221.14449440134922,0.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"192,64",3,118.18903812183731,12.3709716796875,9.553739284352064,104.67105813091278,104.67105813091278,270.23419407053854,279.36378742777686,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"200,128",1,75.21986229808209,4.294189453125,17.5166613208792,57.08850457752687,57.08850457752687,223.81719616655755,223.81719616655755,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"32,128",1,18.848415342640056,0.684814453125,27.523390104618063,36.332733584014896,36.332733584014896,182.43854345971886,182.43854345971886,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"32,4096",1,457.4854719340925,0.6015625,760.4953299683616,1.3149324665039066,1.3149324665039066,457.4854719340801,457.4854719340801,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"32,512",2,118.46824533392862,1.353515625,87.52632267095449,11.425134399389648,11.425134399389648,245.16994969825646,250.47785023580974,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"32,64",1,12.552800653172682,0.6861572265625,18.294350284787512,54.66168431417541,54.66168431417541,177.11410702209832,177.11410702209832,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"48,128",1,24.217124414408403,1.028564453125,23.544586185952248,42.47260886651916,42.47260886651917,241.694761278648,241.694761278648,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"48,512",2,161.41791937792146,2.041015625,79.08705714975673,12.644293972229006,12.644293972229006,220.92002118040182,258.0831745267961,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"64,1024",1,202.01505216678882,1.3535156250000002,149.25210203376025,6.700073140502931,6.700073140502931,284.1474124201068,284.1474124201068,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"64,256",1,53.43451233051433,1.36962890625,39.01386140923114,25.63191552639771,25.63191552639771,175.0365022444912,175.0365022444912,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"64,512",1,102.1837949161835,1.3642578125,74.90064852839792,13.351019245458986,13.351019245458986,179.92285194492615,179.92285194492615,0.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"80,128",1,34.9545424455353,1.716064453125,20.369014917756807,49.0941758370575,49.0941758370575,176.7909586489768,176.7909586489768,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"80,256",3,192.5157898442771,5.140136718750001,37.45343759865863,26.699818871521003,26.699818871521,266.18170497343516,294.058345896245,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"80,4096",1,972.8816535680313,1.6328125000000002,595.8318261086507,1.6783259238281252,1.6783259238281252,989.1177726312162,989.1177726312162,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"96,128",1,40.32325191349002,2.059814453125,19.576157382678097,51.08254804310303,51.08254804310303,291.3761405457608,291.3761405457608,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,raw_demand_bin,gt_10_le_20,5,382.0699596280336,4.7587890625,80.28722320112998,12.455281925679126,12.297975197739259,222.42055874044854,258.51138896809624,0.0,20.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,raw_demand_bin,gt_20_le_40,7,521.9915925858186,14.746337890625,35.39804909242418,28.250144446915805,28.678762791673936,239.3212147128891,297.8487506536891,0.0,14.285714285714285
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,raw_demand_bin,gt_40_le_50,2,59.171666859943706,2.74462890625,21.5590773401823,46.38417424924661,45.783392351788336,209.2428599638124,241.04572325235128,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,raw_demand_bin,gt_50_le_80,3,128.0959148647448,7.0401611328125,18.195026001282912,54.96007534858653,54.277578978268444,230.76914791147223,290.0249616581767,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,raw_demand_bin,gt_80,4,152.21667510317798,15.80712890625,9.629621926028126,103.84623692204126,103.74863482219277,263.52362010128763,279.3273651447399,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,raw_demand_bin,le_10,13,12059.529190714728,35.01953125,344.36580845766537,2.903888758523293,3.86002275769043,940.7487522431364,1984.358573281528,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,category,LL,12,14394.930514904641,42.8720703125,335.76476269930873,2.978275599740469,5.961158857479859,1217.604036902974,2253.0403653554386,91.66666666666666,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,category,LS,11,746.4763247091472,33.30615234375,22.41256561264801,44.617828109588366,53.089301604583746,224.1580097960159,250.4621839703741,0.0,9.090909090909092
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,category,SL,3,884.1175330385968,3.6845703125,239.95132622091785,4.167511868966801,6.425397858972168,338.4846842619336,401.7042866748234,66.66666666666666,66.66666666666666
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,category,SS,3,94.64624040502346,3.773193359375,25.083856402392502,39.86627829302275,52.6700081738205,227.91691625256377,249.08174633135002,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,overall,all,29,16120.17061305741,83.635986328125,192.742039889551,5.188281708406949,28.717325587536465,647.4548742115641,2240.163256176763,44.827586206896555,51.724137931034484
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"128,128",1,51.06067008778518,2.747314453125,18.58566646046104,53.80490401715698,53.80490401715698,223.5281066974385,223.5281066974385,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"128,2048",1,745.301738949197,2.70703125,275.3207001024451,3.632127913476562,3.632127913476562,745.3017389492015,745.3017389492015,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"128,256",2,192.76836955485336,5.489257812500001,35.117383103392605,28.475925926934817,28.475925926934814,213.72976367116644,219.93769430614628,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"128,4096",1,1488.2772032376654,2.6640625000000004,558.649507373669,1.7900311139648437,1.7900311139648437,1496.703896580755,1496.703896580755,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"128,512",1,188.08315078041497,2.7392578125,68.66208427777003,14.564078712707518,14.564078712707518,254.4368106550719,254.4368106550719,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"144,64",2,62.68656471753184,6.184814453125,10.135561089606853,98.66252012682496,98.66252012682496,214.95182648398531,215.20316550924517,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"160,128",2,123.59617656989026,6.869628906250001,17.991681684208913,55.58124123981629,55.58124123981629,238.83027722766383,250.23015081319488,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"176,256",1,128.59643913212983,3.7758789062500004,34.0573525594985,29.36223531329956,29.362235313299564,241.89451492528679,241.89451492528679,0.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"176,512",1,252.50765589798212,3.7705078125,66.96913743577666,14.932251456262208,14.932251456262208,276.0491193707694,276.0491193707694,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"192,128",1,72.53550573111009,4.122314453125,17.595820638118266,56.83167728100587,56.83167728100587,218.64954903988837,218.64954903988837,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"192,2048",1,1088.89897844534,4.08203125,266.75419950431296,3.748769473388672,3.748769473388672,1103.9403302273258,1103.9403302273258,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"192,4096",3,6526.419885870864,12.117187500000004,538.6084754297036,1.8566362127929692,1.8566362127929688,2178.85716733353,2185.4218790974255,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"200,1024",1,567.0872150010164,4.275390625,132.6398602469257,7.539211803588867,7.539211803588867,571.6127834628478,571.6127834628478,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"200,2048",1,1131.8486054585294,4.25390625,266.07276675609137,3.7583703593261717,3.7583703593261726,1131.8486054585373,1131.8486054585373,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"200,4096",1,2261.372612471063,4.210937500000001,537.0235517556512,1.8621157242187505,1.8621157242187503,2261.372612471052,2261.372612471052,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"32,64",1,12.552800653172682,0.6861572265625,18.294350284787512,54.66168431417541,54.66168431417541,230.5868402389915,230.5868402389915,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"48,512",1,80.70895968896073,1.0205078125,79.08705714975673,12.644293972229006,12.644293972229006,212.04547943615398,212.04547943615398,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"64,2048",2,803.4085733496361,2.6640625,301.57271961511265,3.31594980234375,3.3159498023437504,401.7042866748234,401.7042866748234,100.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"64,64",1,17.921509803758415,1.3736572265625002,13.046566099030384,76.6485213357651,76.6485213357651,249.45919339445936,249.45919339445936,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"80,256",1,64.17192994809237,1.7133789062500002,37.45343759865864,26.699818871521,26.699818871521,203.70471512424047,203.70471512424047,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"96,128",1,40.32325191349002,2.059814453125,19.576157382678097,51.08254804310303,51.08254804310303,196.18557427497944,196.18557427497944,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"96,256",1,74.9093470023565,2.05712890625,36.41451285564351,27.461578408703616,27.461578408703613,250.4566280529507,250.4566280529507,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,profile,"96,512",1,145.13346879256792,2.0517578125,70.73615994459284,14.137041094445802,14.137041094445802,233.41104365953834,233.41104365953834,0.0,100.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,raw_demand_bin,gt_10_le_20,4,666.4332351599257,9.58203125,69.5503090912927,14.378081320780131,14.069416308911133,243.9856132803834,275.4007501092985,50.0,75.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,raw_demand_bin,gt_20_le_40,5,460.44608563743213,13.035644531250002,35.322080510374235,28.310903139080274,28.09509688947876,224.70307708896217,250.11414352784413,0.0,20.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,raw_demand_bin,gt_50_le_80,7,317.98991475920667,17.85888671875,17.805696388977587,56.16180227688474,57.74168821011985,228.0099740144407,250.4025848205279,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,raw_demand_bin,gt_80,2,62.68656471753184,6.184814453125,10.135561089606853,98.66252012682496,98.66252012682496,214.95182648398531,215.20316550924517,0.0,0.0
baseline,Baseline,chunk_500ms,1.0,1.5,0.5,raw_demand_bin,le_10,11,14612.614812783313,36.974609375,395.20673942977425,2.5303212223628937,3.1393122391845707,1331.8872765909052,2253.797842365949,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,category,LL,11,5517.507009393137,33.41894531250001,165.10117114107044,6.0568922260736215,9.795308555163574,534.8758281193927,2093.049916683204,81.81818181818183,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,category,LS,7,573.925868476538,23.69189453125,24.22456624224459,41.28040890392192,44.152466136834285,264.02855510354465,282.4903117189765,0.0,14.285714285714285
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,category,SL,4,2547.2550276599627,4.85546875,524.6156774585281,1.906157293743956,1.983057511633301,647.8260235864627,971.4594924155217,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,category,SS,3,141.8235666930151,4.111572265625,34.4937550724179,28.99075493232182,31.601447754812625,247.6061952567919,320.9420880259564,0.0,0.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,overall,all,25,8780.511472222655,66.077880859375,132.88125100302597,7.525516146572311,20.782089215024417,442.6382670061744,1954.2309223251552,52.0,64.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"112,1024",1,330.8640576488932,2.384765625,138.7407023064974,7.207690197436523,7.207690197436523,345.67584837421964,345.67584837421964,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"112,512",1,166.60829961410437,2.3955078125000004,69.55030526084094,14.378082112646487,14.378082112646485,277.8425938080745,277.8425938080745,0.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"128,1024",1,373.81375578175397,2.728515625,137.00260770240374,7.299131138964844,7.299131138964844,384.3054208081903,384.3054208081903,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"128,128",1,51.06067008778518,2.747314453125,18.58566646046104,53.80490401715698,53.80490401715698,265.89977331161026,265.89977331161026,0.0,0.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"128,256",1,96.38418477742668,2.7446289062500004,35.117383103392605,28.475925926934817,28.475925926934814,282.51279875559885,282.51279875559885,0.0,0.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"128,512",1,188.08315078041497,2.7392578125,68.66208427777003,14.564078712707518,14.564078712707518,228.24552863690587,228.24552863690587,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"144,1024",1,416.7634208995999,3.072265625,135.65344659923406,7.371725710400391,7.371725710400391,424.77120912380815,424.77120912380815,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"160,128",1,61.79808828494513,3.4348144531250004,17.991681684208913,55.58124123981629,55.58124123981629,282.1380148118933,282.1380148118933,0.0,0.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"160,512",1,231.03280454429512,3.4267578125,67.42023136316848,14.832343048681642,14.832343048681642,234.76570109968998,234.76570109968998,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"192,1024",1,545.6125064753121,4.103515625000001,132.96221005014743,7.520933952758791,7.520933952758791,545.6125064752996,545.6125064752996,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"192,256",1,139.3338537278603,4.11962890625,33.821942922206695,29.56660421017456,29.56660421017456,257.77231904746077,257.77231904746077,0.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"200,128",2,150.43972459616418,8.58837890625,17.5166613208792,57.08850457752687,57.08850457752687,250.4512198471357,256.3937089608959,0.0,0.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"200,4096",1,2261.372612471063,4.210937500000001,537.0235517556512,1.8621157242187505,1.8621157242187503,2261.372612471052,2261.372612471052,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"200,512",1,284.7199227381171,4.286132812500001,66.42816151374615,15.053856334606936,15.053856334606934,318.99034635415774,318.99034635415774,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"32,4096",1,457.4854719340925,0.6015625,760.4953299683616,1.3149324665039066,1.3149324665039066,467.74155890091424,467.74155890091424,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"48,128",1,24.217124414408403,1.028564453125,23.544586185952248,42.47260886651916,42.47260886651917,206.44856125071237,206.44856125071237,0.0,0.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"48,4096",1,629.2841814562018,0.9453125,665.6890514578004,1.5022028645507812,1.5022028645507812,643.0796441641305,643.0796441641305,100.0,100.0
baseline,Baseline,chunk_500ms,1.5,2.0,0.5,profile,"64,256",1,53.43451233051433,1.36962890625,39.01386140923114,25.63191552639771,25.63191552639771,213.22972500345168,213.22972500345168,0.0,0.0
