case,label,window_kind,start_s,end_s,duration_s,dimension,group,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,mean_ttft_ms,p99_ttft_ms,slo_alpha1p5_pct,slo_alpha2_pct
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,category,LL,10,9313.810802112159,32.9033203125,283.065985853526,3.532745190082483,5.702081343629151,940.9282847253419,1989.3224301498976,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,category,LS,8,403.125048874178,25.590576171875,15.752871141573886,63.48049133474274,73.08890902899685,219.1530637267192,249.7340439705877,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,category,SL,4,2526.9071874675296,5.5751953125,453.2410159339202,2.2063316532363304,4.650490072045899,657.1946389758555,981.6208559239052,75.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,category,SS,8,258.89105238815904,11.319580078125,22.871082725803934,43.7233344826201,54.347408095787436,215.29816861237418,224.35687275288421,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,overall,all,30,12502.734090842023,75.388671875,165.8436709373589,6.029774873819043,36.50377702409165,517.122375395653,1957.4327587012565,43.333333333333336,46.666666666666664
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"112,1024",1,330.8640576488932,2.384765625,138.7407023064974,7.207690197436523,7.207690197436523,342.65461907924146,342.65461907924146,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"112,256",1,85.64676761444342,2.40087890625,35.67308929720971,28.03233528973389,28.03233528973389,250.8085620626025,250.8085620626025,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"112,64",1,25.97457358213019,2.4049072265625004,10.800655133486142,92.58697621958314,92.58697621958314,214.97081745786636,214.97081745786636,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"128,2048",1,745.301738949197,2.70703125,275.3207001024451,3.632127913476562,3.632127913476562,745.3017389492015,745.3017389492015,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"128,512",1,188.08315078041497,2.7392578125,68.66208427777003,14.564078712707518,14.564078712707518,221.40314673868852,221.40314673868852,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"144,128",1,56.4293799038855,3.091064453125,18.25564648023971,54.777572576376336,54.777572576376336,219.5332597816705,219.5332597816705,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"144,4096",1,1660.0766810169919,3.0078125,551.9215978446102,1.8118515454101565,1.8118515454101565,1670.6763927322336,1670.6763927322336,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"160,1024",2,919.4261576328105,6.83203125,134.57581266666637,7.430755796191407,7.430755796191407,466.62003627889044,473.38885459213867,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"160,128",1,61.79808828494513,3.4348144531250004,17.991681684208913,55.58124123981629,55.58124123981629,235.45830360524815,235.45830360524815,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"160,4096",1,1831.8747488614208,3.3515625,546.573351641636,1.8295805988281253,1.8295805988281253,1844.224425058579,1844.224425058579,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"176,4096",1,2003.6727823017789,3.6953125000000004,542.2201186778598,1.844269449902344,1.8442694499023438,2003.6727823017864,2003.6727823017864,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"176,64",1,36.711991562200296,3.7799072265625004,9.712405453820274,102.96110523337555,102.96110523337556,203.4336101890931,203.4336101890931,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"192,1024",1,545.6125064753121,4.103515625000001,132.96221005014743,7.520933952758791,7.520933952758791,559.2106913905773,559.2106913905773,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"192,128",1,72.53550573111009,4.122314453125,17.595820638118266,56.83167728100587,56.83167728100587,196.7529000317445,196.7529000317445,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"192,2048",1,1088.89897844534,4.08203125,266.75419950431296,3.748769473388672,3.748769473388672,1088.8989784453297,1088.8989784453297,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"200,64",1,40.73852324673224,4.2955322265625,9.483929138004221,105.44153013467559,105.4415301346756,228.9487390097638,228.9487390097638,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"48,256",2,85.39418605009682,2.0517578125000004,41.62001262032324,24.026902853741458,24.026902853741458,220.94625779329817,222.56741173680336,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"48,4096",1,629.2841814562018,0.9453125,665.6890514578004,1.5022028645507812,1.5022028645507812,629.284181456198,629.284181456198,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"48,64",1,15.237155262340579,1.0299072265625,14.794687200319311,67.59183120670623,67.59183120670623,215.99889378048647,215.99889378048647,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"64,4096",1,801.0827193710202,1.2890625,621.445988360549,1.609150302246094,1.609150302246094,811.8862406192638,811.8862406192638,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"64,64",1,17.921509803758415,1.3736572265625002,13.046566099030384,76.6485213357651,76.6485213357651,216.76028751918602,216.76028751918602,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"80,128",1,34.9545424455353,1.716064453125,20.369014917756807,49.0941758370575,49.0941758370575,208.18924491064172,208.18924491064172,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"80,256",1,64.17192994809237,1.7133789062500002,37.45343759865864,26.699818871521,26.699818871521,195.98679107529824,195.98679107529824,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"80,4096",1,972.8816535680313,1.6328125000000002,595.8318261086507,1.6783259238281252,1.6783259238281252,986.8703801085849,986.8703801085849,100.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"80,512",1,123.65863307227637,1.7080078125000002,72.39933691595826,13.812281197558594,13.812281197558594,200.73775371937518,200.73775371937518,0.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"80,64",2,41.21172887833555,3.434814453125,11.998240207950985,83.34555590388337,83.34555590388337,221.77880801339234,224.43486781312905,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,profile,"96,64",1,23.2902189487311,2.0611572265625,11.299583868996455,88.49883425740815,88.49883425740815,203.31831767576477,203.31831767576477,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,raw_demand_bin,gt_10_le_20,2,311.74178385269136,4.447265625,70.09740594316116,14.265863144933709,14.188179955133055,211.07045022903185,221.19649280849538,50.0,100.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,raw_demand_bin,gt_20_le_40,4,235.21288361263262,6.166015625,38.14665708256823,26.21461686237684,25.69648996718445,222.17196718112427,249.96232009605924,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,raw_demand_bin,gt_40_le_50,1,34.9545424455353,1.716064453125,20.369014917756807,49.0941758370575,49.0941758370575,208.18924491064172,208.18924491064172,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,raw_demand_bin,gt_50_le_80,5,223.9216389860397,13.0517578125,17.156435340194886,58.287166312290644,62.28616872793397,216.90072894366713,234.82130185230506,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,raw_demand_bin,gt_80,6,167.9270362181294,15.976318359375,10.510997117154265,95.1384525039941,92.69659294213487,215.7048500598788,228.72575571503384,0.0,0.0
baseline,Baseline,chunk_500ms,0.0,0.5,0.5,raw_demand_bin,le_10,12,11528.976205726996,34.03125,338.7761603152102,2.9518015644004056,3.937201151184082,967.993375224898,1986.1334630050337,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,category,LL,10,10427.147013045815,31.431640625,331.74046297641564,3.014404667515921,4.048696431914062,1049.898312217537,1989.1871255365927,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,category,LS,8,524.9526643831372,29.712890625,17.66750569671769,56.60108547103977,72.73160321576786,261.06451993539713,297.6143084450571,0.0,12.5
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,category,SL,8,2014.4521372969464,8.3466796875,241.34772301299557,4.143399355568622,8.897900939941406,355.3566813359557,951.9035115824165,37.5,50.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,category,SS,8,336.5231850305479,10.6253662109375,31.671678730860016,31.573949979027393,36.03657184284096,218.95249844677983,293.7903120038702,0.0,0.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,overall,all,34,13303.074999756445,80.1165771484375,166.04647219399953,6.02241039383032,28.87692859728066,505.35213882118916,1950.558707496076,38.23529411764706,44.11764705882353
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"112,4096",2,2632.95769913199,4.640625,567.3713560419103,1.7625140736328122,1.7625140736328122,1325.7304525936788,1334.7970235608152,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"128,1024",1,373.81375578175397,2.728515625,137.00260770240374,7.299131138964844,7.299131138964844,384.2784422768709,384.2784422768709,100.0,100.0
baseline,Baseline,chunk_500ms,0.5,1.0,0.5,profile,"128,2048",1,745.301738949197,2.70703125,275.3207001024451,3.632127913476562,3.632127913476562,752.3143240159225,752.3143240159225,100.0,100.0
