case,label,prefix_s,blocks,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,ssd_served_gb,npu_link_served_gb,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms,ssd_outstanding_blocks_end,ssd_outstanding_gb_end,npu_link_outstanding_blocks_end,npu_link_outstanding_gb_end,request_weighted_slo_alpha1p5_pct,request_weighted_slo_alpha2p0_pct,adaptive_minus_baseline_npu_utilization_pp,adaptive_minus_baseline_actual_compute_busy_ms,adaptive_minus_baseline_admitted_compute_ms,adaptive_minus_baseline_inferred_inventory_drop_ms,admitted_compute_share_of_actual_delta_pct,active_remaining_compute_inventory_supported
baseline,Baseline,2.0,4,81.84100162082161,95.15982536506705,9.515730657849144,52378.24103732583,304.5114411682146,304.50338105117265,118,50706.49117587852,305.2191162109375,166.1314396206926,6.0193302500909915,29.06172504613949,1671.7498614473152,4255,0.7139213249187025,138,0.022967250553666562,44.06779661016949,50.847457627118644,1.583652379671193,1013.5375229895653,5139.189556617137,-4125.652033627572,507.05469112366023,False
adaptive_t0_i100ms,Adaptive 100 ms,2.0,4,83.42465400049281,93.74433600621335,9.37325555910526,53391.7785603154,299.9818752198827,299.9441778913683,111,55845.68073249565,297.6619873046875,187.61441875119877,5.330080740362129,29.971270672571958,-2453.9021721802565,5563,0.9334219912539291,229,0.0383282806933502,59.45945945945946,80.18018018018019,1.583652379671193,1013.5375229895653,5139.189556617137,-4125.652033627572,507.05469112366023,False
baseline,Baseline,3.0,6,77.99446631838002,94.87372835367117,9.48590498294246,74874.68766564481,455.39389609762156,455.32343918123803,177,77527.9758016297,468.3660888671875,165.52858467858454,6.041252644923849,29.69348503387777,-2653.2881359848834,9238,1.5501782485390152,510,0.08524096863275307,45.19774011299435,50.847457627118644,4.555459025157717,4373.24066415141,4090.4824197592534,282.7582443921565,93.53435435854242,False
adaptive_t0_i100ms,Adaptive 100 ms,3.0,6,82.54992534353774,93.8625672092928,9.384305149704206,79247.92832979622,450.5403226046055,450.4466471858019,171,81618.45822138895,457.0921630859375,178.56017847771312,5.6003528251670875,27.7371228894304,-2370.529891592727,3579,0.6004384737186801,562,0.09416281926760436,59.64912280701754,82.45614035087719,4.555459025157717,4373.24066415141,4090.4824197592534,282.7582443921565,93.53435435854242,False
baseline,Baseline,8.0,16,78.63877341361012,95.09070827836723,9.50915830352803,201315.25993884192,1217.1610659631003,1217.1722628515881,471,202937.73782943486,1223.199462890625,165.90731437198232,6.027461801701465,27.213408227488262,-1622.4778905929415,4290,0.719539449954465,23,0.0034537362711504482,49.469214437367306,54.35244161358811,-0.4522955463780107,-1157.8765987277147,-1280.0875552821672,122.21095655445242,110.55474794885214,False
adaptive_t0_i100ms,Adaptive 100 ms,8.0,16,78.18647786723211,94.82628474499629,9.482627704561583,200157.3833401142,1213.7764447359527,1213.7763461838827,468,201657.6502741527,1219.8143310546875,165.3183153700068,6.048936548632572,27.77572777696902,-1500.2669340384891,7422,1.245465634363649,5,0.0005783231399629953,54.059829059829056,79.05982905982906,-0.4522955463780107,-1157.8765987277147,-1280.0875552821672,122.21095655445242,110.55474794885214,False
baseline,Baseline,16.0,32,78.56411826274704,95.31543103572241,9.531514086788102,402248.2855052649,2440.075034514494,2440.067606217754,950,399157.17505791096,2446.18408203125,163.1754445587189,6.128373069271146,27.29721459236427,3091.1104473539162,4483,0.7522566895767545,135,0.02248567528077043,49.05263157894737,55.05263157894736,-0.8249844656593694,-4223.920464175986,-3740.9237607423565,-482.9967034336296,88.56520364126094,False
adaptive_t0_i100ms,Adaptive 100 ms,16.0,32,77.73913379708767,94.96149175439311,9.496141728004147,398024.3650410889,2431.014188912464,2431.012282369062,940,395416.2512971686,2426.845458984375,162.9342527078954,6.1374449103269635,27.0325827878632,2608.1137439202867,5811,0.9746175149816612,13,0.00210704274577603,52.659574468085104,79.04255319148936,-0.8249844656593694,-4223.920464175986,-3740.9237607423565,-482.9967034336296,88.56520364126094,False
baseline,Baseline,32.0,64,76.73858589254444,95.32995004903788,9.532976716648637,785803.119539655,4880.893442510737,4880.884078924102,1911,781454.717130658,4885.2017822265625,159.9636518544151,6.251420172065791,27.685848908675432,4348.402408997063,6985,1.1718247675505733,144,0.024120573913391247,46.83411826268969,53.37519623233909,0.4230879212331473,4332.420313427458,6735.537766287569,-2403.1174528601114,155.4682435915125,False
adaptive_t0_i100ms,Adaptive 100 ms,32.0,64,77.16167381377758,94.76829152474699,9.476830094080217,790135.5398530825,4852.1365260670445,4852.13700816907,1892,788190.2548969456,4844.6083984375,162.69431707858067,6.146496189642593,27.586114454940674,1945.2849561369512,6683,1.1214530288576587,2,0.00010768316679163326,52.48414376321353,78.32980972515855,0.4230879212331473,4332.420313427458,6735.537766287569,-2403.1174528601114,155.4682435915125,False
