start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,7086.1602775098545,initial,A,731.6889030273437,32,32
0.0,7086.1602775098545,initial,B,0.0,0,0
0.0,7086.1602775098545,A,A,0.0,0,0
0.0,7086.1602775098545,A,B,1451.6547053094996,384,246
0.0,7086.1602775098545,B,A,0.0,352,0
0.0,7086.1602775098545,B,B,0.0,384,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,0.0,0,0
2000.0,4000.0,A,B,649.3618540285584,128,99
2000.0,4000.0,B,A,0.0,96,0
2000.0,4000.0,B,B,0.0,102,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,0.0,0,0
2000.0,6000.0,A,B,830.7740408339619,237,144
2000.0,6000.0,B,A,0.0,224,0
2000.0,6000.0,B,B,0.0,228,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,0.0,0,0
4000.0,6000.0,A,B,181.4121868054035,109,45
4000.0,6000.0,B,A,0.0,128,0
4000.0,6000.0,B,B,0.0,126,0
