group,total_length_K,nql_center,nql_min,nql_max,layer_compute_min_ms,layer_compute_max_ms,layer_read_min_GiB,layer_read_max_GiB,demand_min_GiB_s,demand_max_GiB_s,count
A_long_200K,200,2048,2042,2054,70.53371604289484,70.9473598639265,0.26586127281188965,0.26587700843811035,3.7473032586666837,3.769502350853288,56
B_short_20K,20,1152,1126,1178,5.751834451711423,6.010748076175374,0.025310754776000977,0.025378942489624023,4.210915921817531,4.412321443304523,336
