request_id,npu_id,role,profile,C_ms,V_per_ssu_GiB,B_per_ssu_GiB_s,original_request_id,matches_raw_data,layer,compute_start_ms,compute_end_ms,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,barrier_budget_end_ms,full_io_stall_ms,warm_io_stall_ms,warm_compute_ms,warm_queue_ms,kind
2000083,2,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100019027,False,1,8158.993432126918,8160.908353001278,8156.988194876768,8158.993432126918,,8158.903115751127,0.09031637579118978,0.09031637579118978,1.914920874359268,0.0,internal_L1_to_L7
2000083,2,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100019027,False,2,8161.129281125942,8163.044202000301,8158.993432126918,8161.129281125942,,8160.908353001278,0.22092812466416945,0.22092812466416945,1.914920874359268,0.0,internal_L1_to_L7
2000083,2,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100019027,False,3,8163.281914792934,8165.196835667293,8161.129281125942,8163.281914792934,,8163.044202000301,0.23771279263291945,0.23771279263291945,1.914920874359268,0.0,internal_L1_to_L7
2000083,2,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100019027,False,4,8165.291878782192,8167.206799656551,8163.281914792934,8165.291878782192,,8165.196835667293,0.09504311489854445,0.09504311489854445,1.914920874359268,0.0,internal_L1_to_L7
4000083,4,A,10.25:256,1.9149208743596717,"[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]",100033338,False,3,8165.682122312465,8167.5970431868245,8163.696607182127,8165.682122312465,,8165.611528056486,0.07059425597890367,0.07059425597890367,1.914920874359268,0.0,internal_L1_to_L7
4000083,4,A,10.25:256,1.9149208743596717,"[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]",100033338,False,4,8167.675301633754,8169.590222508114,8165.682122312465,8167.675301633754,,8167.5970431868245,0.07825844692979445,0.07825844692979445,1.914920874359268,0.0,internal_L1_to_L7
4000083,4,A,10.25:256,1.9149208743596717,"[0.004364013671875,0.00469970703125,0.004364013671875]","[2.278952478041307,2.454256514813715,2.278952478041307]",100033338,False,5,8169.618126951137,8171.533047825496,8167.675301633754,8169.618126951137,,8169.590222508114,0.027904443023544445,0.027904443023544445,1.914920874359268,0.0,internal_L1_to_L7
2000089,2,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100019356,False,2,8253.596535707933,8255.511456582293,8251.463318128388,8253.596535707933,,8253.378239002748,0.21829670518491184,0.21829670518491184,1.9149208743601775,0.0,internal_L1_to_L7
2000089,2,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100019356,False,3,8255.744973207933,8257.659894082293,8253.596535707933,8255.744973207933,,8255.511456582293,0.23351662563982245,0.23351662563982245,1.9149208743601775,0.0,internal_L1_to_L7
2000089,2,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100019356,False,4,8257.893410707933,8259.808331582293,8255.744973207933,8257.893410707933,,8257.659894082293,0.23351662563982245,0.23351662563982245,1.9149208743601775,0.0,internal_L1_to_L7
