victim_nql,total_bandwidth_gibps,status,mean_npu_utilization,npu0_utilization,npu1_utilization,npu2_utilization,npu3_utilization,ssd_utilization,all_invariants
153,39.99622675713968,valid,0.7649205450037934,0.22719787601931557,0.8324843039958578,1.0,1.0,0.8702715089780159,True
154,39.98910469148387,valid,0.7650544929427265,0.2277336677750486,0.8324843039958578,1.0,1.0,0.8702581336957282,True
155,39.98201605950832,valid,0.7651884408816598,0.22826945953078165,0.8324843039958578,1.0,1.0,0.8702447584134406,True
156,39.97496062633874,valid,0.7653223888205931,0.22880525128651472,0.8324843039958578,1.0,1.0,0.870231383131153,True
157,39.967938159295734,valid,0.7654563367595264,0.22934104304224776,0.8324843039958578,1.0,1.0,0.8702180078488655,True
158,39.96094842786917,valid,0.7655902846984597,0.2298768347979808,0.8324843039958578,1.0,1.0,0.8702046325665779,True
159,39.953991203693,valid,0.765724232637393,0.23041262655371383,0.8324843039958578,1.0,1.0,0.8701912572842903,True
160,39.94706626052039,valid,0.7658581805763262,0.23094841830944687,0.8324843039958578,1.0,1.0,0.8701778820020026,True
161,39.94017337419917,valid,0.7659921285152594,0.2314842100651799,0.8324843039958578,1.0,1.0,0.870164506719715,True
162,39.933312322647666,valid,0.7661260764541927,0.23202000182091298,0.8324843039958578,1.0,1.0,0.8701511314374275,True
163,39.92648288583086,valid,0.7662600243931259,0.23255579357664602,0.8324843039958578,1.0,1.0,0.8701377561551399,True
164,39.91968484573682,valid,0.7663939723320592,0.23309158533237906,0.8324843039958578,1.0,1.0,0.8701243808728523,True
165,39.912917986353555,valid,0.7665279202710386,0.23362737708829628,0.8324843039958578,1.0,1.0,0.8701110055905646,True
166,39.906182093646116,valid,0.7642116322467364,0.2243340975592182,0.8325124314277272,1.0,1.0,0.8696194639664955,True
167,39.89947695553403,valid,0.7643399494839522,0.22484739929063652,0.8325123986451727,1.0,1.0,0.8696066459876365,True
168,39.892802361869,valid,0.7644682667211682,0.22536070102205485,0.832512365862618,1.0,1.0,0.8695938280087776,True
169,39.88615810441304,valid,0.7622609787208021,0.21655961088735057,0.8324843039958578,1.0,1.0,0.8691045155984229,True
170,39.87954397681674,valid,0.7623840123832297,0.21705174553706091,0.8324843039958578,1.0,1.0,0.8690922549229927,True
171,39.87295977459793,valid,0.7625070460456573,0.2175438801867713,0.8324843039958578,1.0,1.0,0.8690799942475623,True
172,39.866405295120614,valid,0.7626300797080849,0.21803601483648163,0.8324843039958578,1.0,1.0,0.8690677335721321,True
173,39.859880337574175,valid,0.7627531133705124,0.21852814948619198,0.8324843039958578,1.0,1.0,0.8690554728967017,True
174,39.85338470295286,valid,0.76287614703294,0.21902028413590233,0.8324843039958578,1.0,1.0,0.8690432122212715,True
175,39.84691819403557,valid,0.762852714514919,0.218926554063818,0.8324843039958578,1.0,1.0,0.8690309515458412,True
176,39.840480615365855,valid,0.7629743618353253,0.21941314334544312,0.8324843039958578,1.0,1.0,0.8690186908704108,True
177,39.834071773232296,valid,0.7630970647621012,0.21990395505254673,0.8324843039958578,1.0,1.0,0.8690064301949806,True
178,39.827691475649,valid,0.763219767688877,0.22039476675965033,0.8324843039958578,1.0,1.0,0.8689941695195502,True
179,39.821339532336445,valid,0.763342470615653,0.22088557846675394,0.8324843039958578,1.0,1.0,0.86898190884412,True
180,39.815015754702614,valid,0.7634651735424288,0.22137639017385755,0.8324843039958578,1.0,1.0,0.8689696481686897,True
181,39.808719955824266,valid,0.7635878764692048,0.22186720188096115,0.8324843039958578,1.0,1.0,0.8689573874932593,True
182,39.80245195042856,valid,0.7637105793959806,0.22235801358806476,0.8324843039958578,1.0,1.0,0.8689451268178291,True
183,39.79621155487485,valid,0.7638332823227565,0.22284882529516836,0.8324843039958578,1.0,1.0,0.8689328661423987,True
184,39.78999858713679,valid,0.7639559852495325,0.22333963700227197,0.8324843039958578,1.0,1.0,0.8689206054669685,True
185,39.783812866784594,valid,0.7640786881763084,0.22383044870937557,0.8324843039958578,1.0,1.0,0.8689083447915382,True
186,39.777654214967576,valid,0.7642013911030843,0.22432126041647915,0.8324843039958578,1.0,1.0,0.8688960841161079,True
187,39.77152245439696,valid,0.7643240940298601,0.22481207212358276,0.8324843039958578,1.0,1.0,0.8688838234406776,True
188,39.7654174093288,valid,0.764446796956636,0.22530288383068636,0.8324843039958578,1.0,1.0,0.8688715627652472,True
189,39.759338905547224,valid,0.7645694998834119,0.22579369553778997,0.8324843039958578,1.0,1.0,0.868859302089817,True
190,39.753286770347884,valid,0.7646922028101879,0.22628450724489357,0.8324843039958578,1.0,1.0,0.8688470414143867,True
191,39.74726083252153,valid,0.7648149057369638,0.22677531895199718,0.8324843039958578,1.0,1.0,0.8688347807389564,True
192,39.74126092233796,valid,0.7649376086637396,0.22726613065910078,0.8324843039958578,1.0,1.0,0.8688225200635261,True
