npu_id,request_id,role,seq_len_k,nql,layer,io_release_time_ms,io_ready_time_ms,comparison_deadline_ms,compute_start_time_ms,compute_end_time_ms,compute_duration_ms,io_barrier_wait_ms,overrun_ms
3,300010,large_moderate_b,192,896,0,2377.9714994275446,2390.6585250937815,2407.8280622439925,2407.8280622439925,2437.6846250604403,29.8565628164477,0.0,0.0
2,200010,large_moderate_a,192,896,0,2377.975695594537,2390.8347641074533,2407.8322584109847,2407.8322584109847,2437.6888212274325,29.8565628164477,0.0,0.0
1,100020,large_fast,192,368,1,2409.6580725252766,2427.124470539624,2422.048237327377,2427.124470539624,2439.5146353417244,12.390164802100617,5.076233212246734,5.076233212246734
0,110,short_victim,1,169,6,2428.362877436215,2433.6413407998625,2428.9450269278477,2433.6413407998625,2434.223490291495,0.5821494916324587,4.696313872014798,4.696313872014798
0,110,short_victim,1,169,7,2433.6413407998625,2433.6721564012114,2434.223490291495,2434.223490291495,2434.805639783128,0.5821494916324587,0.0,0.0
0,111,short_victim,1,169,0,2434.223490291495,2434.254305892844,2434.805639783128,2434.805639783128,2435.3877892747605,0.5821494916324587,0.0,0.0
0,111,short_victim,1,169,1,2434.805639783128,2434.8364553844767,2435.3877892747605,2435.3877892747605,2435.969938766393,0.5821494916324587,0.0,0.0
0,111,short_victim,1,169,2,2435.3877892747605,2435.4186048761094,2435.969938766393,2435.969938766393,2436.552088258026,0.5821494916324587,0.0,0.0
0,111,short_victim,1,169,3,2435.969938766393,2436.000754367742,2436.552088258026,2436.552088258026,2437.1342377496585,0.5821494916324587,0.0,0.0
0,111,short_victim,1,169,4,2436.552088258026,2436.5829038593747,2437.1342377496585,2437.1342377496585,2437.716387241291,0.5821494916324587,0.0,0.0
3,300010,large_moderate_b,192,896,1,2407.8280622439925,2420.5150879102293,2437.6846250604403,2437.6846250604403,2467.541187876888,29.8565628164477,0.0,0.0
2,200010,large_moderate_a,192,896,1,2407.8322584109847,2420.691326923901,2437.6888212274325,2437.6888212274325,2467.5453840438804,29.8565628164477,0.0,0.0
0,111,short_victim,1,169,5,2437.1342377496585,2437.1650533510074,2437.716387241291,2437.716387241291,2438.298536732924,0.5821494916324587,0.0,0.0
1,100020,large_fast,192,368,2,2427.124470539624,2433.6137772279326,2439.5146353417244,2439.5146353417244,2451.904800143825,12.390164802100617,0.0,0.0
0,111,short_victim,1,169,6,2437.716387241291,2440.2578130077136,2438.298536732924,2440.2578130077136,2440.8399624993463,0.5821494916324587,1.9592762747897723,1.9592762747897723
1,100020,large_fast,192,368,3,2439.5146353417244,2456.9810333560717,2451.904800143825,2456.9810333560717,2469.3711981581723,12.390164802100617,5.076233212246734,5.076233212246734
0,111,short_victim,1,169,7,2440.2578130077136,2457.0085969280017,2440.8399624993463,2457.0085969280017,2457.5907464196343,0.5821494916324587,16.168634428655423,16.168634428655423
0,112,short_victim,1,169,0,2457.0085969280017,2458.219440252663,2457.5907464196343,2458.219440252663,2458.8015897442956,0.5821494916324587,0.628693833028592,0.628693833028592
0,112,short_victim,1,169,1,2458.219440252663,2463.4979036163104,2458.8015897442956,2463.4979036163104,2464.080053107943,0.5821494916324587,4.696313872014798,4.696313872014798
0,112,short_victim,1,169,2,2463.4979036163104,2463.5287192176593,2464.080053107943,2464.080053107943,2464.6622025995757,0.5821494916324587,0.0,0.0
0,112,short_victim,1,169,3,2464.080053107943,2464.110868709292,2464.6622025995757,2464.6622025995757,2465.2443520912084,0.5821494916324587,0.0,0.0
0,112,short_victim,1,169,4,2464.6622025995757,2464.6930182009246,2465.2443520912084,2465.2443520912084,2465.826501582841,0.5821494916324587,0.0,0.0
0,112,short_victim,1,169,5,2465.2443520912084,2465.2751676925573,2465.826501582841,2465.826501582841,2466.4086510744737,0.5821494916324587,0.0,0.0
0,112,short_victim,1,169,6,2465.826501582841,2465.85731718419,2466.4086510744737,2466.4086510744737,2466.9908005661064,0.5821494916324587,0.0,0.0
0,112,short_victim,1,169,7,2466.4086510744737,2466.4394666758226,2466.9908005661064,2466.9908005661064,2467.572950057739,0.5821494916324587,0.0,0.0
3,300010,large_moderate_b,192,896,2,2437.6846250604403,2450.371650726677,2467.541187876888,2467.541187876888,2497.397750693336,29.8565628164477,0.0,0.0
2,200010,large_moderate_a,192,896,2,2437.6888212274325,2450.547889740349,2467.5453840438804,2467.5453840438804,2497.4019468603283,29.8565628164477,0.0,0.0
0,113,short_victim,1,169,0,2466.9908005661064,2467.0216161674552,2467.572950057739,2467.572950057739,2468.1550995493717,0.5821494916324587,0.0,0.0
1,100020,large_fast,192,368,4,2456.9810333560717,2463.4703400443805,2469.3711981581723,2469.3711981581723,2481.761362960273,12.390164802100617,0.0,0.0
0,113,short_victim,1,169,1,2467.572950057739,2470.1143758241615,2468.1550995493717,2470.1143758241615,2470.696525315794,0.5821494916324587,1.9592762747897723,1.9592762747897723
1,100020,large_fast,192,368,5,2469.3711981581723,2486.8375961725196,2481.761362960273,2486.8375961725196,2499.22776097462,12.390164802100617,5.076233212246734,5.076233212246734
0,113,short_victim,1,169,2,2470.1143758241615,2486.8651597444496,2470.696525315794,2486.8651597444496,2487.447309236082,0.5821494916324587,16.168634428655423,16.168634428655423
0,113,short_victim,1,169,3,2486.8651597444496,2488.076003069111,2487.447309236082,2488.076003069111,2488.6581525607435,0.5821494916324587,0.628693833028592,0.628693833028592
0,113,short_victim,1,169,4,2488.076003069111,2493.3544664327583,2488.6581525607435,2493.3544664327583,2493.936615924391,0.5821494916324587,4.696313872014798,4.696313872014798
0,113,short_victim,1,169,5,2493.3544664327583,2493.385282034107,2493.936615924391,2493.936615924391,2494.5187654160236,0.5821494916324587,0.0,0.0
0,113,short_victim,1,169,6,2493.936615924391,2493.96743152574,2494.5187654160236,2494.5187654160236,2495.1009149076563,0.5821494916324587,0.0,0.0
0,113,short_victim,1,169,7,2494.5187654160236,2494.5495810173725,2495.1009149076563,2495.1009149076563,2495.683064399289,0.5821494916324587,0.0,0.0
0,114,short_victim,1,169,0,2495.1009149076563,2495.131730509005,2495.683064399289,2495.683064399289,2496.2652138909216,0.5821494916324587,0.0,0.0
0,114,short_victim,1,169,1,2495.683064399289,2495.713880000638,2496.2652138909216,2496.2652138909216,2496.8473633825542,0.5821494916324587,0.0,0.0
0,114,short_victim,1,169,2,2496.2652138909216,2496.2960294922705,2496.8473633825542,2496.8473633825542,2497.429512874187,0.5821494916324587,0.0,0.0
3,300010,large_moderate_b,192,896,3,2467.541187876888,2480.228213543125,2497.397750693336,2497.397750693336,2527.254313509784,29.8565628164477,0.0,0.0
2,200010,large_moderate_a,192,896,3,2467.5453840438804,2480.404452556797,2497.4019468603283,2497.4019468603283,2527.258509676776,29.8565628164477,0.0,0.0
0,114,short_victim,1,169,3,2496.8473633825542,2496.878178983903,2497.429512874187,2497.429512874187,2498.0116623658196,0.5821494916324587,0.0,0.0
1,100020,large_fast,192,368,6,2486.8375961725196,2493.3269028608283,2499.22776097462,2499.22776097462,2511.6179257767208,12.390164802100617,0.0,0.0
0,114,short_victim,1,169,4,2497.429512874187,2499.9709386406093,2498.0116623658196,2499.9709386406093,2500.553088132242,0.5821494916324587,1.9592762747897723,1.9592762747897723
