npu_id,request_id,layer,release_ms,last_ssd_ms,ready_ms,volume_gib,service_ms,complete_trace,command_count
0,110,6,-1.7643759116044748,3.5113009348997366,3.514087452042986,0.0011211633682250977,0.02802908420562744,True,7
0,110,7,3.514087452042986,3.5421165362486136,3.544903053391863,0.0011211633682250977,0.02802908420562744,True,7
0,111,0,4.096236943675649,4.124266027881276,4.127052545024526,0.0011211633682250977,0.02802908420562744,True,7
0,111,1,4.678386435308312,4.706415519513939,4.709202036657189,0.0011211633682250977,0.02802908420562744,True,7
0,111,2,5.260535926940975,5.288565011146602,5.291351528289852,0.0011211633682250977,0.02802908420562744,True,7
0,111,3,5.842685418573637,5.870714502779265,5.873501019922514,0.0011211633682250977,0.02802908420562744,True,7
0,111,4,6.4248349102063,6.452863994411928,6.455650511555177,0.0011211633682250977,0.02802908420562744,True,7
0,111,5,7.006984401838963,7.0350134860445905,7.03780000318784,0.0011211633682250977,0.02802908420562744,True,7
0,111,6,7.589133893471626,10.128277994092059,10.130559659894061,0.0011211633682250977,0.02802908420562744,True,7
0,111,7,10.130559659894061,26.878557063038897,26.881343580182147,0.0011211633682250977,0.02802908420562744,True,7
0,112,0,26.881343580182147,28.0899052390414,28.092186904843402,0.0011211633682250977,0.02802908420562744,True,7
0,112,1,28.092186904843402,33.36786375134761,33.37065026849086,0.0011211633682250977,0.02802908420562744,True,7
0,112,2,33.37065026849086,33.39867935269649,33.40146586983974,0.0011211633682250977,0.02802908420562744,True,7
0,112,3,33.952799760123526,33.98082884432915,33.9836153614724,0.0011211633682250977,0.02802908420562744,True,7
0,112,4,34.53494925175619,34.562978335961816,34.565764853105065,0.0011211633682250977,0.02802908420562744,True,7
0,112,5,35.11709874338885,35.14512782759448,35.14791434473773,0.0011211633682250977,0.02802908420562744,True,7
0,112,6,35.699248235021514,35.72727731922714,35.73006383637039,0.0011211633682250977,0.02802908420562744,True,7
0,112,7,36.28139772665418,36.309426810859804,36.312213328003054,0.0011211633682250977,0.02802908420562744,True,7
0,113,0,36.86354721828684,36.89157630249247,36.89436281963572,0.0011211633682250977,0.02802908420562744,True,7
0,113,1,37.4456967099195,39.984840810539936,39.98712247634194,0.0011211633682250977,0.02802908420562744,True,7
0,113,2,39.98712247634194,56.735119879486774,56.737906396630024,0.0011211633682250977,0.02802908420562744,True,7
0,113,3,56.737906396630024,57.94646805548928,57.94874972129128,0.0011211633682250977,0.02802908420562744,True,7
0,113,4,57.94874972129128,63.22442656779549,63.22721308493874,0.0011211633682250977,0.02802908420562744,True,7
0,113,5,63.22721308493874,63.25524216914437,63.258028686287616,0.0011211633682250977,0.02802908420562744,True,7
0,113,6,63.8093625765714,63.83739166077703,63.84017817792028,0.0011211633682250977,0.02802908420562744,True,7
0,113,7,64.39151206820407,64.41954115240969,64.42232766955294,0.0011211633682250977,0.02802908420562744,True,7
0,114,0,64.97366155983673,65.00169064404236,65.0044771611856,0.0011211633682250977,0.02802908420562744,True,7
0,114,1,65.55581105146939,65.58384013567502,65.58662665281827,0.0011211633682250977,0.02802908420562744,True,7
0,114,2,66.13796054310205,66.16598962730768,66.16877614445093,0.0011211633682250977,0.02802908420562744,True,7
0,114,3,66.72011003473472,66.74813911894034,66.7509256360836,0.0011211633682250977,0.02802908420562744,True,7
0,114,4,67.30225952636738,69.84140362698781,69.84368529278981,0.0011211633682250977,0.02802908420562744,True,7
0,114,5,69.84368529278981,86.59168269593465,86.5944692130779,0.0011211633682250977,0.02802908420562744,True,7
0,114,6,86.5944692130779,87.80303087193715,87.80531253773916,0.0011211633682250977,0.02802908420562744,True,7
0,114,7,87.80531253773916,93.08098938424337,93.08377590138662,0.0011211633682250977,0.02802908420562744,True,7
0,115,0,93.08377590138662,93.11180498559224,93.1145915027355,0.0011211633682250977,0.02802908420562744,True,7
0,115,1,93.66592539301928,93.6939544772249,93.69674099436816,0.0011211633682250977,0.02802908420562744,True,7
0,115,2,94.24807488465194,94.27610396885757,94.27889048600082,0.0011211633682250977,0.02802908420562744,True,7
0,115,3,94.8302243762846,94.85825346049023,94.86103997763348,0.0011211633682250977,0.02802908420562744,True,7
0,115,4,95.41237386791727,95.4404029521229,95.44318946926614,0.0011211633682250977,0.02802908420562744,True,7
0,115,5,95.99452335954993,96.02255244375556,96.02533896089881,0.0011211633682250977,0.02802908420562744,True,7
0,115,6,96.5766728511826,96.60470193538822,96.60748845253147,0.0011211633682250977,0.02802908420562744,True,7
0,115,7,97.15882234281526,99.69796644343569,99.70024810923769,0.0011211633682250977,0.02802908420562744,True,7
0,116,0,99.70024810923769,116.44824551238253,116.45103202952578,0.0011211633682250977,0.02802908420562744,True,7
1,100020,2,-3.0027828081956613,3.483271850694109,3.4865238801130545,0.13933372497558594,3.4833431243896484,False,831
1,100020,3,9.38738199390491,26.85052797883327,26.853780008252215,0.25732994079589844,6.433248519897461,True,1534
1,100020,4,26.853780008252215,33.339834667141986,33.34308669656093,0.25732994079589844,6.433248519897461,True,1534
1,100020,5,39.24394481035279,56.70709079528115,56.71034282470009,0.25732994079589844,6.433248519897461,True,1534
1,100020,6,56.71034282470009,63.19639748358986,63.19964951300881,0.25732994079589844,6.433248519897461,True,1534
1,100020,7,69.10050762680066,86.56365361172902,86.56690564114797,0.25732994079589844,6.433248519897461,True,1534
1,100021,0,86.56690564114797,93.05296030003774,93.05621232945668,0.25732994079589844,6.433248519897461,True,1534
1,100021,1,98.95707044324854,116.4202164281769,116.42346845759585,0.25732994079589844,6.433248519897461,True,1534
2,200010,2,7.561567879612994,20.41727945893581,20.42063639252956,0.2566375732421875,6.4159393310546875,True,1529
2,200010,3,37.41813069606087,50.273842275383686,50.277199208977436,0.2566375732421875,6.4159393310546875,True,1529
2,200010,4,67.27469351250875,80.13040509183156,80.13376202542531,0.2566375732421875,6.4159393310546875,True,1529
2,200010,5,97.13125632895662,109.98696790827944,109.99032484187319,0.2566375732421875,6.4159393310546875,True,1529
3,300010,2,7.557371712620807,20.241040445263934,20.244397378857684,0.2566375732421875,6.4159393310546875,True,1529
3,300010,3,37.41393452906868,50.09760326171181,50.10096019530556,0.2566375732421875,6.4159393310546875,True,1529
3,300010,4,67.27049734551656,79.95416607815969,79.95752301175344,0.2566375732421875,6.4159393310546875,True,1529
3,300010,5,97.12706016196444,109.81072889460756,109.81408582820131,0.2566375732421875,6.4159393310546875,True,1529
