npu_id,compute_ms,active_ms,io_stall_ms,compute_queue_ms,role_compute_ms,role_active_ms,role_requests_computing,U_percent,idle_ms,A_and_B_actually_computing
0,1985.5118460375325,2000.0,14.48815396246755,0.0,"{""B"":1454.6426927496923,""A"":530.8691532878402}","{""B"":1464.236509916614,""A"":535.7634900833859}","{""B"":3,""A"":35}",99.27559230187661,0.0,True
1,1991.3311904222983,2000.0,8.668809577701722,0.0,"{""B"":1460.4620371344581,""A"":530.8691532878402}","{""B"":1464.353396373669,""A"":535.646603626331}","{""B"":3,""A"":35}",99.56655952111493,0.0,True
2,1994.121641472103,2000.0,5.878358527897035,0.0,"{""B"":1463.2524881842628,""A"":530.8691532878402}","{""B"":1465.4226127379502,""A"":534.5773872620498}","{""B"":3,""A"":35}",99.70608207360516,0.0,True
3,1990.3416342455403,2000.0,9.658365754459737,0.0,"{""B"":1459.4724809577,""A"":530.8691532878402}","{""B"":1465.5409116324581,""A"":534.4590883675419}","{""B"":3,""A"":35}",99.517081712277,0.0,True
4,1968.1900686937825,2000.0,31.80993130621755,0.0,"{""B"":1437.3209154059423,""A"":530.8691532878402}","{""B"":1463.0119353736218,""A"":536.9880646263782}","{""B"":3,""A"":35}",98.40950343468911,0.0,True
5,1987.6662581713217,2000.0,12.333741828678285,0.0,"{""B"":1456.7971048834816,""A"":530.8691532878402}","{""B"":1464.7618513005564,""A"":535.2381486994436}","{""B"":3,""A"":35}",99.3833129085661,0.0,True
6,1991.6559737474936,2000.0,8.34402625250641,0.0,"{""B"":1460.7868204596534,""A"":530.8691532878402}","{""B"":1464.7905451049496,""A"":535.2094548950504}","{""B"":3,""A"":35}",99.58279868737469,0.0,True
7,1989.1331381517903,2000.0,10.866861848209737,0.0,"{""B"":1458.26398486395,""A"":530.8691532878402}","{""B"":1464.5883817252316,""A"":535.4116182747684}","{""B"":3,""A"":35}",99.4566569075895,0.0,True
8,1996.1800875516633,2000.0,3.8199124483367086,0.0,"{""B"":1607.7046747111654,""A"":388.47541284049794}","{""B"":1607.7046747111654,""A"":392.29532528883465}","{""B"":3,""A"":26}",99.80900437758316,0.0,True
9,1995.5842318387727,2000.0,4.415768161227334,0.0,"{""B"":1598.5738153361654,""A"":397.0104165026073}","{""B"":1598.5738153361654,""A"":401.42618466383465}","{""B"":3,""A"":27}",99.77921159193863,0.0,True
10,1996.6044420551343,2000.0,3.3955579448656863,0.0,"{""B"":1603.2735223674154,""A"":393.33091968771896}","{""B"":1603.2735223674154,""A"":396.72647763258465}","{""B"":3,""A"":26}",99.83022210275671,0.0,True
11,1995.9605155759832,2000.0,4.039484424016791,0.0,"{""B"":1604.8219079875325,""A"":391.13860758845067}","{""B"":1604.8219079875325,""A"":395.17809201246746}","{""B"":3,""A"":26}",99.79802577879916,0.0,True
12,1996.2297764822097,2000.0,3.7702235177903276,0.0,"{""B"":1616.8355340861654,""A"":379.3942423960443}","{""B"":1616.8355340861654,""A"":383.16446591383465}","{""B"":3,""A"":26}",99.81148882411048,0.0,True
13,1998.1613434453357,2000.0,1.8386565546643396,0.0,"{""B"":1589.4429559611654,""A"":408.7183874841703}","{""B"":1589.4429559611654,""A"":410.55704403883465}","{""B"":3,""A"":27}",99.90806717226677,0.0,True
14,1997.1185753750938,2000.0,2.8814246249062307,0.0,"{""B"":1594.0083856486654,""A"":403.1101897264284}","{""B"":1594.0083856486654,""A"":405.99161435133465}","{""B"":3,""A"":27}",99.8559287687547,0.0,True
15,1996.7018246961475,2000.0,3.298175303852531,0.0,"{""B"":1612.2701043986654,""A"":384.4317202974821}","{""B"":1612.2701043986654,""A"":387.72989560133465}","{""B"":3,""A"":26}",99.83509123480738,0.0,True
16,1992.104996548392,2000.0,7.8950034516080905,0.0,"{""B"":1903.0485092358354,""A"":89.05648731255656}","{""B"":1909.8217959652807,""A"":90.17820403471933}","{""A"":6,""B"":3}",99.6052498274196,0.0,True
17,1986.9647919829624,2000.0,13.035208017037576,0.0,"{""B"":1898.4160408764606,""A"":88.54875110650187}","{""B"":1907.426490831468,""A"":92.57350916853193}","{""A"":6,""B"":3}",99.34823959914812,0.0,True
18,1993.440948943994,2000.0,6.559051056005956,0.0,"{""B"":1906.2209114819293,""A"":87.22003746206474}","{""B"":1909.972151758273,""A"":90.02784824172704}","{""A"":6,""B"":3}",99.6720474471997,0.0,True
19,1986.6506856772746,2000.0,13.349314322725377,0.0,"{""B"":1898.4830795483354,""A"":88.16760612893927}","{""B"":1908.9154238949682,""A"":91.08457610503183}","{""A"":6,""B"":3}",99.33253428386374,0.0,True
20,1984.4008339507357,2000.0,15.59916604926434,0.0,"{""B"":1894.8240219311479,""A"":89.5768120195878}","{""B"":1906.6460037709212,""A"":93.3539962290788}","{""A"":6,""B"":3}",99.22004169753679,0.0,True
21,1984.590426538744,2000.0,15.409573461256059,0.0,"{""B"":1895.7975326733354,""A"":88.79289386540859}","{""B"":1908.2203137570846,""A"":91.77968624291543}","{""A"":6,""B"":3}",99.2295213269372,0.0,True
22,1995.844513397119,2000.0,4.155486602880956,0.0,"{""B"":1908.104151228023,""A"":87.74036216909599}","{""B"":1910.2742757817105,""A"":89.72572421828954}","{""A"":6,""B"":3}",99.79222566985595,0.0,True
23,1989.2690938803996,2000.0,10.730906119600377,0.0,"{""B"":1901.1686264233354,""A"":88.10046745706427}","{""B"":1909.7428161565222,""A"":90.25718384347783}","{""A"":6,""B"":3}",99.46345469401999,0.0,True
24,1984.202363906932,2000.0,15.797636093067922,0.0,"{""B"":1453.333210619092,""A"":530.8691532878402}","{""B"":1466.0740448994593,""A"":533.9259551005407}","{""B"":3,""A"":35}",99.2101181953466,0.0,True
25,1988.4859111725573,2000.0,11.51408882744272,0.0,"{""B"":1457.6167578847171,""A"":530.8691532878402}","{""B"":1466.3496876141858,""A"":533.6503123858142}","{""B"":3,""A"":35}",99.42429555862788,0.0,True
26,1995.5648448883776,2000.0,4.435155111622407,0.0,"{""B"":1464.6956916005374,""A"":530.8691532878402}","{""B"":1468.0155659100842,""A"":531.9844340899158}","{""B"":3,""A"":35}",99.77824224441889,0.0,True
27,1986.149385391307,2000.0,13.850614608692922,0.0,"{""B"":1455.280232103467,""A"":530.8691532878402}","{""B"":1465.935571388717,""A"":534.0644286112829}","{""B"":3,""A"":35}",99.30746926956535,0.0,True
28,1992.49660758369,2000.0,7.503392416309907,0.0,"{""B"":1461.62745429585,""A"":530.8691532878402}","{""B"":1466.190831356514,""A"":533.8091686434859}","{""B"":3,""A"":35}",99.62483037918452,0.0,True
29,1990.85842398994,2000.0,9.141576010059907,0.0,"{""B"":1459.9892707021,""A"":530.8691532878402}","{""B"":1467.4197101971936,""A"":532.5802898028064}","{""B"":3,""A"":35}",99.54292119949702,0.0,True
30,1991.4366558014635,2000.0,8.56334419853647,0.0,"{""B"":1460.5675025136234,""A"":530.8691532878402}","{""B"":1466.668596305592,""A"":533.331403694408}","{""B"":3,""A"":35}",99.57183279007319,0.0,True
31,1996.5635326325182,2000.0,3.4364673674817823,0.0,"{""B"":1465.694379344678,""A"":530.8691532878402}","{""B"":1467.8645038983655,""A"":532.1354961016345}","{""B"":3,""A"":35}",99.82817663162592,0.0,True
