seed,window,once_U_percent,once_slo_1p5_percent,once_slo_count,once_slo_passed,OD_U_percent,OD_slo_1p5_percent,OD_slo_count,OD_slo_passed,delta_U_pp,delta_slo_pp,once_all_npus_active,OD_all_npus_active,once_strict_underload,OD_strict_underload,manifest_sha256,once_case,OD_case,once_SSU0_mean_demand_GiB_s,once_SSU0_max_demand_GiB_s,once_SSU0_actual_GiB_s,once_SSU0_at_or_above_capacity_percent,OD_SSU0_mean_demand_GiB_s,OD_SSU0_max_demand_GiB_s,OD_SSU0_actual_GiB_s,once_SSU1_mean_demand_GiB_s,once_SSU1_max_demand_GiB_s,once_SSU1_actual_GiB_s,once_SSU1_at_or_above_capacity_percent,OD_SSU1_mean_demand_GiB_s,OD_SSU1_max_demand_GiB_s,OD_SSU1_actual_GiB_s,once_SSU2_mean_demand_GiB_s,once_SSU2_max_demand_GiB_s,once_SSU2_actual_GiB_s,once_SSU2_at_or_above_capacity_percent,OD_SSU2_mean_demand_GiB_s,OD_SSU2_max_demand_GiB_s,OD_SSU2_actual_GiB_s
7,warm_2_4s,100.0,100.0,147,147,100.0,100.0,147,147,0.0,0.0,True,True,True,True,771fedfd3b85a6ec1c9b62adbfea3a683e458f7f249be826c842c8e8afd4f8bb,under_once_seed7_local,random_od_baseline_seed7_remote,24.23534696772934,27.532070188879395,24.048932461236117,0.0,24.231281696942514,27.532070188879395,24.01605668834809,26.47046720452669,29.786927320907594,26.28965467482754,0.0,26.466388558004247,29.786927320907594,26.25798278893402,26.147461062605572,29.575417214465332,25.95160763540119,0.0,26.143847617492668,29.575417214465332,25.91733595250824
7,long_2_6s,100.0,100.0,307,307,100.0,100.0,306,306,0.0,0.0,True,True,True,True,771fedfd3b85a6ec1c9b62adbfea3a683e458f7f249be826c842c8e8afd4f8bb,under_once_seed7_local,random_od_baseline_seed7_remote,23.639105027079804,27.532070188879395,23.60555280793699,0.0,23.638233073090884,27.532070188879395,23.606754302978516,25.799793559540166,29.786927320907594,25.761292638503402,0.0,25.799035045920515,29.786927320907594,25.760629401642582,25.464224666806356,29.575417214465332,25.440059661865234,0.0,25.464936149211685,29.575417214465332,25.439873396759765
7,full_population,99.48901535843598,100.0,640,640,99.36899269116621,100.0,640,640,0.12002266726976529,0.0,False,False,True,True,771fedfd3b85a6ec1c9b62adbfea3a683e458f7f249be826c842c8e8afd4f8bb,under_once_seed7_local,random_od_baseline_seed7_remote,23.32648856820802,27.532070188879395,23.23878054881649,0.0,23.303711213879073,27.532070188879395,23.210745489714572,25.571454345099227,29.786927320907594,25.47544905196969,0.0,25.546688984132953,29.786927320907594,25.44471569578864,25.086083102643286,29.575417214465332,24.993231530647666,0.0,25.06164100961618,29.575417214465332,24.96307991741487
19,warm_2_4s,100.0,100.0,141,141,100.0,100.0,141,141,0.0,0.0,True,True,True,True,aa9a626f7f953439778297e6fe89d9cd62fda9557cffc44a1a798a591c854273,under_once_seed19_local,random_od_baseline_seed19_remote,23.70315705495064,26.518868700787355,23.379004895794353,0.0,23.698809442581993,26.458049655670166,23.3621019848707,26.265954596016044,29.45295859888916,25.931447353802156,0.0,26.261377106861797,29.45295859888916,25.915639446296485,25.547748569279854,29.12488372128296,25.20802616434903,0.0,25.54297703209947,29.053443422735597,25.192641873542577
19,long_2_6s,100.0,100.0,299,299,100.0,100.0,299,299,0.0,0.0,True,True,True,True,aa9a626f7f953439778297e6fe89d9cd62fda9557cffc44a1a798a591c854273,under_once_seed19_local,random_od_baseline_seed19_remote,23.619481217390028,27.649058991613767,23.585648248860817,0.0,23.620761061720422,27.649058991613767,23.57321400570139,26.164413323384167,30.89145484822998,26.139434480306125,0.0,26.165558626498253,30.89145484822998,26.123602341883032,25.493385002172122,29.605116787060545,25.468088723226046,0.0,25.49457899804489,29.605116787060545,25.453642319910376
19,full_population,99.45319228904117,100.0,640,640,99.36610894381855,100.0,640,640,0.08708334522262362,0.0,False,False,True,True,aa9a626f7f953439778297e6fe89d9cd62fda9557cffc44a1a798a591c854273,under_once_seed19_local,random_od_baseline_seed19_remote,23.327390761404068,28.67456288474121,23.230412947174724,0.0,23.314759622955858,28.67456288474121,23.210071900057166,25.572043621886777,30.89145484822998,25.466276091759305,0.0,25.558434970655107,30.89145484822998,25.4439772749854,25.090015311204372,30.524214285488892,24.984232202789237,0.0,25.076525459415354,30.524214285488892,24.962355473968763
43,warm_2_4s,100.0,100.0,144,144,100.0,100.0,143,143,0.0,0.0,True,True,True,True,bf7ccc9e454fcbc76ba8f3d47f42da3187d075c1c2f57fc32ad916ca99b8109c,under_once_seed43_local,random_od_baseline_seed43_local,23.058433644161884,25.75650562836914,23.105403050197495,0.0,23.03237201499821,25.813909860717775,23.061050512815733,25.482846155521603,28.411868393966675,25.506281956447488,0.0,25.455699788951684,28.488244302951053,25.45404062512041,25.168026947092716,27.67934272060547,25.223124607814675,0.0,25.1385107472931,27.701917092581176,25.174240210081347
43,long_2_6s,100.0,100.0,297,297,100.0,100.0,296,296,0.0,0.0,True,True,True,True,bf7ccc9e454fcbc76ba8f3d47f42da3187d075c1c2f57fc32ad916ca99b8109c,under_once_seed43_local,random_od_baseline_seed43_local,22.93593572590689,25.75650562836914,22.898835898239504,0.0,22.92600305346709,25.813909860717775,22.89031149043246,25.23944229091661,28.411868393966675,25.19103407939183,0.0,25.229394739756636,28.488244302951053,25.179614316360183,24.792876401049693,27.67934272060547,24.75287032206762,0.0,24.7834420914189,27.701917092581176,24.742583524123855
43,full_population,99.34447588790539,100.0,640,640,99.31457776420906,100.0,640,640,0.02989812369632716,0.0,False,False,True,True,bf7ccc9e454fcbc76ba8f3d47f42da3187d075c1c2f57fc32ad916ca99b8109c,under_once_seed43_local,random_od_baseline_seed43_local,23.33320277601369,28.345296340759276,23.205018821210675,0.0,23.321618923201846,28.345296340759276,23.198035176504803,25.584093655576087,32.28709205340271,25.43843785124331,0.0,25.57010150087667,32.28709205340271,25.43078205000504,25.099305124692968,31.50944923634949,24.956920904401414,0.0,25.08459296022022,31.495807929226686,24.9494100176449
